# generator=basin_stab_LSE_honest_AAAI_Nramp.jl  M_TARGET=4.4e+06  N_FLOOR=12  betanet=1.0
# N_EQ=32768  N_SAMP=8192  N_DIS_TARGET=32  MEM_BUDGET_GB=45.0  generated=2026-06-10T18:00:48.390
alpha,T,N_used,disorder,phi_a,phi_b,q12,phi_max_other
0.200,0.00500,76,1,0.997417,0.997565,0.995701,0.536306
0.200,0.01500,76,1,0.992347,0.992199,0.984138,0.540173
0.200,0.02500,76,1,0.987773,0.987092,0.975596,0.549402
0.200,0.03500,76,1,0.982134,0.984857,0.966041,0.537336
0.200,0.04500,76,1,0.979458,0.977599,0.958676,0.543780
0.200,0.05500,76,1,0.972971,0.973148,0.945146,0.535758
0.200,0.06500,76,1,0.967679,0.966316,0.930741,0.550214
0.200,0.07500,76,1,0.965861,0.962280,0.932628,0.549439
0.200,0.08500,76,1,0.959515,0.960104,0.921377,0.542679
0.200,0.09500,76,1,0.954272,0.951295,0.911501,0.547075
0.200,0.10500,76,1,0.950013,0.945925,0.901652,0.541346
0.200,0.11500,76,1,0.946660,0.943706,0.895527,0.544641
0.200,0.12500,76,1,0.938405,0.943430,0.887917,0.547404
0.200,0.13500,76,1,0.931492,0.937570,0.873179,0.542375
0.200,0.14500,76,1,0.927670,0.931827,0.869410,0.538557
0.200,0.15500,76,1,0.928998,0.923635,0.856256,0.541759
0.200,0.16500,76,1,0.922842,0.923656,0.852050,0.545412
0.200,0.17500,76,1,0.913504,0.918877,0.840092,0.547711
0.200,0.18500,76,1,0.914158,0.912970,0.830996,0.542307
0.200,0.19500,76,1,0.909613,0.906761,0.826355,0.546080
0.200,0.20500,76,1,0.904041,0.904632,0.815833,0.549001
0.200,0.21500,76,1,0.896381,0.902439,0.808450,0.545531
0.200,0.22500,76,1,0.901439,0.901077,0.808041,0.545579
0.200,0.23500,76,1,0.896750,0.894800,0.803639,0.541373
0.200,0.24500,76,1,0.891817,0.883059,0.787098,0.543548
0.200,0.25500,76,1,0.883690,0.883452,0.783170,0.545129
0.200,0.26500,76,1,0.879047,0.876177,0.770906,0.542678
0.200,0.27500,76,1,0.874038,0.876477,0.767857,0.543400
0.200,0.28500,76,1,0.861557,0.872130,0.753884,0.545615
0.200,0.29500,76,1,0.869385,0.868023,0.752768,0.542956
0.200,0.30500,76,1,0.857587,0.857176,0.734346,0.543150
0.200,0.31500,76,1,0.859333,0.864603,0.741894,0.543842
0.200,0.32500,76,1,0.849193,0.846655,0.716761,0.541954
0.200,0.33500,76,1,0.850561,0.847060,0.721586,0.541866
0.200,0.34500,76,1,0.847188,0.838226,0.710135,0.542141
0.200,0.35500,76,1,0.836520,0.844029,0.704783,0.542312
0.200,0.36500,76,1,0.838099,0.837979,0.698295,0.545229
0.200,0.37500,76,1,0.834127,0.831140,0.696773,0.546426
0.200,0.38500,76,1,0.823141,0.836063,0.686978,0.546043
0.200,0.39500,76,1,0.819478,0.824473,0.671162,0.545220
0.200,0.40500,76,1,0.820239,0.814833,0.669515,0.549005
0.200,0.41500,76,1,0.815578,0.812003,0.661301,0.546455
0.200,0.42500,76,1,0.811375,0.816482,0.666102,0.547087
0.200,0.43500,76,1,0.808639,0.805732,0.656969,0.544731
0.200,0.44500,76,1,0.809038,0.800640,0.649834,0.544135
0.200,0.45500,76,1,0.805805,0.790896,0.634104,0.545224
0.200,0.46500,76,1,0.797251,0.794260,0.630254,0.544895
0.200,0.47500,76,1,0.797408,0.796724,0.635177,0.545006
0.200,0.48500,76,1,0.787392,0.784768,0.627428,0.545281
0.200,0.49500,76,1,0.788833,0.792666,0.622137,0.547964
0.200,0.00500,76,2,0.997662,0.997245,0.994843,0.614793
0.200,0.01500,76,2,0.992796,0.992377,0.985470,0.610592
0.200,0.02500,76,2,0.987550,0.988029,0.976665,0.603628
0.200,0.03500,76,2,0.984604,0.980989,0.967430,0.602390
0.200,0.04500,76,2,0.978856,0.977799,0.955637,0.603393
0.200,0.05500,76,2,0.972279,0.976699,0.948256,0.613666
0.200,0.06500,76,2,0.968738,0.970193,0.939632,0.589178
0.200,0.07500,76,2,0.961938,0.963445,0.928247,0.586620
0.200,0.08500,76,2,0.956650,0.957119,0.915321,0.599978
0.200,0.09500,76,2,0.952603,0.956269,0.908668,0.603709
0.200,0.10500,76,2,0.946017,0.949336,0.891155,0.595853
0.200,0.11500,76,2,0.945966,0.942819,0.890305,0.598100
0.200,0.12500,76,2,0.939432,0.942363,0.886452,0.585973
0.200,0.13500,76,2,0.940284,0.937277,0.882797,0.580695
0.200,0.14500,76,2,0.932845,0.932762,0.870089,0.583687
0.200,0.15500,76,2,0.931902,0.929372,0.865458,0.577384
0.200,0.16500,76,2,0.924558,0.924166,0.855184,0.587156
0.200,0.17500,76,2,0.914389,0.921142,0.836959,0.570267
0.200,0.18500,76,2,0.907866,0.912203,0.828695,0.564930
0.200,0.19500,76,2,0.910048,0.909031,0.822834,0.579850
0.200,0.20500,76,2,0.894759,0.901671,0.812322,0.579235
0.200,0.21500,76,2,0.900767,0.900320,0.809018,0.571972
0.200,0.22500,76,2,0.890157,0.894400,0.796230,0.565840
0.200,0.23500,76,2,0.895446,0.891137,0.799632,0.574790
0.200,0.24500,76,2,0.887891,0.882400,0.780704,0.565285
0.200,0.25500,76,2,0.883820,0.881084,0.783209,0.572828
0.200,0.26500,76,2,0.879953,0.873734,0.764390,0.577596
0.200,0.27500,76,2,0.869410,0.877343,0.757289,0.565531
0.200,0.28500,76,2,0.869683,0.868782,0.756266,0.561464
0.200,0.29500,76,2,0.865633,0.863725,0.748526,0.562405
0.200,0.30500,76,2,0.861989,0.867199,0.746901,0.556360
0.200,0.31500,76,2,0.856026,0.858454,0.731978,0.560035
0.200,0.32500,76,2,0.853709,0.850570,0.720767,0.555928
0.200,0.33500,76,2,0.845456,0.851344,0.722616,0.558392
0.200,0.34500,76,2,0.844750,0.843831,0.715657,0.556975
0.200,0.35500,76,2,0.840145,0.834710,0.698030,0.556721
0.200,0.36500,76,2,0.836736,0.843693,0.704453,0.557934
0.200,0.37500,76,2,0.838698,0.830396,0.700655,0.554750
0.200,0.38500,76,2,0.822976,0.826099,0.678443,0.556885
0.200,0.39500,76,2,0.827339,0.815371,0.676448,0.556836
0.200,0.40500,76,2,0.812937,0.827887,0.669824,0.556018
0.200,0.41500,76,2,0.814790,0.807498,0.663576,0.556490
0.200,0.42500,76,2,0.816051,0.813108,0.672051,0.557459
0.200,0.43500,76,2,0.809229,0.809085,0.659654,0.555071
0.200,0.44500,76,2,0.807716,0.794508,0.645946,0.557161
0.200,0.45500,76,2,0.802429,0.798056,0.645046,0.556055
0.200,0.46500,76,2,0.800305,0.801491,0.638011,0.550957
0.200,0.47500,76,2,0.788682,0.793792,0.632784,0.549033
0.200,0.48500,76,2,0.781905,0.780772,0.619906,0.552424
0.200,0.49500,76,2,0.790832,0.774706,0.610736,0.552687
0.200,0.00500,76,3,0.997537,0.997532,0.995022,0.544459
0.200,0.01500,76,3,0.993338,0.993289,0.986796,0.545844
0.200,0.02500,76,3,0.986376,0.986717,0.972788,0.540956
0.200,0.03500,76,3,0.982775,0.982986,0.966240,0.544948
0.200,0.04500,76,3,0.979651,0.977898,0.959834,0.549364
0.200,0.05500,76,3,0.971810,0.970952,0.944191,0.546904
0.200,0.06500,76,3,0.969384,0.969733,0.939988,0.549572
0.200,0.07500,76,3,0.962285,0.961929,0.924771,0.544359
0.200,0.08500,76,3,0.958609,0.958927,0.919683,0.550871
0.200,0.09500,76,3,0.950413,0.949003,0.902483,0.553713
0.200,0.10500,76,3,0.945629,0.948353,0.895677,0.543923
0.200,0.11500,76,3,0.948359,0.943431,0.894751,0.540459
0.200,0.12500,76,3,0.944105,0.939895,0.887003,0.544122
0.200,0.13500,76,3,0.937101,0.930631,0.872891,0.548663
0.200,0.14500,76,3,0.931664,0.933761,0.870691,0.545156
0.200,0.15500,76,3,0.925555,0.925833,0.853053,0.538532
0.200,0.16500,76,3,0.920397,0.926126,0.848065,0.546628
0.200,0.17500,76,3,0.915923,0.915303,0.834993,0.550220
0.200,0.18500,76,3,0.905556,0.911359,0.826177,0.547998
0.200,0.19500,76,3,0.907374,0.913079,0.826503,0.547168
0.200,0.20500,76,3,0.905301,0.903135,0.817981,0.549673
0.200,0.21500,76,3,0.894323,0.900961,0.800857,0.547503
0.200,0.22500,76,3,0.895078,0.889935,0.793679,0.550381
0.200,0.23500,76,3,0.891979,0.892441,0.789642,0.547926
0.200,0.24500,76,3,0.887875,0.883406,0.785004,0.544939
0.200,0.25500,76,3,0.880849,0.883943,0.774189,0.545104
0.200,0.26500,76,3,0.869189,0.877031,0.764248,0.545481
0.200,0.27500,76,3,0.878979,0.873497,0.765152,0.545926
0.200,0.28500,76,3,0.871743,0.871003,0.765197,0.544055
0.200,0.29500,76,3,0.862847,0.863468,0.741307,0.548750
