# generator=basin_stab_LSE_semismart_AAAI_Nramp.jl  M_TARGET=4.4e+07  K_TARGET=30000  N_FLOOR=12  betanet=1.0
# N_EQ=32768  N_SAMP=8192  N_DIS_TARGET=64  MEM_BUDGET_GB=40.0  generated=2026-06-07T13:48:36.518
alpha,T,N_used,K_retained,disorder,phi_a,phi_b,q12,phi_max_retained
0.200,0.00500,88,29889,1,0.997789,0.997228,0.995393,0.563623
0.200,0.00500,88,30497,2,0.997660,0.997445,0.995170,0.525534
0.200,0.00500,88,29913,3,0.997681,0.997608,0.995386,0.543284
0.200,0.00500,88,29942,4,0.997312,0.997541,0.995020,0.533295
0.200,0.00500,88,30080,5,0.997082,0.997071,0.994813,0.565040
0.200,0.00500,88,29964,6,0.997623,0.997815,0.995664,0.555265
0.200,0.00500,88,30284,7,0.997040,0.998288,0.994571,0.527051
0.200,0.00500,88,29802,8,0.997817,0.997666,0.995567,0.558089
0.200,0.00500,88,29978,9,0.997515,0.997195,0.995055,0.553757
0.200,0.00500,88,29878,10,0.997706,0.997420,0.994834,0.525107
0.200,0.00500,88,29997,11,0.997646,0.997164,0.995583,0.535563
0.200,0.00500,88,29737,12,0.997797,0.997571,0.995121,0.543287
0.200,0.00500,88,29706,13,0.997224,0.997308,0.994103,0.529763
0.200,0.00500,88,29868,14,0.997568,0.997769,0.995185,0.540320
0.200,0.00500,88,29748,15,0.997492,0.997567,0.995318,0.537775
0.200,0.00500,88,29978,16,0.997313,0.997552,0.995353,0.523359
0.200,0.00500,88,30020,17,0.997395,0.997587,0.994823,0.551076
0.200,0.00500,88,30152,18,0.997436,0.997491,0.995398,0.541846
0.200,0.00500,88,29956,19,0.997788,0.997309,0.994957,0.553160
0.200,0.00500,88,29924,20,0.997851,0.997567,0.995211,0.554464
0.200,0.00500,88,29845,21,0.997838,0.997553,0.995134,0.550984
0.200,0.00500,88,29808,22,0.997789,0.997631,0.995175,0.547006
0.200,0.00500,88,30288,23,0.997849,0.997432,0.994860,0.554582
0.200,0.00500,88,30137,24,0.997642,0.997216,0.994883,0.536661
0.200,0.00500,88,29955,25,0.997110,0.998180,0.995723,0.565980
0.200,0.00500,88,30050,26,0.997576,0.997442,0.995045,0.540506
0.200,0.00500,88,29736,27,0.997474,0.997425,0.995023,0.535427
0.200,0.00500,88,30088,28,0.997268,0.997591,0.995110,0.591552
0.200,0.00500,88,30120,29,0.997474,0.997801,0.995619,0.583593
0.200,0.00500,88,30024,30,0.997882,0.997866,0.995103,0.546783
0.200,0.00500,88,29807,31,0.997450,0.997493,0.995144,0.554729
0.200,0.00500,88,29865,32,0.997498,0.997352,0.995082,0.584700
0.200,0.00500,88,30137,33,0.997334,0.997525,0.994834,0.562939
0.200,0.00500,88,29884,34,0.997504,0.997594,0.995635,0.542377
0.200,0.00500,88,30073,35,0.997448,0.997299,0.994849,0.544467
0.200,0.00500,88,29706,36,0.997675,0.997720,0.996251,0.555204
0.200,0.00500,88,30559,37,0.997471,0.997586,0.994399,0.547707
0.200,0.00500,88,29623,38,0.997334,0.997807,0.995406,0.524428
0.200,0.00500,88,30191,39,0.997501,0.997255,0.994417,0.545730
0.200,0.00500,88,29877,40,0.997724,0.997559,0.995326,0.535527
0.200,0.00500,88,30281,41,0.997676,0.997658,0.995518,0.534141
0.200,0.00500,88,30216,42,0.997236,0.998011,0.995135,0.540766
0.200,0.00500,88,29889,43,0.997691,0.997599,0.995402,0.538479
0.200,0.00500,88,29966,44,0.997071,0.997843,0.995470,0.522904
0.200,0.00500,88,29917,45,0.997218,0.997683,0.994638,0.541692
0.200,0.00500,88,29962,46,0.997800,0.997903,0.995923,0.546438
0.200,0.00500,88,30001,47,0.998023,0.997519,0.995543,0.583097
0.200,0.00500,88,30312,48,0.997415,0.998029,0.994862,0.547961
0.200,0.00500,88,29891,49,0.997404,0.997469,0.994838,0.531657
