# generator=basin_stab_LSE_semismart_AAAI_Nramp_phikeep.jl  M_TARGET=4.4e+06  PHI_KEEP=0.400  generated=2026-06-13T17:22:18.277
alpha,N,M,K_expected,K_over_M,K_alloc,status,phi_keep
0.200,76,3992788,6.248930e+02,1.565054e-04,954,smart,0.4000
0.210,73,4547097,9.412923e+02,2.070095e-04,1428,smart,0.4000
0.220,70,4876800,1.336252e+03,2.740019e-04,2021,smart,0.4000
0.230,67,4925815,1.787811e+03,3.629473e-04,2698,smart,0.4000
0.240,64,4685577,2.254505e+03,4.811585e-04,3398,smart,0.4000
0.250,61,4197501,2.679844e+03,6.384379e-04,4036,smart,0.4000
0.260,59,4592795,3.542539e+03,7.713252e-04,5330,smart,0.4000
0.270,57,4828279,4.501404e+03,9.322998e-04,6769,smart,0.4000
0.280,55,4876801,5.498206e+03,1.127421e-03,8264,smart,0.4000
0.290,53,4732668,6.455784e+03,1.364090e-03,9700,smart,0.4000
0.300,51,4412715,7.286997e+03,1.651364e-03,10947,smart,0.4000
0.310,49,3953058,7.907442e+03,2.000336e-03,11878,smart,0.4000
0.320,48,4685577,1.031810e+04,2.202098e-03,15494,smart,0.4000
0.330,46,3913727,1.044999e+04,2.670087e-03,15691,smart,0.4000
0.340,45,4412713,1.297752e+04,2.940940e-03,19483,smart,0.4000
0.350,44,4876800,1.580024e+04,3.239878e-03,23717,smart,0.4000
0.360,42,3685809,1.450127e+04,3.934351e-03,21768,smart,0.4000
0.370,41,3874783,1.680467e+04,4.336932e-03,25224,smart,0.4000
0.380,40,3992786,1.909260e+04,4.781774e-03,28655,smart,0.4000
0.390,39,4032913,2.126747e+04,5.273475e-03,31918,smart,0.4000
0.400,38,3992788,2.322668e+04,5.817159e-03,34857,smart,0.4000
0.410,37,3874782,2.487045e+04,6.418541e-03,37322,smart,0.4000
0.420,36,3685805,2.611024e+04,7.084000e-03,39182,smart,0.4000
0.430,36,5282977,3.742461e+04,7.084000e-03,56153,smart,0.4000
0.440,35,4876800,3.813981e+04,7.820662e-03,57226,smart,0.4000
0.450,34,4412710,3.811037e+04,8.636500e-03,57182,smart,0.4000
0.460,33,3913725,3.733864e+04,9.540436e-03,56024,smart,0.4000
0.470,33,5443866,5.193685e+04,9.540436e-03,77922,smart,0.4000
0.480,32,4685577,4.939756e+04,1.054247e-02,74113,smart,0.4000
0.490,31,3953059,4.606827e+04,1.165383e-02,69119,smart,0.4000
0.500,31,5389698,6.281062e+04,1.165383e-02,94232,smart,0.4000
0.510,30,4412711,5.686713e+04,1.288712e-02,85317,smart,0.4000
0.520,29,3541282,5.048639e+04,1.425653e-02,75746,smart,0.4000
0.530,29,4732666,6.747139e+04,1.425653e-02,101224,smart,0.4000
0.540,28,3685809,5.815489e+04,1.577805e-02,87249,smart,0.4000
0.550,28,4876802,7.694644e+04,1.577805e-02,115436,smart,0.4000
0.560,27,3685807,6.439009e+04,1.746974e-02,96602,smart,0.4000
0.570,27,4828275,8.434871e+04,1.746974e-02,126540,smart,0.4000
0.580,26,3541283,6.853094e+04,1.935201e-02,102813,smart,0.4000
0.590,26,4592795,8.887981e+04,1.935201e-02,133336,smart,0.4000
0.600,25,3269019,7.011392e+04,2.144800e-02,105187,smart,0.4000
0.610,25,4197503,9.002805e+04,2.144800e-02,135059,smart,0.4000
0.620,25,5389699,1.155983e+05,2.144800e-02,173414,smart,0.4000
0.630,24,3685806,8.766321e+04,2.378400e-02,131511,smart,0.4000
0.640,24,4685577,1.114418e+05,2.378400e-02,167179,smart,0.4000
0.650,24,5956535,1.416702e+05,2.378400e-02,212522,smart,0.4000
0.660,23,3913727,1.032830e+05,2.638994e-02,154941,smart,0.4000
0.670,23,4925815,1.299920e+05,2.638994e-02,195004,smart,0.4000
0.680,22,3140838,9.202657e+04,2.930001e-02,138056,smart,0.4000
0.690,22,3913724,1.146721e+05,2.930001e-02,172025,smart,0.4000
0.700,22,4876800,1.428903e+05,2.930001e-02,214352,smart,0.4000
