# generator=basin_stab_LSE_semismart_AAAI_Nramp.jl  M_TARGET=4.4e+06  K_TARGET=30000  N_FLOOR=12  betanet=1.0
# N_EQ=32768  N_SAMP=8192  N_DIS_TARGET=64  MEM_BUDGET_GB=40.0  generated=2026-06-07T21:59:16.649
alpha,T,N_used,K_retained,disorder,phi_a,phi_b,q12,phi_max_retained
0.200,0.00500,76,29677,1,0.997518,0.997260,0.994167,0.559419
0.200,0.00500,76,30086,2,0.997497,0.997256,0.994612,0.549318
0.200,0.00500,76,30078,3,0.997508,0.997437,0.994922,0.545100
0.200,0.00500,76,30299,4,0.997901,0.997680,0.995292,0.524294
0.200,0.00500,76,29933,5,0.997992,0.997805,0.995747,0.552173
0.200,0.00500,76,30052,6,0.997821,0.997603,0.994755,0.520374
0.200,0.00500,76,29909,7,0.997591,0.997869,0.995885,0.528668
0.200,0.00500,76,29831,8,0.997618,0.997653,0.994245,0.543043
0.200,0.00500,76,30326,9,0.997610,0.997281,0.995708,0.565976
0.200,0.00500,76,29838,10,0.997888,0.997818,0.995852,0.532632
0.200,0.00500,76,30099,11,0.997601,0.997049,0.994628,0.523108
0.200,0.00500,76,30201,12,0.996844,0.997827,0.994107,0.567936
0.200,0.00500,76,29992,13,0.997459,0.997642,0.995406,0.537519
0.200,0.00500,76,30067,14,0.997316,0.997715,0.995295,0.544893
0.200,0.00500,76,29939,15,0.997448,0.997762,0.995429,0.519890
0.200,0.00500,76,30085,16,0.997972,0.997983,0.996109,0.545233
0.200,0.00500,76,29748,17,0.997904,0.997764,0.996073,0.539936
0.200,0.00500,76,30028,18,0.997435,0.997266,0.993435,0.537849
0.200,0.00500,76,30124,19,0.997457,0.997303,0.994925,0.556556
0.200,0.00500,76,30376,20,0.997432,0.997519,0.995161,0.529511
0.200,0.00500,76,29896,21,0.997812,0.997565,0.995006,0.538480
0.200,0.00500,76,30242,22,0.997584,0.997250,0.995137,0.551557
0.200,0.00500,76,30163,23,0.997719,0.997152,0.995189,0.563170
0.200,0.00500,76,30113,24,0.997286,0.997345,0.994998,0.556330
0.200,0.00500,76,30096,25,0.997275,0.997204,0.994256,0.537741
0.200,0.00500,76,29949,26,0.997019,0.997902,0.995626,0.516484
0.200,0.00500,76,30300,27,0.997782,0.997493,0.995798,0.542565
0.200,0.00500,76,29935,28,0.997805,0.997681,0.996099,0.532673
0.200,0.00500,76,29790,29,0.997822,0.997270,0.994884,0.523408
0.200,0.00500,76,30303,30,0.997295,0.997335,0.994341,0.559904
0.200,0.00500,76,30009,31,0.997058,0.997777,0.994750,0.577308
0.200,0.00500,76,29919,32,0.998317,0.997779,0.996229,0.568378
0.200,0.00500,76,30029,33,0.997947,0.997635,0.995427,0.551437
0.200,0.00500,76,29958,34,0.997952,0.997476,0.995464,0.542713
0.200,0.00500,76,30055,35,0.997922,0.997780,0.995496,0.537765
0.200,0.00500,76,30257,36,0.997579,0.997356,0.995698,0.559419
0.200,0.00500,76,30180,37,0.998029,0.997563,0.994627,0.517523
0.200,0.00500,76,30044,38,0.997640,0.997826,0.996153,0.566886
0.200,0.00500,76,30141,39,0.997634,0.997398,0.995244,0.523439
0.200,0.00500,76,29922,40,0.997424,0.997449,0.994684,0.551255
0.200,0.00500,76,30277,41,0.997827,0.997062,0.995129,0.533171
0.200,0.00500,76,30253,42,0.997145,0.997542,0.994694,0.579760
0.200,0.00500,76,30137,43,0.996976,0.997440,0.994155,0.524036
0.200,0.00500,76,30107,44,0.997489,0.996960,0.994303,0.528883
0.200,0.00500,76,29828,45,0.997757,0.997384,0.995041,0.565067
0.200,0.00500,76,30162,46,0.997212,0.997503,0.994320,0.533312
0.200,0.00500,76,29769,47,0.997708,0.997460,0.995604,0.537181
0.200,0.00500,76,29734,48,0.997571,0.997736,0.995431,0.566655
0.200,0.00500,76,30091,49,0.997473,0.997605,0.995125,0.530114
0.200,0.00500,76,30084,50,0.997732,0.997172,0.995339,0.511733
0.200,0.00500,76,30050,51,0.997427,0.997426,0.994508,0.588005
0.200,0.00500,76,30113,52,0.997562,0.997615,0.995839,0.511685
0.200,0.00500,76,29800,53,0.997383,0.997696,0.995131,0.533037
0.200,0.00500,76,30126,54,0.997295,0.997051,0.994790,0.532761
0.200,0.00500,76,29754,55,0.997659,0.998142,0.995670,0.539476
0.200,0.00500,76,30112,56,0.997759,0.997702,0.995283,0.507051
0.200,0.00500,76,29978,57,0.997035,0.997591,0.994112,0.539197
0.200,0.00500,76,30187,58,0.997435,0.997624,0.996023,0.534624
