# generator=escape_time_Ndim.jl  N=100  N_DIS=32  MAX_STEPS=1000000  φ_escape=0.5  generated=2026-06-11T16:14:47.416
alpha,T,disorder,K,tau,escaped
0.580,0.01000,1,1,1000000,0
0.550,0.02500,6,1,1000000,0
0.600,0.00500,11,1,1000000,0
0.620,0.00250,22,1,1000000,0
0.600,0.00500,27,1,1000000,0
0.500,0.06000,17,1,1000000,0
0.550,0.02750,6,1,1000000,0
0.620,0.00500,22,1,1000000,0
0.600,0.00750,11,1,1000000,0
0.500,0.06250,17,1,1000000,0
0.600,0.00750,27,1,1000000,0
0.580,0.01250,1,1,1000000,0
0.550,0.03000,6,1,1000000,0
0.500,0.06500,17,1,1000000,0
0.600,0.01000,11,1,1000000,0
0.600,0.01000,27,1,1000000,0
0.580,0.01500,1,1,1000000,0
0.620,0.00750,22,1,1000000,0
0.620,0.01000,22,1,11862,1
0.620,0.01250,22,1,3199,1
0.620,0.01500,22,1,2696,1
0.620,0.01750,22,1,1864,1
0.620,0.02000,22,1,2050,1
0.550,0.03250,6,1,1000000,0
0.600,0.01250,11,1,1000000,0
0.500,0.06750,17,1,1000000,0
0.580,0.01750,1,1,1000000,0
0.600,0.01250,27,1,1000000,0
0.600,0.00500,22,1,1000000,0
0.550,0.03500,6,1,1000000,0
0.500,0.07000,17,1,1000000,0
0.600,0.01500,11,1,1000000,0
0.600,0.01500,27,1,1000000,0
0.580,0.02000,1,1,1000000,0
0.600,0.00750,22,1,1000000,0
0.550,0.03750,6,1,1000000,0
0.600,0.01750,11,1,1000000,0
0.500,0.07250,17,1,1000000,0
0.580,0.02250,1,1,1000000,0
0.600,0.01750,27,1,1000000,0
0.600,0.01000,22,1,1000000,0
0.600,0.02000,27,1,24361,1
0.600,0.02250,27,1,2535,1
0.600,0.02500,27,1,3952,1
0.600,0.02750,27,1,2483,1
0.600,0.03000,27,1,1805,1
0.600,0.03250,27,1,2178,1
0.600,0.03500,27,1,929,1
0.600,0.02000,11,1,365357,1
0.600,0.02250,11,1,7748,1
0.600,0.02500,11,1,2396,1
0.600,0.02750,11,1,1485,1
0.600,0.03000,11,1,1823,1
0.600,0.03250,11,1,1330,1
0.600,0.03500,11,1,974,1
0.550,0.04000,6,1,1000000,0
0.500,0.07500,17,1,1000000,0
0.600,0.01250,22,1,1000000,0
0.580,0.02500,1,1,1000000,0
0.580,0.01000,28,1,1000000,0
0.580,0.01000,12,1,1000000,0
0.550,0.04250,6,1,1000000,0
0.500,0.07750,17,1,1000000,0
0.580,0.02750,1,1,1000000,0
0.600,0.01500,22,1,1000000,0
0.580,0.01250,28,1,1000000,0
0.580,0.01250,12,1,1000000,0
0.550,0.04500,6,1,1000000,0
0.500,0.08000,17,1,1000000,0
0.580,0.03000,1,1,1000000,0
0.600,0.01750,22,1,1000000,0
0.580,0.01500,28,1,1000000,0
0.580,0.01500,12,1,1000000,0
0.550,0.04750,6,1,1000000,0
0.600,0.02000,22,1,761680,1
0.600,0.02250,22,1,70223,1
0.600,0.02500,22,1,2236,1
0.600,0.02750,22,1,2691,1
0.600,0.03000,22,1,2055,1
0.600,0.03250,22,1,1620,1
0.600,0.03500,22,1,1197,1
0.500,0.08250,17,1,1000000,0
0.580,0.03250,1,1,1000000,0
0.580,0.01750,28,1,1000000,0
0.580,0.01750,12,1,1000000,0
0.550,0.05000,6,1,1000000,0
0.580,0.01000,23,1,1000000,0
0.500,0.08500,17,1,1000000,0
0.580,0.03500,1,1,1000000,0
0.580,0.02000,28,1,1000000,0
0.580,0.02000,12,1,1000000,0
0.550,0.05250,6,1,1000000,0
0.580,0.01250,23,1,1000000,0
0.500,0.08750,17,1,1000000,0
0.580,0.03750,1,1,950830,1
0.580,0.02250,28,1,1000000,0
0.580,0.04000,1,1,149581,1
0.580,0.02250,12,1,1000000,0
0.550,0.05500,6,1,1000000,0
0.580,0.01500,23,1,1000000,0
0.500,0.09000,17,1,1000000,0
0.580,0.02500,28,1,1000000,0
0.500,0.06000,1,1,1000000,0
0.580,0.02500,12,1,1000000,0
0.550,0.05750,6,1,1000000,0
0.580,0.01750,23,1,1000000,0
0.500,0.09250,17,1,1000000,0
0.580,0.02750,28,1,1000000,0
0.500,0.06250,1,1,1000000,0
0.580,0.02750,12,1,1000000,0
0.550,0.06000,6,1,1000000,0
0.580,0.02000,23,1,1000000,0
0.500,0.09500,17,1,1000000,0
0.580,0.03000,28,1,1000000,0
0.500,0.06500,1,1,1000000,0
0.580,0.03000,12,1,1000000,0
0.620,0.00250,6,1,1000000,0
0.580,0.02250,23,1,1000000,0
0.500,0.09750,17,1,1000000,0
0.580,0.03250,28,1,1000000,0
0.500,0.06750,1,1,1000000,0
0.580,0.03250,12,1,1000000,0
0.620,0.00500,6,1,1000000,0
0.580,0.02500,23,1,1000000,0
0.500,0.10000,17,1,1000000,0
0.580,0.03500,28,1,1000000,0
0.500,0.07000,1,1,1000000,0
0.580,0.03500,12,1,1000000,0
0.620,0.00750,6,1,1000000,0
0.620,0.01000,6,1,7506,1
0.620,0.01250,6,1,3896,1
0.620,0.01500,6,1,2959,1
0.620,0.01750,6,1,1954,1
0.620,0.02000,6,1,2230,1
0.550,0.02500,17,1,1000000,0
0.580,0.02750,23,1,1000000,0
0.580,0.03750,28,1,1000000,0
0.500,0.07250,1,1,1000000,0
0.580,0.03750,12,1,1000000,0
0.580,0.04000,28,1,276420,1
0.580,0.04000,12,1,159074,1
0.600,0.00500,6,1,1000000,0
0.550,0.02750,17,1,1000000,0
0.580,0.03000,23,1,1000000,0
0.500,0.07500,1,1,1000000,0
0.500,0.06000,28,1,1000000,0
0.500,0.06000,12,1,1000000,0
0.600,0.00750,6,1,1000000,0
0.550,0.03000,17,1,1000000,0
0.580,0.03250,23,1,1000000,0
0.500,0.07750,1,1,1000000,0
0.500,0.06250,28,1,1000000,0
0.500,0.06250,12,1,1000000,0
0.600,0.01000,6,1,1000000,0
0.580,0.03500,23,1,1000000,0
0.550,0.03250,17,1,1000000,0
0.500,0.08000,1,1,1000000,0
0.500,0.06500,28,1,1000000,0
0.500,0.06500,12,1,1000000,0
0.600,0.01250,6,1,1000000,0
0.580,0.03750,23,1,953982,1
0.550,0.03500,17,1,1000000,0
0.500,0.08250,1,1,1000000,0
0.580,0.04000,23,1,354016,1
0.500,0.06750,28,1,1000000,0
0.500,0.06750,12,1,1000000,0
0.600,0.01500,6,1,1000000,0
0.550,0.03750,17,1,1000000,0
0.500,0.08500,1,1,1000000,0
0.500,0.06000,23,1,1000000,0
0.500,0.07000,28,1,1000000,0
0.500,0.07000,12,1,1000000,0
0.600,0.01750,6,1,1000000,0
0.550,0.04000,17,1,1000000,0
0.500,0.08750,1,1,1000000,0
0.600,0.02000,6,1,353030,1
0.600,0.02250,6,1,18977,1
0.600,0.02500,6,1,6020,1
0.600,0.02750,6,1,2427,1
0.600,0.03000,6,1,2774,1
0.600,0.03250,6,1,1358,1
0.600,0.03500,6,1,1172,1
0.500,0.06250,23,1,1000000,0
0.500,0.07250,28,1,1000000,0
0.500,0.07250,12,1,1000000,0
0.550,0.04250,17,1,1000000,0
0.500,0.09000,1,1,1000000,0
0.500,0.06500,23,1,1000000,0
0.580,0.01000,7,1,1000000,0
0.500,0.07500,28,1,1000000,0
0.500,0.07500,12,1,1000000,0
0.550,0.04500,17,1,1000000,0
0.500,0.09250,1,1,1000000,0
0.500,0.06750,23,1,1000000,0
0.580,0.01250,7,1,1000000,0
0.500,0.07750,28,1,1000000,0
0.500,0.07750,12,1,1000000,0
0.550,0.04750,17,1,1000000,0
0.500,0.09500,1,1,1000000,0
0.580,0.01500,7,1,1000000,0
0.500,0.07000,23,1,1000000,0
0.500,0.08000,28,1,1000000,0
0.500,0.08000,12,1,1000000,0
0.550,0.05000,17,1,1000000,0
0.500,0.09750,1,1,1000000,0
0.580,0.01750,7,1,1000000,0
0.500,0.07250,23,1,1000000,0
0.500,0.08250,28,1,1000000,0
0.500,0.08250,12,1,1000000,0
0.550,0.05250,17,1,1000000,0
0.500,0.10000,1,1,1000000,0
0.500,0.07500,23,1,1000000,0
0.580,0.02000,7,1,1000000,0
0.500,0.08500,28,1,1000000,0
0.500,0.08500,12,1,1000000,0
0.550,0.05500,17,1,1000000,0
0.550,0.02500,1,1,1000000,0
0.500,0.07750,23,1,1000000,0
0.580,0.02250,7,1,1000000,0
0.500,0.08750,28,1,1000000,0
0.500,0.08750,12,1,1000000,0
0.550,0.05750,17,1,1000000,0
0.550,0.02750,1,1,1000000,0
0.500,0.08000,23,1,1000000,0
0.580,0.02500,7,1,1000000,0
0.500,0.09000,28,1,1000000,0
0.500,0.09000,12,1,1000000,0
0.550,0.06000,17,1,1000000,0
0.550,0.03000,1,1,1000000,0
0.500,0.08250,23,1,1000000,0
0.580,0.02750,7,1,1000000,0
0.500,0.09250,28,1,1000000,0
0.500,0.09250,12,1,1000000,0
