# generator=escape_time_hybrid.jl  N=100  N_DIS=32  MAX_STEPS=100000  φ_escape=0.5  generated=2026-06-11T11:24:46.763
alpha,T,disorder,K,tau,escaped
0.550,0.06000,1,1,27,1
0.500,0.08250,1,1,100000,0
0.580,0.03750,1,1,27,1
0.550,0.06000,2,1,72,1
0.580,0.01000,1,1,100000,0
0.550,0.06000,3,1,49,1
0.600,0.01000,1,1,100000,0
0.550,0.03250,1,1,100000,0
0.550,0.06000,4,1,17,1
0.580,0.03750,2,1,41,1
0.550,0.06000,5,1,27,1
0.580,0.03750,3,1,36,1
0.550,0.06000,6,1,23,1
0.580,0.03750,4,1,36,1
0.550,0.06000,7,1,98,1
0.550,0.06000,8,1,32,1
0.580,0.03750,5,1,43,1
0.550,0.06000,9,1,18,1
0.580,0.03750,6,1,43,1
0.550,0.06000,10,1,194,1
0.580,0.03750,7,1,47,1
0.550,0.06000,11,1,32,1
0.580,0.03750,8,1,43,1
0.550,0.06000,12,1,35,1
0.580,0.03750,9,1,39,1
0.550,0.06000,13,1,18,1
0.580,0.03750,10,1,35,1
0.550,0.06000,14,1,94,1
0.580,0.03750,11,1,38,1
0.550,0.06000,15,1,267,1
0.580,0.03750,12,1,44,1
0.550,0.06000,16,1,53,1
0.580,0.03750,13,1,65,1
0.550,0.06000,17,1,138,1
0.580,0.03750,14,1,42,1
0.550,0.06000,18,1,38,1
0.580,0.03750,15,1,40,1
0.550,0.06000,19,1,60,1
0.580,0.03750,16,1,45,1
0.550,0.06000,20,1,50,1
0.580,0.03750,17,1,31,1
0.550,0.06000,21,1,78,1
0.580,0.03750,18,1,42,1
0.550,0.06000,22,1,69,1
0.580,0.03750,19,1,52,1
0.580,0.03750,20,1,29,1
0.550,0.06000,23,1,84,1
0.580,0.03750,21,1,52,1
0.550,0.06000,24,1,62,1
0.580,0.03750,22,1,39,1
0.550,0.06000,25,1,47,1
0.580,0.03750,23,1,36,1
0.550,0.06000,26,1,56,1
0.580,0.03750,24,1,30,1
0.550,0.06000,27,1,49,1
0.580,0.03750,25,1,53,1
0.580,0.03750,26,1,44,1
0.550,0.06000,28,1,97,1
0.550,0.06000,29,1,16,1
0.580,0.03750,27,1,30,1
0.550,0.06000,30,1,137,1
0.580,0.03750,28,1,36,1
0.550,0.06000,31,1,169,1
0.580,0.03750,29,1,43,1
0.550,0.06000,32,1,79,1
0.580,0.03750,30,1,28,1
0.580,0.03750,31,1,45,1
0.580,0.03750,32,1,38,1
0.580,0.04000,1,1,43,1
0.580,0.04000,2,1,22,1
0.580,0.04000,3,1,46,1
0.580,0.04000,4,1,36,1
0.580,0.04000,5,1,31,1
0.580,0.04000,6,1,18,1
0.580,0.04000,7,1,35,1
0.580,0.04000,8,1,24,1
0.580,0.04000,9,1,38,1
0.580,0.04000,10,1,30,1
0.580,0.04000,11,1,39,1
0.580,0.04000,12,1,35,1
0.580,0.04000,13,1,23,1
0.580,0.04000,14,1,47,1
0.580,0.04000,15,1,30,1
0.580,0.04000,16,1,17,1
0.580,0.04000,17,1,35,1
0.580,0.04000,18,1,31,1
0.580,0.04000,19,1,31,1
0.580,0.04000,20,1,35,1
0.580,0.04000,21,1,44,1
0.580,0.04000,22,1,48,1
0.580,0.04000,23,1,27,1
0.580,0.04000,24,1,20,1
0.580,0.04000,25,1,57,1
0.580,0.04000,26,1,52,1
0.580,0.04000,27,1,37,1
0.580,0.04000,28,1,41,1
0.580,0.04000,29,1,36,1
0.580,0.04000,30,1,21,1
0.580,0.04000,31,1,27,1
0.580,0.04000,32,1,29,1
0.600,0.01000,2,1,100000,0
0.580,0.01000,2,1,100000,0
0.550,0.03250,2,1,100000,0
0.500,0.08250,2,1,100000,0
0.620,0.00250,1,1,100000,0
0.500,0.06000,1,1,100000,0
0.600,0.01000,3,1,100000,0
0.620,0.00250,2,1,100000,0
0.580,0.01000,3,1,100000,0
0.550,0.03250,3,1,100000,0
0.500,0.08250,3,1,100000,0
0.500,0.06000,2,1,100000,0
0.600,0.01000,4,1,100000,0
0.620,0.00250,3,1,100000,0
0.580,0.01000,4,1,100000,0
0.550,0.03250,4,1,100000,0
0.500,0.08250,4,1,100000,0
0.620,0.00250,4,1,100000,0
0.600,0.01000,5,1,100000,0
0.500,0.06000,3,1,100000,0
0.580,0.01000,5,1,100000,0
0.550,0.03250,5,1,100000,0
0.620,0.00250,5,1,100000,0
0.600,0.01000,6,1,100000,0
0.500,0.08250,5,1,100000,0
0.500,0.06000,4,1,100000,0
0.580,0.01000,6,1,100000,0
0.550,0.03250,6,1,100000,0
0.620,0.00250,6,1,100000,0
0.600,0.01000,7,1,100000,0
0.500,0.06000,5,1,100000,0
0.500,0.08250,6,1,100000,0
0.620,0.00250,7,1,100000,0
0.550,0.03250,7,1,100000,0
0.600,0.01000,8,1,100000,0
0.580,0.01000,7,1,100000,0
0.620,0.00250,8,1,100000,0
0.500,0.06000,6,1,100000,0
0.500,0.08250,7,1,100000,0
0.600,0.01000,9,1,100000,0
0.550,0.03250,8,1,100000,0
0.580,0.01000,8,1,100000,0
0.620,0.00250,9,1,100000,0
0.500,0.06000,7,1,100000,0
0.600,0.01000,10,1,100000,0
0.500,0.08250,8,1,100000,0
0.550,0.03250,9,1,100000,0
0.580,0.01000,9,1,100000,0
0.620,0.00250,10,1,100000,0
0.600,0.01000,11,1,100000,0
0.500,0.06000,8,1,100000,0
0.500,0.08250,9,1,100000,0
0.620,0.00250,11,1,100000,0
0.550,0.03250,10,1,100000,0
0.580,0.01000,10,1,100000,0
0.600,0.01000,12,1,100000,0
0.500,0.06000,9,1,100000,0
0.620,0.00250,12,1,100000,0
0.550,0.03250,11,1,100000,0
0.580,0.01000,11,1,100000,0
0.500,0.08250,10,1,100000,0
0.600,0.01000,13,1,100000,0
0.620,0.00250,13,1,100000,0
0.500,0.06000,10,1,100000,0
0.550,0.03250,12,1,100000,0
0.580,0.01000,12,1,100000,0
0.500,0.08250,11,1,100000,0
0.600,0.01000,14,1,100000,0
0.620,0.00250,14,1,100000,0
0.500,0.06000,11,1,100000,0
0.550,0.03250,13,1,100000,0
0.600,0.01000,15,1,100000,0
0.580,0.01000,13,1,100000,0
0.620,0.00250,15,1,100000,0
0.500,0.08250,12,1,100000,0
0.500,0.06000,12,1,100000,0
0.620,0.00250,16,1,100000,0
0.550,0.03250,14,1,100000,0
0.600,0.01000,16,1,100000,0
0.580,0.01000,14,1,100000,0
0.500,0.08250,13,1,100000,0
0.500,0.06000,13,1,100000,0
0.620,0.00250,17,1,100000,0
0.600,0.01000,17,1,100000,0
0.550,0.03250,15,1,100000,0
0.580,0.01000,15,1,100000,0
0.500,0.08250,14,1,100000,0
0.620,0.00250,18,1,100000,0
0.500,0.06000,14,1,100000,0
0.600,0.01000,18,1,100000,0
0.550,0.03250,16,1,100000,0
0.580,0.01000,16,1,100000,0
0.620,0.00250,19,1,100000,0
0.500,0.06000,15,1,100000,0
0.500,0.08250,15,1,100000,0
0.600,0.01000,19,1,100000,0
0.580,0.01000,17,1,100000,0
0.550,0.03250,17,1,100000,0
0.620,0.00250,20,1,100000,0
0.600,0.01000,20,1,100000,0
0.500,0.06000,16,1,100000,0
0.500,0.08250,16,1,100000,0
0.620,0.00250,21,1,100000,0
0.580,0.01000,18,1,100000,0
0.550,0.03250,18,1,100000,0
0.600,0.01000,21,1,100000,0
0.500,0.06000,17,1,100000,0
0.500,0.08250,17,1,100000,0
0.620,0.00250,22,1,100000,0
0.580,0.01000,19,1,100000,0
0.550,0.03250,19,1,100000,0
0.600,0.01000,22,1,100000,0
0.500,0.06000,18,1,100000,0
0.620,0.00250,23,1,100000,0
0.500,0.08250,18,1,100000,0
0.580,0.01000,20,1,100000,0
0.550,0.03250,20,1,100000,0
0.620,0.00250,24,1,100000,0
0.500,0.06000,19,1,100000,0
0.600,0.01000,23,1,100000,0
0.500,0.08250,19,1,100000,0
0.580,0.01000,21,1,100000,0
0.620,0.00250,25,1,100000,0
0.550,0.03250,21,1,100000,0
0.500,0.06000,20,1,100000,0
0.600,0.01000,24,1,100000,0
0.500,0.08250,20,1,100000,0
0.620,0.00250,26,1,100000,0
0.550,0.03250,22,1,100000,0
0.580,0.01000,22,1,100000,0
0.600,0.01000,25,1,100000,0
0.500,0.06000,21,1,100000,0
0.620,0.00250,27,1,100000,0
0.500,0.08250,21,1,91354,1
0.580,0.01000,23,1,100000,0
0.550,0.03250,23,1,100000,0
0.600,0.01000,26,1,100000,0
0.500,0.06000,22,1,100000,0
0.620,0.00250,28,1,100000,0
0.500,0.08250,22,1,100000,0
0.580,0.01000,24,1,100000,0
0.600,0.01000,27,1,100000,0
0.550,0.03250,24,1,100000,0
0.620,0.00250,29,1,100000,0
0.500,0.06000,23,1,100000,0
0.500,0.08250,23,1,100000,0
0.600,0.01000,28,1,100000,0
0.620,0.00250,30,1,100000,0
0.580,0.01000,25,1,100000,0
0.550,0.03250,25,1,100000,0
0.500,0.06000,24,1,100000,0
0.620,0.00250,31,1,100000,0
0.600,0.01000,29,1,100000,0
0.500,0.08250,24,1,100000,0
0.580,0.01000,26,1,100000,0
0.550,0.03250,26,1,100000,0
0.500,0.06000,25,1,100000,0
0.620,0.00250,32,1,100000,0
0.600,0.01000,30,1,100000,0
0.500,0.08250,25,1,100000,0
0.580,0.01000,27,1,100000,0
0.550,0.03250,27,1,100000,0
0.500,0.06000,26,1,100000,0
0.620,0.00500,1,1,100000,0
0.600,0.01000,31,1,100000,0
0.580,0.01000,28,1,100000,0
0.500,0.08250,26,1,100000,0
0.620,0.00500,2,1,100000,0
0.500,0.06000,27,1,100000,0
0.550,0.03250,28,1,100000,0
0.600,0.01000,32,1,100000,0
0.580,0.01000,29,1,100000,0
