alpha,T_bd
0.2300,0.471667
0.2400,0.457500
0.2500,0.447000
0.2600,0.427000
0.2700,0.405000
0.2800,0.387000
0.2900,0.373000
0.3000,0.357000
0.3100,0.343000
0.3200,0.325000
0.3300,0.311000
0.3400,0.295000
0.3500,0.281000
0.3600,0.267000
0.3700,0.255000
0.3800,0.241000
0.3900,0.229000
0.4000,0.215000
0.4100,0.201000
0.4200,0.189000
0.4300,0.177000
0.4400,0.163000
0.4500,0.153000
0.4600,0.143000
0.4700,0.133000
0.4800,0.123000
0.4900,0.115000
0.5000,0.105000
0.5100,0.095000
0.5200,0.085000
0.5300,0.075000
0.5400,0.065000
0.5500,0.057000
0.5600,0.049000
0.5700,0.043000
0.5800,0.037000
0.5900,0.033000
0.6000,0.027000
0.6100,0.021000
0.6200,0.015000
0.6300,0.011000
0.6400,0.007500
0.6500,0.005000
