# generator=validate_spinodal_cpu.jl  threads=6  K_TARGET=10000  N_EQ=8000  N_SAMP=2000  generated=2026-06-09T01:31:47.173
alpha,N,T,disorder,init,phi
0.200,50,0.1000,1,cold,0.954546
0.200,50,0.1000,2,cold,0.953455
0.200,50,0.1000,3,cold,0.950999
0.200,50,0.1000,4,cold,0.946284
0.200,50,0.1000,5,cold,0.947534
0.200,50,0.1000,6,cold,0.954766
0.200,50,0.1000,7,cold,0.955200
0.200,50,0.1000,8,cold,0.949597
0.200,50,0.1200,1,cold,0.943966
0.200,50,0.1200,2,cold,0.948288
0.200,50,0.1200,3,cold,0.945288
0.200,50,0.1200,4,cold,0.943082
0.200,50,0.1200,5,cold,0.941988
0.200,50,0.1200,6,cold,0.942108
0.200,50,0.1200,7,cold,0.934885
0.200,50,0.1200,8,cold,0.943136
0.200,50,0.1400,1,cold,0.939098
0.200,50,0.1400,2,cold,0.931338
0.200,50,0.1400,3,cold,0.939535
0.200,50,0.1400,4,cold,0.939230
0.200,50,0.1400,5,cold,0.931050
0.200,50,0.1400,6,cold,0.932674
0.200,50,0.1400,7,cold,0.939762
0.200,50,0.1400,8,cold,0.937183
0.200,50,0.1600,1,cold,0.919469
0.200,50,0.1600,2,cold,0.918310
0.200,50,0.1600,3,cold,0.925382
0.200,50,0.1600,4,cold,0.924066
0.200,50,0.1600,5,cold,0.933347
0.200,50,0.1600,6,cold,0.911835
0.200,50,0.1600,7,cold,0.929333
0.200,50,0.1600,8,cold,0.924059
0.200,50,0.1800,1,cold,0.917301
0.200,50,0.1800,2,cold,0.921992
0.200,50,0.1800,3,cold,0.904773
0.200,50,0.1800,4,cold,0.905659
0.200,50,0.1800,5,cold,0.913254
0.200,50,0.1800,6,cold,0.913607
0.200,50,0.1800,7,cold,0.912138
0.200,50,0.1800,8,cold,0.914114
0.200,50,0.2000,1,cold,0.905509
0.200,50,0.2000,2,cold,0.902955
0.200,50,0.2000,3,cold,0.903440
0.200,50,0.2000,4,cold,0.897614
0.200,50,0.2000,5,cold,0.906324
0.200,50,0.2000,6,cold,0.920002
0.200,50,0.2000,7,cold,0.892323
0.200,50,0.2000,8,cold,0.901444
0.200,50,0.2200,1,cold,0.910419
0.200,50,0.2200,2,cold,0.906711
0.200,50,0.2200,3,cold,0.898445
0.200,50,0.2200,4,cold,0.906449
0.200,50,0.2200,5,cold,0.897704
0.200,50,0.2200,6,cold,0.883339
0.200,50,0.2200,7,cold,0.886022
0.200,50,0.2200,8,cold,0.892836
0.200,50,0.2400,1,cold,0.883955
0.200,50,0.2400,2,cold,0.892609
0.200,50,0.2400,3,cold,0.891651
0.200,50,0.2400,4,cold,0.883984
0.200,50,0.2400,5,cold,0.890014
0.200,50,0.2400,6,cold,0.901929
0.200,50,0.2400,7,cold,0.887233
0.200,50,0.2400,8,cold,0.889308
0.200,50,0.2600,1,cold,0.868648
0.200,50,0.2600,2,cold,0.880531
0.200,50,0.2600,3,cold,0.883833
0.200,50,0.2600,4,cold,0.890019
0.200,50,0.2600,5,cold,0.868111
0.200,50,0.2600,6,cold,0.894589
0.200,50,0.2600,7,cold,0.882416
0.200,50,0.2600,8,cold,0.871167
0.200,50,0.2800,1,cold,0.875116
0.200,50,0.2800,2,cold,0.878406
0.200,50,0.2800,3,cold,0.872545
0.200,50,0.2800,4,cold,0.861120
0.200,50,0.2800,5,cold,0.868646
0.200,50,0.2800,6,cold,0.880213
0.200,50,0.2800,7,cold,0.887419
0.200,50,0.2800,8,cold,0.874891
0.200,50,0.3000,1,cold,0.854788
0.200,50,0.3000,2,cold,0.853579
0.200,50,0.3000,3,cold,0.858650
0.200,50,0.3000,4,cold,0.865403
0.200,50,0.3000,5,cold,0.867914
0.200,50,0.3000,6,cold,0.864250
0.200,50,0.3000,7,cold,0.859872
0.200,50,0.3000,8,cold,0.879889
0.200,50,0.3200,1,cold,0.860909
0.200,50,0.3200,2,cold,0.853045
0.200,50,0.3200,3,cold,0.857829
0.200,50,0.3200,4,cold,0.863111
0.200,50,0.3200,5,cold,0.838325
0.200,50,0.3200,6,cold,0.853334
0.200,50,0.3200,7,cold,0.871170
0.200,50,0.3200,8,cold,0.865747
0.200,50,0.3400,1,cold,0.837362
0.200,50,0.3400,2,cold,0.844581
0.200,50,0.3400,3,cold,0.850361
0.200,50,0.3400,4,cold,0.852205
0.200,50,0.3400,5,cold,0.864325
0.200,50,0.3400,6,cold,0.856286
0.200,50,0.3400,7,cold,0.854223
0.200,50,0.3400,8,cold,0.855508
0.200,50,0.3600,1,cold,0.840764
0.200,50,0.3600,2,cold,0.832958
0.200,50,0.3600,3,cold,0.858562
0.200,50,0.3600,4,cold,0.827316
0.200,50,0.3600,5,cold,0.844828
0.200,50,0.3600,6,cold,0.843852
0.200,50,0.3600,7,cold,0.829441
0.200,50,0.3600,8,cold,0.851267
0.200,50,0.3800,1,cold,0.822403
0.200,50,0.3800,2,cold,0.830336
0.200,50,0.3800,3,cold,0.831108
0.200,50,0.3800,4,cold,0.830436
0.200,50,0.3800,5,cold,0.821628
0.200,50,0.3800,6,cold,0.843562
0.200,50,0.3800,7,cold,0.818877
0.200,50,0.3800,8,cold,0.824159
0.200,50,0.4000,1,cold,0.813949
0.200,50,0.4000,2,cold,0.802865
0.200,50,0.4000,3,cold,0.828871
0.200,50,0.4000,4,cold,0.825861
0.200,50,0.4000,5,cold,0.817836
0.200,50,0.4000,6,cold,0.808439
0.200,50,0.4000,7,cold,0.827689
0.200,50,0.4000,8,cold,0.838902
0.200,50,0.4200,1,cold,0.812489
0.200,50,0.4200,2,cold,0.803641
0.200,50,0.4200,3,cold,0.815063
0.200,50,0.4200,4,cold,0.786928
0.200,50,0.4200,5,cold,0.814971
0.200,50,0.4200,6,cold,0.821660
0.200,50,0.4200,7,cold,0.814470
0.200,50,0.4200,8,cold,0.811999
0.200,50,0.4400,1,cold,0.807715
0.200,50,0.4400,2,cold,0.519218
0.200,50,0.4400,3,cold,0.797013
0.200,50,0.4400,4,cold,0.829745
0.200,50,0.4400,5,cold,0.803260
0.200,50,0.4400,6,cold,0.809778
0.200,50,0.4400,7,cold,0.813475
0.200,50,0.4400,8,cold,0.815318
0.200,50,0.4600,1,cold,0.812612
0.200,50,0.4600,2,cold,0.814453
0.200,50,0.4600,3,cold,0.780227
0.200,50,0.4600,4,cold,0.793227
0.200,50,0.4600,5,cold,0.727679
0.200,50,0.4600,6,cold,0.804702
0.200,50,0.4600,7,cold,0.801744
0.200,50,0.4600,8,cold,0.445512
0.200,50,0.4800,1,cold,0.793276
0.200,50,0.4800,2,cold,0.783369
0.200,50,0.4800,3,cold,0.782016
0.200,50,0.4800,4,cold,0.784480
0.200,50,0.4800,5,cold,0.798643
0.200,50,0.4800,6,cold,0.789375
0.200,50,0.4800,7,cold,0.272226
0.200,50,0.4800,8,cold,0.770640
0.200,50,0.5000,1,cold,0.270047
0.200,50,0.5000,2,cold,0.791916
0.200,50,0.5000,3,cold,0.782829
0.200,50,0.5000,4,cold,0.312961
0.200,50,0.5000,5,cold,0.787278
0.200,50,0.5000,6,cold,0.333256
0.200,50,0.5000,7,cold,0.293743
0.200,50,0.5000,8,cold,0.223373
0.200,100,0.1000,1,cold,0.947145
