# generator=validate_spinodal_cpu.jl  threads=6  K_TARGET=10000  N_EQ=8000  N_SAMP=2000  generated=2026-06-08T22:39:28.004
alpha,N,T,disorder,init,phi
0.300,50,0.2000,1,cold,0.909625
0.300,50,0.2000,2,cold,0.905993
0.300,50,0.2000,3,cold,0.906392
0.300,50,0.2000,4,cold,0.910974
0.300,50,0.2250,1,cold,0.906236
0.300,50,0.2250,2,cold,0.900182
0.300,50,0.2250,3,cold,0.903403
0.300,50,0.2250,4,cold,0.899965
0.300,50,0.2500,1,cold,0.882987
0.300,50,0.2500,2,cold,0.890914
0.300,50,0.2500,3,cold,0.877806
0.300,50,0.2500,4,cold,0.886456
0.300,50,0.2750,1,cold,0.871382
0.300,50,0.2750,2,cold,0.868736
0.300,50,0.2750,3,cold,0.870650
0.300,50,0.2750,4,cold,0.870233
0.300,50,0.3000,1,cold,0.852570
0.300,50,0.3000,2,cold,0.872807
0.300,50,0.3000,3,cold,0.867112
0.300,50,0.3000,4,cold,0.863536
0.300,50,0.3250,1,cold,0.860535
0.300,50,0.3250,2,cold,0.857123
0.300,50,0.3250,3,cold,0.856723
0.300,50,0.3250,4,cold,0.844550
0.300,50,0.3500,1,cold,0.843265
0.300,50,0.3500,2,cold,0.842452
0.300,50,0.3500,3,cold,0.850233
0.300,50,0.3500,4,cold,0.842228
0.300,50,0.3750,1,cold,0.824963
0.300,50,0.3750,2,cold,0.825997
0.300,50,0.3750,3,cold,0.827164
0.300,50,0.3750,4,cold,0.817921
0.300,50,0.4000,1,cold,0.357801
0.300,50,0.4000,2,cold,0.394431
0.300,50,0.4000,3,cold,0.331073
0.300,50,0.4000,4,cold,0.529192
0.300,50,0.4250,1,cold,0.801891
0.300,50,0.4250,2,cold,0.362882
0.300,50,0.4250,3,cold,0.389841
0.300,50,0.4250,4,cold,0.365944
0.300,50,0.4500,1,cold,0.382926
0.300,50,0.4500,2,cold,0.365536
0.300,50,0.4500,3,cold,0.384259
0.300,50,0.4500,4,cold,0.349099
0.300,50,0.4750,1,cold,0.356151
0.300,50,0.4750,2,cold,0.422938
0.300,50,0.4750,3,cold,0.326103
0.300,50,0.4750,4,cold,0.356010
0.300,50,0.5000,1,cold,0.350865
0.300,50,0.5000,2,cold,0.322011
0.300,50,0.5000,3,cold,0.346477
0.300,50,0.5000,4,cold,0.345934
0.300,50,0.5250,1,cold,0.335115
0.300,50,0.5250,2,cold,0.346764
0.300,50,0.5250,3,cold,0.313742
0.300,50,0.5250,4,cold,0.328120
0.300,50,0.5500,1,cold,0.317186
