# generator=validate_spinodal_cpu.jl  threads=6  K_TARGET=10000  N_EQ=8000  N_SAMP=2000  generated=2026-06-08T22:48:13.795
alpha,N,T,disorder,init,phi
0.600,50,0.0050,1,cold,0.997119
0.600,50,0.0050,2,cold,0.997267
0.600,50,0.0050,3,cold,0.996877
0.600,50,0.0050,4,cold,0.995907
0.600,50,0.0100,1,cold,0.992829
0.600,50,0.0100,2,cold,0.993104
0.600,50,0.0100,3,cold,0.993576
0.600,50,0.0100,4,cold,0.993619
0.600,50,0.0150,1,cold,0.989722
0.600,50,0.0150,2,cold,0.986519
0.600,50,0.0150,3,cold,0.987059
0.600,50,0.0150,4,cold,0.989221
0.600,50,0.0200,1,cold,0.984400
0.600,50,0.0200,2,cold,0.979076
0.600,50,0.0200,3,cold,0.979551
0.600,50,0.0200,4,cold,0.982700
0.600,50,0.0250,1,cold,0.975809
0.600,50,0.0250,2,cold,0.959870
0.600,50,0.0250,3,cold,0.965166
0.600,50,0.0250,4,cold,0.975834
0.600,50,0.0300,1,cold,0.889551
0.600,50,0.0300,2,cold,0.942473
0.600,50,0.0300,3,cold,0.930980
0.600,50,0.0300,4,cold,0.787791
0.600,50,0.0350,1,cold,0.492332
0.600,50,0.0350,2,cold,0.673050
0.600,50,0.0350,3,cold,0.806539
0.600,50,0.0350,4,cold,0.676806
0.600,50,0.0400,1,cold,0.351398
0.600,50,0.0400,2,cold,0.584666
0.600,50,0.0400,3,cold,0.587591
0.600,50,0.0400,4,cold,0.547883
0.600,50,0.0450,1,cold,0.243128
0.600,50,0.0450,2,cold,0.495802
0.600,50,0.0450,3,cold,0.369203
0.600,50,0.0450,4,cold,0.464155
0.600,50,0.0500,1,cold,0.122977
0.600,50,0.0500,2,cold,0.344570
0.600,50,0.0500,3,cold,0.044055
0.600,50,0.0500,4,cold,0.423920
0.600,50,0.0550,1,cold,0.239295
0.600,50,0.0550,2,cold,0.143636
0.600,50,0.0550,3,cold,0.182598
0.600,50,0.0550,4,cold,0.121714
0.600,50,0.0600,1,cold,0.191870
0.600,50,0.0600,2,cold,0.075022
0.600,50,0.0600,3,cold,0.137646
0.600,50,0.0600,4,cold,0.050028
0.600,50,0.0650,1,cold,0.157384
0.600,50,0.0650,2,cold,0.019200
0.600,50,0.0650,3,cold,0.105095
0.600,50,0.0650,4,cold,-0.003748
0.600,50,0.0700,1,cold,-0.034878
0.600,50,0.0700,2,cold,0.213929
0.600,50,0.0700,3,cold,0.076862
0.600,50,0.0700,4,cold,0.079684
0.600,50,0.0750,1,cold,-0.172647
0.600,50,0.0750,2,cold,0.184238
0.600,50,0.0750,3,cold,0.194164
0.600,50,0.0750,4,cold,0.099664
0.600,50,0.0800,1,cold,-0.170789
0.600,50,0.0800,2,cold,0.169319
0.600,50,0.0800,3,cold,0.165769
0.600,50,0.0800,4,cold,0.076906
0.600,50,0.0850,1,cold,-0.163024
0.600,50,0.0850,2,cold,0.159532
0.600,50,0.0850,3,cold,0.143372
0.600,50,0.0850,4,cold,0.059067
0.600,50,0.0900,1,cold,-0.082601
0.600,50,0.0900,2,cold,0.073413
0.600,50,0.0900,3,cold,0.163768
0.600,50,0.0900,4,cold,0.146046
0.600,50,0.0950,1,cold,0.005395
0.600,50,0.0950,2,cold,-0.129226
0.600,50,0.0950,3,cold,-0.108596
0.600,50,0.0950,4,cold,0.073931
0.600,50,0.1000,1,cold,0.000753
0.600,50,0.1000,2,cold,-0.136021
0.600,50,0.1000,3,cold,-0.119221
0.600,50,0.1000,4,cold,0.077759
0.600,100,0.0050,1,cold,0.997280
0.600,100,0.0050,2,cold,0.997467
0.600,100,0.0050,3,cold,0.997667
0.600,100,0.0050,4,cold,0.998073
0.600,100,0.0100,1,cold,0.993200
0.600,100,0.0100,2,cold,0.992458
0.600,100,0.0100,3,cold,0.992909
0.600,100,0.0100,4,cold,0.995283
0.600,100,0.0150,1,cold,0.988957
0.600,100,0.0150,2,cold,0.991460
0.600,100,0.0150,3,cold,0.991282
0.600,100,0.0150,4,cold,0.990919
0.600,100,0.0200,1,cold,0.983309
0.600,100,0.0200,2,cold,0.985962
0.600,100,0.0200,3,cold,0.986579
0.600,100,0.0200,4,cold,0.985389
0.600,100,0.0250,1,cold,0.968625
