alpha,N,T_sp_cold,T_sp_hot,T_sp_LO
0.200,50,0.4810,NaN,1.1544
0.200,100,NaN,NaN,1.1544
0.200,1000,NaN,NaN,1.1544
0.250,50,0.4261,NaN,0.9664
0.250,100,NaN,NaN,0.9664
0.250,1000,NaN,NaN,0.9664
0.300,50,0.3841,NaN,0.7987
0.300,100,0.4554,NaN,0.7987
0.300,1000,NaN,NaN,0.7987
0.350,50,0.3220,NaN,0.6473
0.350,100,0.3649,NaN,0.6473
0.350,1000,NaN,NaN,0.6473
0.400,50,0.2716,NaN,0.5089
0.400,100,0.2983,NaN,0.5089
0.400,1000,0.4538,NaN,0.5089
0.450,50,0.1940,NaN,0.3811
0.450,100,0.2179,NaN,0.3811
0.450,1000,0.3465,NaN,0.3811
0.500,50,0.1223,NaN,0.2623
0.500,100,0.1538,NaN,0.2623
0.500,1000,0.2437,NaN,0.2623
0.550,50,0.0714,NaN,0.1508
0.550,100,0.0819,NaN,0.1508
0.550,1000,0.1501,NaN,0.1508
0.600,50,0.0277,NaN,0.0457
0.600,100,0.0287,NaN,0.0457
0.600,1000,0.0811,NaN,0.0457
