alpha,T0.1,T0.2,T0.3,T0.4,T0.5,T0.6,T0.7,T0.8,T0.9,T1.0,T1.1,T1.2,T1.3,T1.4,T1.5,T1.6,T1.7,T1.8,T1.9,T2.0,T2.1,T2.2,T2.3,T2.4,T2.5
0.02,0.9575,0.9092,0.8648,0.8238,0.7782,0.7507,0.7439,0.6660,0.6876,0.6274,0.5697,0.5396,0.0030,0.4832,0.5388,0.6058,0.4296,0.4823,0.4828,0.4670,0.4239,0.3809,0.1914,0.4564,0.1330
0.04,0.9511,0.9064,0.8778,0.8357,0.7807,0.7640,0.7232,0.6999,0.6453,0.6100,0.5997,0.5718,0.1749,0.0275,-0.0047,0.4722,0.4450,0.3069,-0.0345,0.0801,-0.0223,-0.0140,-0.0610,-0.0554,-0.0185
0.06,0.9532,0.9048,0.8626,0.8309,0.7609,0.7347,0.7360,0.7059,0.6506,0.6239,0.6230,0.5648,0.0257,0.0380,0.4023,-0.0359,-0.0387,-0.0874,0.0010,0.4431,-0.1394,0.0939,0.0243,0.0560,-0.0785
0.08,0.9560,0.9101,0.8459,0.8130,0.7987,0.6997,0.7150,0.6807,0.6986,0.6011,0.5530,0.5716,0.5220,0.4884,0.1286,0.0386,0.1278,-0.0272,0.2912,-0.1631,0.1521,0.3618,0.0461,-0.0857,0.0341
0.10,0.9483,0.8957,0.8548,0.8343,0.7787,0.7298,0.6841,0.6943,0.6593,0.6498,0.5952,0.5973,-0.0117,0.0487,-0.0278,-0.0362,-0.0556,-0.1019,0.0086,0.0861,0.1281,0.0043,-0.0497,-0.0082,-0.0514
0.12,0.9494,0.9171,0.8550,0.8344,0.7600,0.7311,0.7266,0.7035,0.1399,0.2933,0.5884,-0.0260,-0.0791,0.1530,-0.0059,0.1318,-0.0066,-0.0910,0.0019,-0.0518,0.0660,-0.0772,0.0428,0.2611,-0.0274
0.14,0.9547,0.9062,0.8533,0.8336,0.7754,0.7562,0.7199,0.7273,0.2196,-0.0599,0.0200,-0.0477,-0.0654,-0.0412,0.0321,0.0412,-0.0672,-0.0259,0.1037,0.0281,0.0333,0.0676,0.0764,-0.1045,-0.1027
0.16,0.9546,0.9071,0.8553,0.8312,0.7851,0.7352,0.2163,0.1587,0.1981,-0.0908,-0.1868,0.1222,-0.0122,0.0001,0.0864,-0.0909,0.0588,0.0413,0.1098,-0.0403,-0.0746,-0.0117,-0.0078,-0.0794,0.1110
0.18,0.9515,0.9080,0.8598,0.8051,0.7890,0.7837,0.7079,0.6330,0.0082,0.0974,-0.1210,-0.0256,-0.0182,0.0601,0.0956,-0.0252,0.1732,0.0034,0.0340,-0.0001,-0.0651,-0.0630,0.1167,0.0635,-0.0459
0.20,0.9535,0.9173,0.8555,0.8250,0.6297,0.7907,0.6962,0.5814,0.0691,0.1555,-0.0190,-0.0802,0.0161,-0.0273,-0.0188,0.0903,-0.0185,-0.0295,-0.0259,-0.0456,-0.0199,0.0167,-0.0185,0.0459,-0.0733
