alpha,T0.0100,T0.0112,T0.0125,T0.0140,T0.0157,T0.0176,T0.0197,T0.0220,T0.0246,T0.0276,T0.0309,T0.0345,T0.0387,T0.0433,T0.0484,T0.0542,T0.0607,T0.0679,T0.0760,T0.0851,T0.0952,T0.1066,T0.1193,T0.1335,T0.1495,T0.1673,T0.1872,T0.2096,T0.2346,T0.2625,T0.2939,T0.3289,T0.3681,T0.4120,T0.4612,T0.5162,T0.5778,T0.6467,T0.7238,T0.8101,T0.9068,T1.0149,T1.1360,T1.2715,T1.4232,T1.5929,T1.7829,T1.9956,T2.2336,T2.5000
0.01,0.9987,0.9988,0.9987,0.9987,0.9987,0.9988,0.9987,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9987,0.9988,0.9988,0.9988,0.9987,0.9988,0.9987,0.9988,0.9987,0.9987,0.9987,0.9987,0.9979,0.9955,0.9801,0.8907,0.8334,0.8153,0.7962,0.7761,0.7530,0.7267,0.7023,0.6748,0.6456,0.6137,0.5829,0.5497,0.5160,0.4815,0.4491,0.4146,0.3827,0.3505
0.02,0.9987,0.9988,0.9987,0.9987,0.9988,0.9987,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9988,0.9987,0.9987,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9987,0.9985,0.9977,0.9926,0.9577,0.8739,0.8493,0.8330,0.8154,0.7968,0.7742,0.7531,0.7284,0.7024,0.6742,0.6450,0.6139,0.5821,0.5502,0.5161,0.4821,0.4489,0.4147,0.3387,0.1403
0.03,0.9988,0.9988,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9987,0.9987,0.9988,0.9981,0.9952,0.9807,0.9150,0.8688,0.8492,0.8335,0.8150,0.7963,0.7759,0.7532,0.7285,0.7024,0.6753,0.6470,0.6143,0.5839,0.5507,0.5165,0.4810,0.3896,0.1491,0.0035,-0.0006
0.04,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9987,0.9988,0.9988,0.9987,0.9988,0.9987,0.9988,0.9988,0.9987,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9984,0.9975,0.9922,0.9635,0.8974,0.8651,0.8495,0.8328,0.8155,0.7964,0.7768,0.7531,0.7284,0.7031,0.6749,0.6461,0.6151,0.5822,0.5502,0.4898,0.2797,0.0093,-0.0017,-0.0009,-0.0003
0.05,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9987,0.9987,0.9986,0.9968,0.9896,0.9444,0.8917,0.8651,0.8500,0.8338,0.8161,0.7961,0.7759,0.7530,0.7290,0.7024,0.6746,0.6446,0.6156,0.5778,0.4791,0.2063,0.0009,-0.0017,-0.0002,0.0018,0.0004
0.06,0.9988,0.9987,0.9988,0.9988,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9987,0.9983,0.9959,0.9824,0.9370,0.8847,0.8644,0.8496,0.8335,0.8167,0.7965,0.7756,0.7524,0.7292,0.7030,0.6754,0.6460,0.6093,0.5196,0.1802,-0.0012,-0.0003,0.0020,-0.0011,0.0022,-0.0006
0.07,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9988,0.9988,0.9984,0.9973,0.9949,0.9759,0.9300,0.8810,0.8638,0.8504,0.8344,0.8166,0.7976,0.7759,0.7531,0.7287,0.7032,0.6745,0.6398,0.5540,0.2026,0.0068,0.0033,0.0002,0.0004,0.0007,0.0012,0.0009
0.08,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9987,0.9986,0.9970,0.9895,0.9633,0.9115,0.8798,0.8650,0.8499,0.8341,0.8161,0.7963,0.7757,0.7533,0.7289,0.7039,0.6704,0.6041,0.2570,0.0034,0.0004,0.0000,-0.0020,-0.0013,-0.0003,-0.0011,-0.0007
0.09,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9986,0.9964,0.9872,0.9532,0.9086,0.8786,0.8654,0.8499,0.8336,0.8160,0.7970,0.7761,0.7549,0.7291,0.7014,0.6368,0.3406,0.0253,-0.0046,0.0004,0.0004,0.0019,0.0013,-0.0011,-0.0004,0.0003
0.10,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9980,0.9929,0.9829,0.9494,0.9052,0.8785,0.8659,0.8504,0.8336,0.8169,0.7973,0.7769,0.7545,0.7297,0.6764,0.4852,0.0769,0.0123,-0.0005,0.0006,0.0017,-0.0000,0.0005,0.0009,-0.0009,0.0014
