alpha,T0.0100,T0.0112,T0.0125,T0.0140,T0.0157,T0.0176,T0.0197,T0.0220,T0.0246,T0.0276,T0.0309,T0.0345,T0.0387,T0.0433,T0.0484,T0.0542,T0.0607,T0.0679,T0.0760,T0.0851,T0.0952,T0.1066,T0.1193,T0.1335,T0.1495,T0.1673,T0.1872,T0.2096,T0.2346,T0.2625,T0.2939,T0.3289,T0.3681,T0.4120,T0.4612,T0.5162,T0.5778,T0.6467,T0.7238,T0.8101,T0.9068,T1.0149,T1.1360,T1.2715,T1.4232,T1.5929,T1.7829,T1.9956,T2.2336,T2.5000
0.01,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9985,0.9979,0.9965,0.9906,0.9664,0.8998,0.8836,0.8754,0.8680,0.8606,0.8522,0.8455,0.8368,0.8292,0.8225,0.8153,0.8074,0.8003,0.7933,0.7862,0.7808,0.7752,0.7703
0.02,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9986,0.9983,0.9960,0.9851,0.9406,0.9003,0.8893,0.8857,0.8763,0.8688,0.8605,0.8529,0.8422,0.8380,0.8306,0.8214,0.8152,0.8063,0.8008,0.7936,0.7868,0.7804,0.7758,0.7694
0.03,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9986,0.9984,0.9975,0.9920,0.9659,0.9165,0.8970,0.8929,0.8833,0.8761,0.8673,0.8604,0.8535,0.8463,0.8383,0.8289,0.8232,0.8155,0.8079,0.8015,0.7956,0.7882,0.7823,0.7759,0.7707
0.04,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9986,0.9986,0.9986,0.9982,0.9907,0.9611,0.9094,0.9021,0.8914,0.8854,0.8770,0.8685,0.8621,0.8539,0.8451,0.8374,0.8314,0.8223,0.8151,0.8100,0.8017,0.7943,0.7881,0.7822,0.7765,0.7718
0.05,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9982,0.9957,0.9793,0.9352,0.9069,0.8990,0.8913,0.8839,0.8765,0.8693,0.8620,0.8530,0.8459,0.8391,0.8316,0.8227,0.8151,0.8091,0.8001,0.7942,0.7886,0.7818,0.7763,0.7723
0.06,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9985,0.9977,0.9918,0.9686,0.9370,0.9070,0.9001,0.8929,0.8829,0.8771,0.8688,0.8609,0.8543,0.8478,0.8396,0.8288,0.8257,0.8171,0.8084,0.8026,0.7944,0.7901,0.7826,0.7788,0.7739
0.07,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9985,0.9977,0.9908,0.9669,0.9203,0.9063,0.8994,0.8918,0.8824,0.8760,0.8712,0.8627,0.8556,0.8484,0.8383,0.8302,0.8255,0.8151,0.8077,0.8015,0.7961,0.7890,0.7822,0.7772,0.7739
0.08,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9985,0.9984,0.9977,0.9898,0.9564,0.9232,0.9057,0.8980,0.8912,0.8861,0.8749,0.8703,0.8612,0.8539,0.8478,0.8417,0.8293,0.8245,0.8171,0.8094,0.8047,0.7955,0.7902,0.7837,0.7790,0.7739
0.09,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9986,0.9980,0.9967,0.9897,0.9581,0.9263,0.9057,0.8992,0.8897,0.8861,0.8767,0.8695,0.8634,0.8546,0.8474,0.8396,0.8313,0.8246,0.8187,0.8095,0.8051,0.7979,0.7908,0.7824,0.7776,0.7729
0.10,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9941,0.9815,0.9461,0.9160,0.9064,0.9000,0.8930,0.8859,0.8797,0.8699,0.8638,0.8547,0.8472,0.8397,0.8330,0.8253,0.8147,0.8104,0.8035,0.7974,0.7917,0.7839,0.7794,0.7748
0.11,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9985,0.9970,0.9880,0.9718,0.9451,0.9171,0.9088,0.9011,0.8910,0.8830,0.8791,0.8731,0.8625,0.8553,0.8471,0.8378,0.8324,0.8244,0.8187,0.8097,0.8024,0.7979,0.7896,0.7840,0.7785,0.7748
0.12,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9980,0.9959,0.9870,0.9716,0.9350,0.9138,0.9076,0.8997,0.8920,0.8887,0.8809,0.8688,0.8636,0.8554,0.8488,0.8411,0.8333,0.8259,0.8161,0.8098,0.8042,0.7977,0.7922,0.7865,0.7809,0.7762
0.13,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9973,0.9903,0.9657,0.9340,0.9160,0.9071,0.9002,0.8925,0.8857,0.8786,0.8699,0.8625,0.8568,0.8470,0.8388,0.8325,0.8230,0.8179,0.8111,0.8050,0.8003,0.7913,0.7850,0.7798,0.7747
