# generator=basin_stab_LSE_honest_AAAI_Nramp.jl  M_TARGET=4.4e+06  N_FLOOR=12  betanet=1.0
# N_EQ=32768  N_SAMP=8192  N_DIS_TARGET=32  MEM_BUDGET_GB=45.0  generated=2026-06-10T18:00:48.390
alpha,T,N_used,disorder,phi_a,phi_b,q12,phi_max_other
0.200,0.00500,76,1,0.997417,0.997565,0.995701,0.536306
0.200,0.00500,76,2,0.997662,0.997245,0.994843,0.614793
0.200,0.00500,76,3,0.997537,0.997532,0.995022,0.544459
0.200,0.00500,76,4,0.997921,0.997475,0.995994,0.535028
0.200,0.00500,76,5,0.998032,0.996948,0.994950,0.531219
0.200,0.00500,76,6,0.997745,0.997104,0.994973,0.549806
0.200,0.00500,76,7,0.997913,0.997773,0.995965,0.537480
0.200,0.00500,76,8,0.997145,0.997422,0.995336,0.642393
0.200,0.00500,76,9,0.997748,0.997272,0.994379,0.536757
0.200,0.00500,76,10,0.997659,0.997189,0.995458,0.541557
0.200,0.00500,76,11,0.997707,0.997028,0.994953,0.551789
0.200,0.00500,76,12,0.997453,0.997610,0.995097,0.570571
0.200,0.00500,76,13,0.998104,0.997513,0.995887,0.577810
0.200,0.00500,76,14,0.997247,0.997577,0.994882,0.533956
0.200,0.00500,76,15,0.997931,0.997581,0.995324,0.552149
0.200,0.00500,76,16,0.997274,0.997691,0.995845,0.534138
0.200,0.00500,76,17,0.997583,0.997863,0.995737,0.577299
0.200,0.00500,76,18,0.997346,0.997384,0.994681,0.549760
0.200,0.00500,76,19,0.997905,0.997701,0.995287,0.549681
0.200,0.00500,76,20,0.997363,0.997393,0.994559,0.540256
0.200,0.00500,76,21,0.997053,0.997676,0.994170,0.540808
0.200,0.00500,76,22,0.998007,0.997720,0.995710,0.592728
0.200,0.00500,76,23,0.997581,0.997657,0.995843,0.523978
0.200,0.00500,76,24,0.997790,0.997594,0.995441,0.554250
0.200,0.00500,76,25,0.997395,0.997422,0.994640,0.521844
0.200,0.00500,76,26,0.997335,0.997977,0.995247,0.551277
0.200,0.00500,76,27,0.998001,0.997599,0.995634,0.574441
0.200,0.00500,76,28,0.997808,0.997292,0.995416,0.555769
0.200,0.00500,76,29,0.997626,0.997520,0.995451,0.533007
0.200,0.00500,76,30,0.998006,0.997624,0.995692,0.521816
0.200,0.00500,76,31,0.997728,0.997526,0.995342,0.532427
0.200,0.00500,76,32,0.997701,0.996990,0.995072,0.568263
0.200,0.01500,76,1,0.992347,0.992199,0.984138,0.540173
0.200,0.01500,76,2,0.992796,0.992377,0.985470,0.610592
0.200,0.01500,76,3,0.993338,0.993289,0.986796,0.545844
0.200,0.01500,76,4,0.992899,0.992144,0.986317,0.532287
0.200,0.01500,76,5,0.991694,0.992850,0.984596,0.532542
0.200,0.01500,76,6,0.991957,0.992172,0.985637,0.557680
0.200,0.01500,76,7,0.991747,0.992700,0.985419,0.537919
0.200,0.01500,76,8,0.991723,0.991638,0.983470,0.629799
0.200,0.01500,76,9,0.993053,0.993449,0.987365,0.553977
0.200,0.01500,76,10,0.992432,0.992539,0.985248,0.539038
0.200,0.01500,76,11,0.993215,0.993671,0.987250,0.558031
0.200,0.01500,76,12,0.992766,0.992418,0.985255,0.559828
0.200,0.01500,76,13,0.992224,0.993083,0.987328,0.581166
0.200,0.01500,76,14,0.992728,0.992382,0.984627,0.541982
0.200,0.01500,76,15,0.992495,0.992834,0.985596,0.559903
0.200,0.01500,76,16,0.992623,0.992080,0.983216,0.529421
0.200,0.01500,76,17,0.992527,0.993101,0.985755,0.576817
0.200,0.01500,76,18,0.992082,0.992234,0.984854,0.549273
0.200,0.01500,76,19,0.992238,0.991437,0.984704,0.541767
0.200,0.01500,76,20,0.992964,0.992732,0.986828,0.542972
0.200,0.01500,76,21,0.992897,0.992125,0.984897,0.550293
0.200,0.01500,76,22,0.992523,0.991944,0.985050,0.594374
0.200,0.01500,76,23,0.992436,0.992898,0.985391,0.531833
0.200,0.01500,76,24,0.992052,0.993341,0.985790,0.549044
0.200,0.01500,76,25,0.993506,0.992133,0.985042,0.517764
0.200,0.01500,76,26,0.992457,0.992485,0.984416,0.538314
0.200,0.01500,76,27,0.993084,0.993462,0.986950,0.574097
0.200,0.01500,76,28,0.991315,0.992286,0.983819,0.566451
0.200,0.01500,76,29,0.992287,0.992867,0.985215,0.530164
0.200,0.01500,76,30,0.991293,0.992899,0.983838,0.530627
0.200,0.01500,76,31,0.993239,0.991851,0.986251,0.549155
0.200,0.01500,76,32,0.992201,0.992801,0.985479,0.553867
0.200,0.02500,76,1,0.987773,0.987092,0.975596,0.549402
0.200,0.02500,76,2,0.987550,0.988029,0.976665,0.603628
0.200,0.02500,76,3,0.986376,0.986717,0.972788,0.540956
