# generator=kinetics_boundary_LSE.jl  N=10000  T_MC=100000  N_TRIALS=64  TH_Z=0.02  WINDOW_K=3  dT=0.01  generated=2026-06-21T23:13:54.247
alpha,T_bd
0.200,0.49500
0.210,0.49500
0.220,0.49500
0.230,0.49500
0.240,0.49500
0.250,0.49500
0.260,0.49500
0.270,0.49500
0.280,0.49500
0.290,0.49500
0.300,0.49500
0.310,0.49500
0.320,0.49500
0.330,0.49500
0.340,0.49500
0.350,0.49500
0.360,0.49500
0.370,0.49500
0.380,0.49500
0.390,0.49500
0.400,0.49500
0.410,0.47500
0.420,0.44500
0.430,0.42500
0.440,0.39500
0.450,0.37500
0.460,0.35500
0.470,0.32500
0.480,0.30500
0.490,0.27500
0.500,0.25500
0.510,0.23500
0.520,0.21500
0.530,0.18500
0.540,0.16500
0.550,0.14500
0.560,0.12500
0.570,0.10500
0.580,0.08500
0.590,0.06500
0.600,0.04500
0.610,0.02500
0.620,0.00500
0.630,nan
0.640,nan
0.650,nan
