alpha,surv_depth1,surv_depth3,surv_depth10,surv_depth50
0.2,0.0067,0.0,0.0,0.0
0.205,0.008,0.0,0.0,0.0
0.21,0.0099,0.0,0.0,0.0
0.215,0.0157,0.0,0.0,0.0
0.22,0.0182,0.0,0.0,0.0
0.225,0.0226,0.0,0.0,0.0
0.23,0.0256,0.0,0.0,0.0
0.235,0.0384,0.0,0.0,0.0
0.24,0.0456,0.0002,0.0,0.0
0.245,0.0587,0.0002,0.0,0.0
0.25,0.0767,0.0008,0.0,0.0
0.255,0.0974,0.0012,0.0,0.0
0.26,0.1173,0.0023,0.0,0.0
0.265,0.1599,0.0055,0.0,0.0
0.27,0.1917,0.0094,0.0,0.0
0.275,0.2403,0.0196,0.0,0.0
0.28,0.3064,0.034,0.0,0.0
0.285,0.3713,0.0712,0.0007,0.0
0.29,0.4455,0.1296,0.0036,0.0
0.295,0.5242,0.2226,0.0241,0.0
0.3,0.6212,0.3528,0.1376,0.0181
0.305,0.7094,0.5165,0.3889,0.3627
0.31,0.7995,0.6936,0.6508,0.6386
0.315,0.8754,0.8161,0.8087,0.8151
0.32,0.9347,0.9093,0.9115,0.9112
0.325,0.9642,0.9612,0.9611,0.9619
0.33,0.9853,0.9844,0.9859,0.9862
0.335,0.9945,0.9965,0.9957,0.9967
0.34,0.9992,0.9994,0.9996,0.9993
0.345,0.9999,0.9999,0.9999,0.9997
0.35,1.0,1.0,1.0,1.0
0.355,1.0,1.0,1.0,1.0
0.36,1.0,1.0,1.0,1.0
0.365,1.0,1.0,1.0,1.0
0.37,1.0,1.0,1.0,1.0
0.375,1.0,1.0,1.0,1.0
0.38,1.0,1.0,1.0,1.0
0.385,1.0,1.0,1.0,1.0
0.39,1.0,1.0,1.0,1.0
0.395,1.0,1.0,1.0,1.0
0.4,1.0,1.0,1.0,1.0
0.405,1.0,1.0,1.0,1.0
0.41,1.0,1.0,1.0,1.0
0.415,1.0,1.0,1.0,1.0
0.42,1.0,1.0,1.0,1.0
