# N=500  K=10000  betanet=1.0  generated=2026-05-30T22:57:02.395
alpha,T,disorder,phi_a,phi_b,q12,phi_max_other
0.400,0.00500,1,0.998020,0.998054,0.996183,0.737834
0.400,0.00500,2,0.997735,0.998028,0.995622,0.739165
0.400,0.00500,3,0.997675,0.997988,0.995640,0.737888
0.400,0.00500,4,0.998039,0.998018,0.996305,0.737841
0.400,0.00500,5,0.998146,0.997849,0.996082,0.738293
0.400,0.00500,6,0.998124,0.997896,0.995675,0.738852
0.400,0.00500,7,0.997589,0.997794,0.995291,0.739905
0.400,0.00500,8,0.997647,0.998051,0.995677,0.739738
0.400,0.00500,9,0.997661,0.997692,0.995542,0.739250
0.400,0.00500,10,0.997888,0.998131,0.996024,0.736697
0.400,0.00500,11,0.997631,0.998048,0.995771,0.738268
0.400,0.00500,12,0.997921,0.998074,0.996143,0.737827
0.400,0.00500,13,0.998048,0.998080,0.995691,0.736776
0.400,0.00500,14,0.997697,0.997962,0.995303,0.740006
0.400,0.00500,15,0.997955,0.997741,0.995596,0.737718
0.400,0.00500,16,0.997818,0.997941,0.995629,0.739122
0.400,0.00500,17,0.998038,0.997933,0.996047,0.737512
0.400,0.00500,18,0.998089,0.997989,0.996481,0.738079
0.400,0.00500,19,0.998041,0.997755,0.995883,0.736852
0.400,0.00500,20,0.997850,0.997675,0.995362,0.739908
0.400,0.00500,21,0.998034,0.998071,0.996081,0.738016
0.400,0.00500,22,0.997693,0.997681,0.995644,0.736758
0.400,0.00500,23,0.997732,0.997710,0.995731,0.737021
0.400,0.00500,24,0.998032,0.997810,0.995609,0.738412
0.400,0.00500,25,0.997676,0.998008,0.995624,0.740710
0.400,0.00500,26,0.997905,0.997960,0.995688,0.736398
0.400,0.00500,27,0.997695,0.998053,0.995687,0.739385
0.400,0.00500,28,0.997630,0.998026,0.995627,0.738836
0.400,0.00500,29,0.997946,0.998012,0.996019,0.738510
0.400,0.00500,30,0.998042,0.998039,0.996092,0.738826
0.400,0.00500,31,0.998038,0.998013,0.995980,0.738155
0.400,0.00500,32,0.997806,0.998101,0.995784,0.738925
0.400,0.00500,33,0.998055,0.997974,0.995999,0.739783
0.400,0.00500,34,0.998043,0.998048,0.995851,0.738770
0.400,0.00500,35,0.998025,0.997540,0.995589,0.737394
0.400,0.00500,36,0.997824,0.998013,0.995787,0.738540
0.400,0.00500,37,0.998014,0.997961,0.995777,0.737367
0.400,0.00500,38,0.998037,0.997841,0.995702,0.737846
0.400,0.00500,39,0.997577,0.998026,0.995665,0.737001
0.400,0.00500,40,0.998054,0.998058,0.996075,0.739786
0.400,0.00500,41,0.997691,0.997780,0.996066,0.739051
0.400,0.00500,42,0.997591,0.998072,0.995719,0.737009
0.400,0.00500,43,0.997940,0.998040,0.996114,0.736645
0.400,0.00500,44,0.997697,0.998047,0.995794,0.736921
0.400,0.00500,45,0.997825,0.997766,0.995677,0.737970
0.400,0.00500,46,0.997696,0.997692,0.995277,0.736256
0.400,0.00500,47,0.997956,0.997911,0.995702,0.737712
0.400,0.00500,48,0.997936,0.997708,0.995746,0.738062
0.400,0.00500,49,0.997592,0.998045,0.995854,0.740110
0.400,0.00500,50,0.998053,0.998007,0.996173,0.738462
0.400,0.00500,51,0.997775,0.997775,0.995519,0.739898
0.400,0.00500,52,0.997713,0.997877,0.995423,0.741680
0.400,0.00500,53,0.997998,0.998098,0.996015,0.737236
0.400,0.00500,54,0.997702,0.997852,0.995614,0.737663
0.400,0.00500,55,0.997687,0.998081,0.995839,0.737587
0.400,0.00500,56,0.997989,0.997955,0.995818,0.738640
0.400,0.00500,57,0.997634,0.998033,0.995785,0.740757
0.400,0.00500,58,0.997991,0.998017,0.996120,0.738325
0.400,0.00500,59,0.998031,0.997685,0.995635,0.740579
0.400,0.00500,60,0.997798,0.997964,0.995631,0.740119
0.400,0.00500,61,0.997685,0.997794,0.995653,0.738014
0.400,0.00500,62,0.997723,0.997839,0.995715,0.741860
0.400,0.00500,63,0.997841,0.997653,0.995809,0.738702
0.400,0.00500,64,0.997686,0.997976,0.995618,0.736290
0.400,0.00500,65,0.998004,0.997945,0.995952,0.736978
0.400,0.00500,66,0.997934,0.997678,0.995658,0.743217
0.400,0.00500,67,0.997838,0.998050,0.996115,0.737804
0.400,0.00500,68,0.998056,0.998052,0.995857,0.738713
0.400,0.00500,69,0.997672,0.997714,0.995333,0.737197
0.400,0.00500,70,0.998054,0.997971,0.995843,0.738016
0.400,0.00500,71,0.997957,0.997854,0.995950,0.738147
0.400,0.00500,72,0.997940,0.997931,0.995610,0.740549
0.400,0.00500,73,0.998006,0.997941,0.995748,0.737233
0.400,0.00500,74,0.997948,0.997952,0.995734,0.739955
0.400,0.00500,75,0.997963,0.997975,0.995882,0.740381
0.400,0.00500,76,0.998129,0.997621,0.995612,0.737846
0.400,0.00500,77,0.998051,0.998001,0.995599,0.739294
0.400,0.00500,78,0.997875,0.998047,0.995911,0.739504
0.400,0.00500,79,0.997804,0.997853,0.995713,0.736852
0.400,0.00500,80,0.998049,0.998045,0.996149,0.738635
0.400,0.00500,81,0.997808,0.998076,0.995880,0.737274
0.400,0.00500,82,0.997980,0.997731,0.995900,0.739114
0.400,0.00500,83,0.997600,0.997712,0.995594,0.738580
0.400,0.00500,84,0.998017,0.997741,0.995604,0.739962
0.400,0.00500,85,0.997974,0.997717,0.995761,0.738128
0.400,0.00500,86,0.997809,0.998022,0.995990,0.737750
0.400,0.00500,87,0.997890,0.997727,0.995772,0.739025
0.400,0.00500,88,0.997677,0.997933,0.995692,0.739376
0.400,0.00500,89,0.997718,0.998110,0.995677,0.738184
0.400,0.00500,90,0.997671,0.997772,0.995712,0.738400
0.400,0.00500,91,0.997655,0.998068,0.995832,0.739081
0.400,0.00500,92,0.997928,0.998053,0.995828,0.740423
0.400,0.00500,93,0.997662,0.997668,0.995278,0.737178
0.400,0.00500,94,0.997721,0.997831,0.995537,0.739257
0.400,0.00500,95,0.997793,0.997921,0.995767,0.739680
0.400,0.00500,96,0.998150,0.997910,0.996189,0.737923
0.400,0.00500,97,0.997683,0.997603,0.995089,0.738048
0.400,0.00500,98,0.997949,0.997700,0.995392,0.737757
0.400,0.00500,99,0.997795,0.998075,0.996161,0.740181
0.400,0.00500,100,0.997961,0.998067,0.995755,0.736972
0.400,0.00500,101,0.998077,0.998019,0.996191,0.737513
0.400,0.00500,102,0.998046,0.997969,0.995710,0.738245
0.400,0.00500,103,0.997994,0.997706,0.995942,0.741094
0.400,0.00500,104,0.998028,0.997661,0.995636,0.738661
0.400,0.00500,105,0.997686,0.998077,0.995822,0.737441
0.400,0.00500,106,0.998034,0.997891,0.995927,0.736833
0.400,0.00500,107,0.997708,0.998054,0.995693,0.741636
0.400,0.00500,108,0.997982,0.998031,0.996077,0.737917
0.400,0.00500,109,0.997934,0.997757,0.995640,0.737796
0.400,0.00500,110,0.998007,0.998026,0.996055,0.739141
0.400,0.00500,111,0.997774,0.998072,0.995730,0.738812
0.400,0.00500,112,0.997927,0.998022,0.996020,0.738745
0.400,0.00500,113,0.997746,0.998038,0.995908,0.743410
0.400,0.00500,114,0.997713,0.997893,0.995623,0.738878
0.400,0.00500,115,0.997749,0.997919,0.995622,0.739508
0.400,0.00500,116,0.997682,0.997778,0.995363,0.737985
0.400,0.00500,117,0.997689,0.997990,0.995602,0.738527
0.400,0.00500,118,0.998041,0.998004,0.996053,0.736732
0.400,0.00500,119,0.997865,0.997705,0.995556,0.739649
0.400,0.00500,120,0.998017,0.997948,0.996049,0.737963
0.400,0.00500,121,0.998023,0.998022,0.996016,0.737002
0.400,0.00500,122,0.997753,0.998026,0.995743,0.738697
0.400,0.00500,123,0.997565,0.997975,0.995597,0.738919
0.400,0.00500,124,0.997767,0.997683,0.995456,0.737729
0.400,0.00500,125,0.997983,0.997615,0.995544,0.737957
0.400,0.00500,126,0.997846,0.997810,0.995624,0.738123
0.400,0.00500,127,0.998063,0.997757,0.995764,0.739697
0.400,0.00500,128,0.997638,0.998076,0.995645,0.739162
0.400,0.02501,1,0.987686,0.987695,0.974764,0.737813
0.400,0.02501,2,0.989467,0.986840,0.976754,0.737758
0.400,0.02501,3,0.987879,0.988297,0.976577,0.737965
0.400,0.02501,4,0.986605,0.987113,0.972729,0.737858
0.400,0.02501,5,0.988210,0.987319,0.975931,0.737658
0.400,0.02501,6,0.986251,0.987790,0.975254,0.736441
0.400,0.02501,7,0.988342,0.987977,0.977093,0.737656
0.400,0.02501,8,0.986755,0.987196,0.973654,0.737178
0.400,0.02501,9,0.987874,0.987255,0.974977,0.738823
0.400,0.02501,10,0.988014,0.987741,0.976602,0.737961
0.400,0.02501,11,0.988755,0.988093,0.976954,0.737819
0.400,0.02501,12,0.988067,0.987258,0.975842,0.738746
0.400,0.02501,13,0.986906,0.987429,0.973348,0.738362
0.400,0.02501,14,0.988251,0.987977,0.975388,0.739368
0.400,0.02501,15,0.987954,0.987477,0.975483,0.738485
0.400,0.02501,16,0.987868,0.987601,0.976881,0.738885
0.400,0.02501,17,0.987794,0.987822,0.975192,0.738061
0.400,0.02501,18,0.987648,0.988011,0.977255,0.739110
0.400,0.02501,19,0.988549,0.986773,0.976297,0.737789
0.400,0.02501,20,0.987819,0.987073,0.975878,0.737087
0.400,0.02501,21,0.988000,0.986969,0.975459,0.736836
0.400,0.02501,22,0.988064,0.988878,0.977021,0.738468
0.400,0.02501,23,0.987714,0.987161,0.974489,0.738023
0.400,0.02501,24,0.986335,0.987789,0.974788,0.737318
0.400,0.02501,25,0.987693,0.988213,0.976410,0.738187
0.400,0.02501,26,0.988411,0.987639,0.975994,0.737820
0.400,0.02501,27,0.988571,0.987574,0.976215,0.738218
0.400,0.02501,28,0.986435,0.987584,0.972379,0.736865
0.400,0.02501,29,0.986988,0.987124,0.974030,0.739213
0.400,0.02501,30,0.988283,0.988105,0.977223,0.738747
0.400,0.02501,31,0.987623,0.988188,0.975389,0.739653
0.400,0.02501,32,0.987767,0.988173,0.976888,0.738487
0.400,0.02501,33,0.986857,0.987685,0.975787,0.740823
0.400,0.02501,34,0.987339,0.987895,0.975690,0.736787
0.400,0.02501,35,0.987715,0.987997,0.975907,0.739134
0.400,0.02501,36,0.987538,0.988179,0.976034,0.739314
0.400,0.02501,37,0.986923,0.987219,0.976734,0.738758
0.400,0.02501,38,0.987279,0.988069,0.974715,0.737157
0.400,0.02501,39,0.987370,0.986304,0.973650,0.737473
0.400,0.02501,40,0.987728,0.987498,0.975116,0.738022
0.400,0.02501,41,0.986396,0.987700,0.974712,0.737962
0.400,0.02501,42,0.987033,0.987256,0.972780,0.739507
0.400,0.02501,43,0.987781,0.986792,0.975038,0.737409
0.400,0.02501,44,0.987648,0.988652,0.976012,0.737139
0.400,0.02501,45,0.987348,0.988404,0.975474,0.737392
0.400,0.02501,46,0.986600,0.987183,0.973710,0.737016
0.400,0.02501,47,0.987736,0.987866,0.974501,0.737825
0.400,0.02501,48,0.987549,0.987582,0.973548,0.737653
0.400,0.02501,49,0.988097,0.987285,0.975515,0.738992
0.400,0.02501,50,0.987979,0.986261,0.974924,0.737849
0.400,0.02501,51,0.988553,0.987654,0.975280,0.739350
0.400,0.02501,52,0.988604,0.988277,0.976838,0.738249
0.400,0.02501,53,0.988270,0.988094,0.977725,0.738323
0.400,0.02501,54,0.987766,0.987394,0.975561,0.738162
0.400,0.02501,55,0.986027,0.987015,0.973065,0.736832
0.400,0.02501,56,0.987911,0.988484,0.974937,0.738603
0.400,0.02501,57,0.987273,0.987045,0.973365,0.737897
0.400,0.02501,58,0.987350,0.987557,0.974668,0.739201
0.400,0.02501,59,0.987446,0.987767,0.974644,0.738751
0.400,0.02501,60,0.987684,0.987236,0.974353,0.739611
0.400,0.02501,61,0.987491,0.987172,0.974850,0.739342
0.400,0.02501,62,0.988055,0.988645,0.977077,0.737898
0.400,0.02501,63,0.988671,0.987237,0.975690,0.737983
0.400,0.02501,64,0.987177,0.986682,0.972649,0.737905
0.400,0.02501,65,0.987819,0.988072,0.975750,0.739007
0.400,0.02501,66,0.987822,0.988031,0.976574,0.737938
0.400,0.02501,67,0.987022,0.988638,0.975876,0.737473
0.400,0.02501,68,0.987493,0.987873,0.974550,0.738505
0.400,0.02501,69,0.987323,0.987278,0.975834,0.738927
0.400,0.02501,70,0.987321,0.987799,0.976448,0.737825
0.400,0.02501,71,0.988225,0.989426,0.977593,0.737916
0.400,0.02501,72,0.987249,0.987213,0.974534,0.738758
0.400,0.02501,73,0.987468,0.987794,0.976475,0.739179
0.400,0.02501,74,0.988559,0.987636,0.975719,0.739425
0.400,0.02501,75,0.988623,0.987915,0.976493,0.737757
0.400,0.02501,76,0.988056,0.987961,0.975497,0.738676
0.400,0.02501,77,0.987118,0.987555,0.974546,0.736371
0.400,0.02501,78,0.987552,0.987590,0.976404,0.738168
0.400,0.02501,79,0.988006,0.987817,0.975155,0.738396
0.400,0.02501,80,0.987490,0.989753,0.977581,0.736462
0.400,0.02501,81,0.987976,0.987341,0.974869,0.737823
0.400,0.02501,82,0.988679,0.988840,0.975885,0.737838
0.400,0.02501,83,0.988723,0.986869,0.975630,0.738761
0.400,0.02501,84,0.986759,0.988000,0.977985,0.737624
0.400,0.02501,85,0.987177,0.986691,0.975094,0.737463
0.400,0.02501,86,0.988351,0.988028,0.976750,0.736884
0.400,0.02501,87,0.987128,0.987695,0.975659,0.737951
0.400,0.02501,88,0.988318,0.987062,0.975635,0.739109
0.400,0.02501,89,0.986762,0.986988,0.972403,0.738018
0.400,0.02501,90,0.987875,0.988108,0.976433,0.738940
0.400,0.02501,91,0.986845,0.987099,0.974749,0.738472
0.400,0.02501,92,0.987272,0.987396,0.975725,0.738765
0.400,0.02501,93,0.987757,0.987497,0.975856,0.736604
0.400,0.02501,94,0.988575,0.988610,0.977765,0.738421
0.400,0.02501,95,0.987679,0.987720,0.975222,0.738081
0.400,0.02501,96,0.988563,0.987531,0.976833,0.738007
0.400,0.02501,97,0.987137,0.987081,0.975211,0.738190
0.400,0.02501,98,0.987453,0.987700,0.975724,0.737885
0.400,0.02501,99,0.988264,0.987795,0.976528,0.740231
0.400,0.02501,100,0.987394,0.987381,0.975755,0.737622
0.400,0.02501,101,0.987196,0.987838,0.976561,0.738276
0.400,0.02501,102,0.988510,0.988133,0.976927,0.738414
0.400,0.02501,103,0.987553,0.986823,0.973393,0.738341
0.400,0.02501,104,0.986703,0.987869,0.974863,0.739378
0.400,0.02501,105,0.986881,0.987552,0.974614,0.738871
0.400,0.02501,106,0.987362,0.987856,0.975247,0.737269
0.400,0.02501,107,0.987414,0.988019,0.976678,0.737850
0.400,0.02501,108,0.988380,0.986984,0.977760,0.738180
0.400,0.02501,109,0.987844,0.988042,0.975290,0.741000
0.400,0.02501,110,0.988282,0.987659,0.976577,0.738502
0.400,0.02501,111,0.987367,0.988684,0.976167,0.738142
0.400,0.02501,112,0.987616,0.988767,0.977742,0.738023
0.400,0.02501,113,0.988436,0.988039,0.975674,0.739866
0.400,0.02501,114,0.987336,0.987736,0.976491,0.739380
0.400,0.02501,115,0.986809,0.988550,0.975241,0.737854
0.400,0.02501,116,0.987391,0.987476,0.973806,0.738428
0.400,0.02501,117,0.987438,0.987387,0.975200,0.739199
0.400,0.02501,118,0.987089,0.987609,0.974810,0.737428
0.400,0.02501,119,0.987369,0.988728,0.975060,0.738209
0.400,0.02501,120,0.986971,0.988081,0.975131,0.739873
0.400,0.02501,121,0.989000,0.988119,0.977529,0.739665
0.400,0.02501,122,0.988124,0.987537,0.975786,0.739001
0.400,0.02501,123,0.987624,0.987604,0.974840,0.738928
0.400,0.02501,124,0.985839,0.987995,0.972611,0.738406
0.400,0.02501,125,0.988041,0.988175,0.975358,0.737993
0.400,0.02501,126,0.987886,0.987865,0.975802,0.737912
0.400,0.02501,127,0.987211,0.987281,0.975443,0.739302
0.400,0.02501,128,0.988061,0.987710,0.975987,0.738549
0.400,0.04503,1,0.978243,0.978759,0.955416,0.737200
0.400,0.04503,2,0.977337,0.977540,0.956102,0.736781
0.400,0.04503,3,0.978084,0.975363,0.955181,0.736575
