# N=500  K=10000  N_REFRESH=100  betanet=1.0  generated=2026-06-01T11:33:01.514
alpha,T,disorder,phi_a,phi_b,q12,phi_max_other
0.400,0.00500,1,0.998027,0.998066,0.995977,0.738787
0.400,0.00500,2,0.997814,0.997988,0.995838,0.738838
0.400,0.00500,3,0.997696,0.997565,0.995396,0.738666
0.400,0.00500,4,0.997762,0.997744,0.995626,0.738694
0.400,0.00500,5,0.998019,0.997875,0.995877,0.738893
0.400,0.00500,6,0.997763,0.997992,0.995544,0.738678
0.400,0.00500,7,0.997697,0.998109,0.995829,0.739256
0.400,0.00500,8,0.998044,0.998082,0.995892,0.738694
0.400,0.00500,9,0.997677,0.997644,0.995170,0.738565
0.400,0.00500,10,0.997676,0.998057,0.995671,0.738740
0.400,0.00500,11,0.997855,0.997711,0.995439,0.738691
0.400,0.00500,12,0.998041,0.997792,0.995906,0.738563
0.400,0.00500,13,0.998068,0.998041,0.996054,0.738824
0.400,0.00500,14,0.997847,0.997934,0.995938,0.738839
0.400,0.00500,15,0.998055,0.997755,0.995943,0.738949
0.400,0.00500,16,0.997944,0.997720,0.996029,0.738865
0.400,0.03555,1,0.982811,0.982782,0.965687,0.739163
0.400,0.03555,2,0.983576,0.981612,0.964752,0.738926
0.400,0.03555,3,0.983592,0.983056,0.966807,0.738977
0.400,0.03555,4,0.982530,0.981946,0.964834,0.738890
0.400,0.03555,5,0.982157,0.982094,0.963239,0.738887
0.400,0.03555,6,0.982030,0.981255,0.963102,0.738839
0.400,0.03555,7,0.983500,0.982697,0.965614,0.738694
0.400,0.03555,8,0.981952,0.982135,0.966304,0.738689
0.400,0.03555,9,0.982034,0.982311,0.964634,0.738519
0.400,0.03555,10,0.983128,0.982746,0.967200,0.738499
0.400,0.03555,11,0.982873,0.983835,0.967432,0.738737
0.400,0.03555,12,0.982445,0.982996,0.964887,0.738597
0.400,0.03555,13,0.981456,0.983229,0.965668,0.738792
0.400,0.03555,14,0.982581,0.984045,0.967226,0.738512
0.400,0.03555,15,0.982222,0.983505,0.966935,0.738625
0.400,0.03555,16,0.982644,0.982077,0.964283,0.738816
0.400,0.06610,1,0.968422,0.965769,0.935767,0.738961
0.400,0.06610,2,0.968247,0.968175,0.936225,0.738669
0.400,0.06610,3,0.965230,0.967569,0.935502,0.738996
0.400,0.06610,4,0.968171,0.965762,0.934762,0.738764
0.400,0.06610,5,0.966237,0.966841,0.935057,0.738722
0.400,0.06610,6,0.967007,0.969368,0.935958,0.738895
