# N=50  K_max=10000  betanet=1.0000  generated=2026-06-05T13:37:54.565
alpha,T,disorder,phi,mode,logC
0.300,0.02500,1,0.987940,smart,-22.1287
0.300,0.05000,1,0.978319,smart,-22.1287
0.300,0.07500,1,0.965109,smart,-22.1287
0.300,0.10000,1,0.953379,smart,-22.1287
0.300,0.12500,1,0.939433,smart,-22.1287
0.300,0.15000,1,0.927431,smart,-22.1287
0.300,0.17500,1,0.919954,smart,-22.1287
0.300,0.20000,1,0.903928,smart,-22.1287
0.300,0.22500,1,0.892419,smart,-22.1287
0.300,0.25000,1,0.886400,smart,-22.1287
0.300,0.27500,1,0.876661,smart,-22.1287
0.300,0.30000,1,0.865143,smart,-22.1287
0.300,0.32500,1,0.851150,smart,-22.1287
0.300,0.35000,1,0.839755,smart,-22.1287
0.300,0.37500,1,0.831114,smart,-22.1287
0.300,0.40000,1,0.825695,smart,-22.1287
0.300,0.42500,1,0.349938,smart,-22.1287
0.300,0.45000,1,0.427253,smart,-22.1287
0.300,0.47500,1,0.443555,smart,-22.1287
0.300,0.50000,1,0.299277,smart,-22.1287
0.300,0.02500,2,0.987713,smart,-22.1142
0.300,0.05000,2,0.976899,smart,-22.1142
0.300,0.07500,2,0.966673,smart,-22.1142
0.300,0.10000,2,0.952114,smart,-22.1142
0.300,0.12500,2,0.943804,smart,-22.1142
0.300,0.15000,2,0.932462,smart,-22.1142
0.300,0.17500,2,0.922766,smart,-22.1142
0.300,0.20000,2,0.901092,smart,-22.1142
0.300,0.22500,2,0.892830,smart,-22.1142
0.300,0.25000,2,0.888104,smart,-22.1142
0.300,0.27500,2,0.865243,smart,-22.1142
0.300,0.30000,2,0.864082,smart,-22.1142
0.300,0.32500,2,0.858707,smart,-22.1142
0.300,0.35000,2,0.852815,smart,-22.1142
0.300,0.37500,2,0.692128,smart,-22.1142
0.300,0.40000,2,0.400637,smart,-22.1142
0.300,0.42500,2,0.376233,smart,-22.1142
0.300,0.45000,2,0.316747,smart,-22.1142
0.300,0.47500,2,0.314303,smart,-22.1142
0.300,0.50000,2,0.295383,smart,-22.1142
0.300,0.02500,3,0.988341,smart,-22.1148
0.300,0.05000,3,0.975243,smart,-22.1148
0.300,0.07500,3,0.968535,smart,-22.1148
0.300,0.10000,3,0.955720,smart,-22.1148
0.300,0.12500,3,0.939642,smart,-22.1148
0.300,0.15000,3,0.929326,smart,-22.1148
0.300,0.17500,3,0.922312,smart,-22.1148
0.300,0.20000,3,0.902450,smart,-22.1148
0.300,0.22500,3,0.896513,smart,-22.1148
0.300,0.25000,3,0.886458,smart,-22.1148
0.300,0.27500,3,0.879198,smart,-22.1148
0.300,0.30000,3,0.862665,smart,-22.1148
0.300,0.32500,3,0.859630,smart,-22.1148
0.300,0.35000,3,0.845327,smart,-22.1148
0.300,0.37500,3,0.832096,smart,-22.1148
0.300,0.40000,3,0.443591,smart,-22.1148
0.300,0.42500,3,0.259107,smart,-22.1148
0.300,0.45000,3,0.340721,smart,-22.1148
0.300,0.47500,3,0.297911,smart,-22.1148
0.300,0.50000,3,0.312939,smart,-22.1148
