# N=50  K_target=1000  betanet=1.0000  generated=2026-06-05T17:26:57.382
alpha,T,disorder,phi,n_saved_final
0.300,0.02500,1,0.470983,7413
0.300,0.05000,1,0.199664,22635
0.300,0.07500,1,0.130434,48966
0.300,0.10000,1,0.151161,81680
0.300,0.12500,1,-0.052597,129576
0.300,0.15000,1,-0.082558,188830
0.300,0.17500,1,-0.033637,248964
0.300,0.20000,1,0.129805,315464
0.300,0.22500,1,0.026111,402224
0.300,0.25000,1,0.054368,492359
0.300,0.27500,1,0.069960,561273
0.300,0.30000,1,0.007573,650987
0.300,0.32500,1,-0.002837,761480
0.300,0.35000,1,-0.009574,879853
0.300,0.37500,1,-0.004738,961042
0.300,0.40000,1,-0.012959,1068799
0.300,0.42500,1,0.009558,1180302
0.300,0.45000,1,0.043740,1285393
0.300,0.47500,1,0.037990,1358555
0.300,0.50000,1,-0.022604,1459279
0.300,0.02500,2,0.589544,6236
0.300,0.05000,2,0.155778,22625
0.300,0.07500,2,0.107921,51216
0.300,0.10000,2,0.130195,88531
0.300,0.12500,2,-0.013465,134019
0.300,0.15000,2,-0.100808,186166
0.300,0.17500,2,0.083226,252204
0.300,0.20000,2,-0.083468,328926
0.300,0.22500,2,-0.004075,398182
0.300,0.25000,2,0.020248,483626
0.300,0.27500,2,-0.040067,577917
0.300,0.30000,2,-0.081400,664214
0.300,0.32500,2,-0.043213,770202
0.300,0.35000,2,0.028619,863207
0.300,0.37500,2,-0.037685,955689
0.300,0.40000,2,0.000735,1070786
0.300,0.42500,2,0.017447,1181527
0.300,0.45000,2,0.001605,1270943
0.300,0.47500,2,0.007831,1379456
0.300,0.50000,2,0.040155,1480726
0.300,0.02500,3,0.682855,5601
0.300,0.05000,3,0.040329,22877
0.300,0.07500,3,-0.169489,48428
0.300,0.10000,3,0.002778,87714
0.300,0.12500,3,0.136616,129631
0.300,0.15000,3,0.008925,192747
0.300,0.17500,3,-0.070558,237636
0.300,0.20000,3,-0.030643,330935
0.300,0.22500,3,0.065777,394910
0.300,0.25000,3,-0.010951,484427
0.300,0.27500,3,-0.039578,568207
0.300,0.30000,3,0.001581,673582
0.300,0.32500,3,0.050357,760589
0.300,0.35000,3,0.042737,869119
0.300,0.37500,3,0.001925,967029
0.300,0.40000,3,-0.033798,1056834
0.300,0.42500,3,0.067027,1188054
0.300,0.45000,3,0.004104,1263787
0.300,0.47500,3,0.005066,1368978
0.300,0.50000,3,0.028304,1482855
0.300,0.02500,4,0.516475,6892
0.300,0.05000,4,0.002222,25031
0.300,0.07500,4,-0.009030,51181
0.300,0.10000,4,-0.029533,84505
0.300,0.12500,4,0.026878,134616
0.300,0.15000,4,-0.072327,186379
0.300,0.17500,4,0.062082,246218
0.300,0.20000,4,0.005093,320967
0.300,0.22500,4,-0.039419,401314
0.300,0.25000,4,-0.040562,483780
0.300,0.27500,4,0.029619,569043
0.300,0.30000,4,0.003984,655551
0.300,0.32500,4,-0.034792,774517
0.300,0.35000,4,0.017228,855239
0.300,0.37500,4,0.008398,946437
0.300,0.40000,4,-0.008655,1076589
0.300,0.42500,4,-0.056058,1163528
