alpha,T0.0250,T0.0750,T0.1250,T0.1750,T0.2250,T0.2750,T0.3250,T0.3750,T0.4250,T0.4750,T0.5250,T0.5750,T0.6250,T0.6750,T0.7250,T0.7750,T0.8250,T0.8750,T0.9250,T0.9750,T1.0250,T1.0750,T1.1250,T1.1750,T1.2250,T1.2750,T1.3250,T1.3750,T1.4250,T1.4750,T1.5250,T1.5750,T1.6250,T1.6750,T1.7250,T1.7750,T1.8250,T1.8750,T1.9250,T1.9750
0.200,0.9882,0.9674,0.9498,0.9343,0.9217,0.9084,0.8986,0.8884,0.8801,0.8731,0.8621,0.8550,0.8534,0.8458,0.8338,0.8351,0.8303,0.8309,0.8217,0.8220,0.8143,0.8169,0.8085,0.8120,0.8087,0.8055,0.8045,0.8014,0.8035,0.7988,0.7953,0.7948,0.7943,0.7918,0.7870,0.7890,0.7820,0.7846,0.7855,0.7828
0.205,0.9881,0.9671,0.9497,0.9343,0.9206,0.9093,0.8966,0.8850,0.8784,0.8595,0.8585,0.8479,0.8470,0.8351,0.8330,0.8318,0.8210,0.8208,0.8179,0.8155,0.8159,0.8134,0.8092,0.8015,0.8068,0.8052,0.8012,0.8001,0.8015,0.8018,0.7920,0.7936,0.7812,0.7888,0.7863,0.7827,0.7855,0.7763,0.7770,0.7794
0.210,0.9883,0.9674,0.9496,0.9338,0.9190,0.9053,0.8923,0.8816,0.8708,0.8613,0.8449,0.8385,0.8250,0.8192,0.8274,0.8229,0.8184,0.8061,0.8111,0.8072,0.8066,0.8016,0.8045,0.7998,0.8077,0.7988,0.7906,0.7952,0.7940,0.7897,0.7906,0.7833,0.7785,0.7823,0.7707,0.7800,0.7688,0.7729,0.7714,0.7655
0.215,0.9883,0.9677,0.9498,0.9336,0.9199,0.9062,0.8972,0.8852,0.8699,0.8604,0.8510,0.8356,0.8270,0.8250,0.8262,0.8220,0.8220,0.8104,0.8107,0.8031,0.8008,0.8091,0.8052,0.7970,0.8002,0.7948,0.7920,0.7955,0.7969,0.7901,0.7903,0.7796,0.7845,0.7787,0.7838,0.7751,0.7807,0.7697,0.7737,0.7692
0.220,0.9878,0.9672,0.9476,0.9318,0.9159,0.9034,0.8887,0.8751,0.8543,0.8429,0.8262,0.8206,0.8067,0.7998,0.8039,0.7952,0.8020,0.7931,0.7971,0.7918,0.7904,0.7912,0.7911,0.7915,0.7827,0.7782,0.7844,0.7697,0.7754,0.7801,0.7720,0.7711,0.7641,0.7647,0.7757,0.7616,0.7523,0.7608,0.7514,0.7397
0.225,0.9882,0.9667,0.9475,0.9296,0.9144,0.8996,0.8854,0.8695,0.8491,0.8339,0.8211,0.8079,0.8174,0.8007,0.7821,0.7922,0.7734,0.7878,0.7769,0.7773,0.7794,0.7718,0.7787,0.7816,0.7771,0.7798,0.7761,0.7816,0.7804,0.7775,0.7771,0.7663,0.7622,0.7601,0.7620,0.7531,0.7576,0.7423,0.7540,0.7559
0.230,0.9880,0.9656,0.9458,0.9272,0.9107,0.8938,0.8813,0.8617,0.8506,0.8263,0.8095,0.7951,0.7806,0.7777,0.7770,0.7683,0.7614,0.7586,0.7663,0.7510,0.7600,0.7478,0.7587,0.7734,0.7522,0.7661,0.7617,0.7507,0.7573,0.7495,0.7504,0.7525,0.7501,0.7512,0.7430,0.7364,0.7219,0.7372,0.7194,0.7078
0.235,0.9879,0.9653,0.9448,0.9246,0.9071,0.8937,0.8803,0.8625,0.8456,0.8225,0.8102,0.7946,0.7728,0.7761,0.7543,0.7479,0.7639,0.7605,0.7451,0.7413,0.7598,0.7594,0.7544,0.7477,0.7380,0.7522,0.7497,0.7554,0.7575,0.7460,0.7424,0.7441,0.7300,0.7375,0.7489,0.7201,0.7453,0.7129,0.7233,0.7079
0.240,0.9880,0.9640,0.9426,0.9199,0.9040,0.8819,0.8693,0.8439,0.8230,0.7837,0.7751,0.7594,0.7208,0.7283,0.7072,0.7161,0.7259,0.7240,0.7155,0.7037,0.6888,0.7276,0.7114,0.7074,0.7155,0.7222,0.7300,0.7054,0.7164,0.7309,0.7128,0.6991,0.6996,0.7007,0.7069,0.6977,0.6677,0.6634,0.6439,0.6382
0.245,0.9870,0.9630,0.9445,0.9220,0.9005,0.8784,0.8580,0.8444,0.8155,0.7740,0.7420,0.7147,0.7133,0.7071,0.7256,0.6825,0.6792,0.6986,0.6798,0.6786,0.6857,0.6936,0.6990,0.6953,0.6964,0.6911,0.7147,0.7134,0.7108,0.7110,0.6982,0.7013,0.6917,0.6793,0.6853,0.6861,0.6670,0.6558,0.6235,0.6393
