alpha,T0.0250,T0.0750,T0.1250,T0.1750,T0.2250,T0.2750,T0.3250,T0.3750,T0.4250,T0.4750,T0.5250,T0.5750,T0.6250,T0.6750,T0.7250,T0.7750,T0.8250,T0.8750,T0.9250,T0.9750,T1.0250,T1.0750,T1.1250,T1.1750,T1.2250,T1.2750,T1.3250,T1.3750,T1.4250,T1.4750,T1.5250,T1.5750,T1.6250,T1.6750,T1.7250,T1.7750,T1.8250,T1.8750,T1.9250,T1.9750
0.200,0.5322,0.5353,0.5341,0.5387,0.5358,0.5403,0.5435,0.5447,0.5438,0.5427,0.5474,0.5417,0.5399,0.5386,0.5460,0.5359,0.5415,0.5382,0.5412,0.5374,0.5413,0.5393,0.5429,0.5383,0.5382,0.5402,0.5387,0.5367,0.5346,0.5361,0.5371,0.5364,0.5325,0.5345,0.5371,0.5325,0.5392,0.5390,0.5356,0.5361
0.205,0.5411,0.5416,0.5437,0.5455,0.5489,0.5514,0.5558,0.5641,0.5555,0.5692,0.5569,0.5618,0.5523,0.5546,0.5520,0.5546,0.5574,0.5533,0.5545,0.5479,0.5486,0.5463,0.5496,0.5543,0.5482,0.5427,0.5499,0.5475,0.5452,0.5404,0.5470,0.5444,0.5505,0.5441,0.5438,0.5479,0.5478,0.5488,0.5481,0.5474
0.210,0.5476,0.5503,0.5516,0.5548,0.5618,0.5732,0.5752,0.5741,0.5724,0.5725,0.5788,0.5820,0.5773,0.5720,0.5664,0.5673,0.5626,0.5708,0.5651,0.5680,0.5610,0.5688,0.5564,0.5598,0.5523,0.5607,0.5619,0.5563,0.5554,0.5598,0.5555,0.5555,0.5564,0.5586,0.5623,0.5564,0.5607,0.5569,0.5624,0.5666
0.215,0.5474,0.5494,0.5513,0.5601,0.5617,0.5653,0.5690,0.5761,0.5727,0.5681,0.5726,0.5821,0.5793,0.5727,0.5696,0.5694,0.5659,0.5691,0.5639,0.5666,0.5722,0.5579,0.5627,0.5680,0.5633,0.5634,0.5646,0.5607,0.5553,0.5609,0.5596,0.5626,0.5620,0.5587,0.5575,0.5659,0.5578,0.5621,0.5611,0.5583
0.220,0.5606,0.5616,0.5699,0.5732,0.5856,0.5867,0.5951,0.6039,0.6104,0.6126,0.6041,0.5945,0.6118,0.6072,0.5944,0.5991,0.5914,0.5867,0.5916,0.5874,0.5889,0.5850,0.5860,0.5782,0.5796,0.5812,0.5773,0.5893,0.5770,0.5691,0.5773,0.5806,0.5784,0.5835,0.5737,0.5791,0.5838,0.5760,0.5785,0.5877
0.225,0.5643,0.5694,0.5712,0.5805,0.5881,0.6059,0.6141,0.6140,0.6180,0.6194,0.6182,0.6133,0.6069,0.6086,0.6147,0.6053,0.6161,0.6005,0.6015,0.6028,0.5971,0.6043,0.5895,0.5921,0.5949,0.5851,0.5817,0.5794,0.5764,0.5787,0.5795,0.5835,0.5830,0.5854,0.5870,0.5820,0.5830,0.5853,0.5852,0.5834
0.230,0.5698,0.5765,0.5838,0.5956,0.6184,0.6206,0.6267,0.6454,0.6290,0.6375,0.6229,0.6296,0.6345,0.6313,0.6262,0.6311,0.6253,0.6279,0.6209,0.6310,0.6126,0.6194,0.6096,0.5964,0.6168,0.6017,0.6081,0.6064,0.6055,0.6003,0.6086,0.6056,0.6043,0.6060,0.6063,0.6028,0.6053,0.6031,0.5985,0.6156
0.235,0.5727,0.5780,0.5929,0.6036,0.6260,0.6255,0.6361,0.6475,0.6384,0.6452,0.6385,0.6304,0.6419,0.6257,0.6445,0.6420,0.6282,0.6233,0.6290,0.6226,0.6194,0.6203,0.6191,0.6164,0.6156,0.6090,0.6147,0.6111,0.5958,0.6110,0.6076,0.5994,0.6076,0.5987,0.6037,0.6199,0.5954,0.6109,0.6083,0.6086
0.240,0.5787,0.5904,0.6033,0.6336,0.6338,0.6655,0.6694,0.6794,0.6706,0.6845,0.6765,0.6716,0.6789,0.6624,0.6799,0.6637,0.6637,0.6597,0.6613,0.6560,0.6710,0.6350,0.6451,0.6412,0.6417,0.6309,0.6263,0.6534,0.6232,0.6178,0.6320,0.6355,0.6347,0.6361,0.6326,0.6306,0.6452,0.6413,0.6534,0.6544
0.245,0.5863,0.5989,0.6064,0.6285,0.6517,0.6766,0.6829,0.6818,0.6768,0.6948,0.7069,0.7074,0.6833,0.6885,0.6691,0.6935,0.6737,0.6733,0.6772,0.6788,0.6698,0.6617,0.6482,0.6554,0.6560,0.6504,0.6359,0.6362,0.6328,0.6350,0.6495,0.6457,0.6420,0.6480,0.6476,0.6381,0.6466,0.6468,0.6677,0.6550
