alpha,T0.0250,T0.0750,T0.1250,T0.1750,T0.2250,T0.2750,T0.3250,T0.3750,T0.4250,T0.4750,T0.5250,T0.5750,T0.6250,T0.6750,T0.7250,T0.7750,T0.8250,T0.8750,T0.9250,T0.9750,T1.0250,T1.0750,T1.1250,T1.1750,T1.2250,T1.2750,T1.3250,T1.3750,T1.4250,T1.4750,T1.5250,T1.5750,T1.6250,T1.6750,T1.7250,T1.7750,T1.8250,T1.8750,T1.9250,T1.9750
0.200,0.9766,0.9364,0.9038,0.8747,0.8522,0.8290,0.8107,0.7914,0.7780,0.7637,0.7452,0.7352,0.7302,0.7170,0.6987,0.6994,0.6895,0.6911,0.6773,0.6753,0.6631,0.6675,0.6557,0.6596,0.6565,0.6526,0.6476,0.6418,0.6453,0.6381,0.6349,0.6318,0.6318,0.6273,0.6208,0.6230,0.6116,0.6174,0.6163,0.6119
0.205,0.9769,0.9360,0.9027,0.8744,0.8510,0.8300,0.8105,0.7882,0.7768,0.7455,0.7385,0.7241,0.7243,0.7038,0.7008,0.6946,0.6810,0.6761,0.6698,0.6659,0.6672,0.6657,0.6551,0.6452,0.6526,0.6487,0.6423,0.6416,0.6423,0.6421,0.6271,0.6306,0.6128,0.6225,0.6191,0.6149,0.6162,0.6026,0.6025,0.6063
0.210,0.9767,0.9365,0.9026,0.8743,0.8485,0.8238,0.8039,0.7864,0.7639,0.7485,0.7211,0.7145,0.6865,0.6834,0.6898,0.6814,0.6714,0.6576,0.6656,0.6570,0.6571,0.6437,0.6496,0.6405,0.6523,0.6385,0.6269,0.6316,0.6305,0.6263,0.6244,0.6139,0.6063,0.6146,0.5977,0.6091,0.5924,0.5976,0.5933,0.5845
0.215,0.9768,0.9374,0.9029,0.8734,0.8495,0.8249,0.8101,0.7889,0.7599,0.7495,0.7342,0.7092,0.6966,0.6841,0.6821,0.6809,0.6753,0.6612,0.6572,0.6476,0.6454,0.6555,0.6504,0.6358,0.6405,0.6339,0.6320,0.6324,0.6351,0.6251,0.6251,0.6103,0.6148,0.6059,0.6141,0.6015,0.6107,0.5940,0.6001,0.5930
0.220,0.9766,0.9368,0.9011,0.8727,0.8470,0.8243,0.8010,0.7758,0.7459,0.7208,0.6959,0.6824,0.6666,0.6579,0.6556,0.6405,0.6564,0.6422,0.6387,0.6322,0.6340,0.6281,0.6242,0.6291,0.6146,0.6071,0.6146,0.6006,0.6032,0.6101,0.5968,0.5960,0.5865,0.5889,0.6034,0.5794,0.5699,0.5784,0.5659,0.5452
0.225,0.9764,0.9351,0.9020,0.8691,0.8405,0.8203,0.7933,0.7713,0.7360,0.7112,0.6926,0.6711,0.6740,0.6510,0.6293,0.6439,0.6055,0.6245,0.6091,0.6111,0.6098,0.6001,0.6087,0.6124,0.6086,0.6106,0.6039,0.6138,0.6092,0.6088,0.6028,0.5876,0.5861,0.5759,0.5820,0.5693,0.5757,0.5509,0.5695,0.5743
0.230,0.9760,0.9347,0.8993,0.8685,0.8404,0.8154,0.7901,0.7598,0.7467,0.6992,0.6782,0.6501,0.6212,0.6126,0.6172,0.6032,0.6049,0.5894,0.5971,0.5776,0.5894,0.5688,0.5895,0.6052,0.5770,0.5974,0.5868,0.5706,0.5781,0.5701,0.5706,0.5655,0.5672,0.5650,0.5540,0.5463,0.5207,0.5441,0.5171,0.5009
0.235,0.9768,0.9341,0.8996,0.8685,0.8451,0.8191,0.7996,0.7738,0.7328,0.7055,0.6769,0.6558,0.6216,0.6245,0.5823,0.5759,0.6006,0.5895,0.5649,0.5640,0.5844,0.5853,0.5848,0.5663,0.5557,0.5765,0.5688,0.5776,0.5776,0.5591,0.5536,0.5605,0.5355,0.5523,0.5609,0.5208,0.5597,0.5171,0.5227,0.5024
0.240,0.9762,0.9347,0.8968,0.8625,0.8374,0.8037,0.7840,0.7370,0.7061,0.6471,0.6299,0.6123,0.5391,0.5509,0.5309,0.5359,0.5488,0.5412,0.5283,0.5082,0.4999,0.5336,0.5357,0.5039,0.5242,0.5281,0.5449,0.5055,0.5240,0.5380,0.5121,0.4948,0.4962,0.4926,0.5107,0.4848,0.4510,0.4411,0.4172,0.4120
0.245,0.9766,0.9320,0.9001,0.8632,0.8362,0.8028,0.7683,0.7435,0.6903,0.6338,0.5841,0.5448,0.5431,0.5413,0.5436,0.4996,0.4770,0.5026,0.4820,0.4726,0.4898,0.4917,0.5008,0.4895,0.5059,0.4907,0.5158,0.5161,0.5064,0.5134,0.4900,0.4976,0.4834,0.4687,0.4707,0.4728,0.4470,0.4291,0.3951,0.4040
