alpha,N,M,T,disorder,phi_a,phi_b,q_ea,phi_max_other,phi_1max
0.20,20,55,0.001962,1,0.998966,0.998323,0.997502,0.487590,0.487140
0.20,20,55,0.001962,2,0.999150,0.998979,0.997776,0.440056,0.444110
0.20,20,55,0.001962,3,0.999205,0.998556,0.997937,0.590931,0.594030
0.20,20,55,0.001962,4,0.998993,0.998964,0.997808,0.495844,0.490900
0.20,20,55,0.001962,5,0.999160,0.998820,0.998308,0.416009,0.428478
0.20,20,55,0.001962,6,0.998372,0.999280,0.997846,0.380928,0.382558
0.20,20,55,0.001962,7,0.999236,0.998360,0.998194,0.355758,0.365089
0.20,20,55,0.001962,8,0.999445,0.998824,0.998214,0.618319,0.621638
0.20,20,55,0.001962,9,0.998671,0.999015,0.997355,0.656146,0.658361
0.20,20,55,0.001962,10,0.998455,0.998978,0.997199,0.417279,0.429940
0.20,20,55,0.001962,11,0.998993,0.999007,0.997461,0.528972,0.537885
0.20,20,55,0.001962,12,0.999006,0.999415,0.998599,0.447779,0.462874
0.20,20,55,0.001962,13,0.999137,0.998787,0.998081,0.382133,0.381412
0.20,20,55,0.001962,14,0.999083,0.998080,0.996962,0.477267,0.469936
0.20,20,55,0.001962,15,0.998872,0.999375,0.998269,0.322570,0.310651
0.20,20,55,0.001962,16,0.998797,0.998908,0.997622,0.543873,0.534628
0.20,20,55,0.001962,17,0.998974,0.998876,0.997644,0.406914,0.398624
0.20,20,55,0.001962,18,0.999072,0.998188,0.997129,0.435479,0.431935
0.20,20,55,0.001962,19,0.999371,0.999293,0.998846,0.479416,0.480668
0.20,20,55,0.001962,20,0.999197,0.998931,0.998038,0.408587,0.399440
0.20,20,55,0.001962,21,0.747638,0.998598,0.754755,0.997624,0.712825
0.20,20,55,0.001962,22,0.998925,0.998911,0.997701,0.614002,0.598744
0.20,20,55,0.001962,23,0.999186,0.999150,0.998022,0.529709,0.530530
0.20,20,55,0.001962,24,0.998947,0.998981,0.997251,0.580499,0.576181
0.20,20,55,0.001962,25,0.998729,0.998755,0.997830,0.505693,0.520842
0.20,20,55,0.001962,26,0.999260,0.998648,0.997540,0.377395,0.383061
0.20,20,55,0.001962,27,0.999216,0.998694,0.997632,0.557242,0.552399
0.20,20,55,0.001962,28,0.998908,0.998796,0.997650,0.478686,0.479389
0.20,20,55,0.001962,29,0.998975,0.998826,0.997583,0.367409,0.357951
0.20,20,55,0.001962,30,0.998405,0.998774,0.997288,0.416750,0.413051
0.20,20,55,0.001962,31,0.999181,0.999188,0.998680,0.543886,0.544205
0.20,20,55,0.001962,32,0.998985,0.998891,0.997610,0.497755,0.500585
0.20,20,55,0.001962,33,0.998930,0.998783,0.998253,0.453147,0.450504
0.20,20,55,0.001962,34,0.998313,0.998091,0.995483,0.458213,0.454915
0.20,20,55,0.001962,35,0.998887,0.999149,0.998301,0.609857,0.603515
0.20,20,55,0.001962,36,0.999214,0.998906,0.998118,0.560517,0.560780
0.20,20,55,0.001962,37,0.999077,0.998815,0.998362,0.384081,0.372222
0.20,20,55,0.001962,38,0.999035,0.999295,0.998329,0.626383,0.627655
0.20,20,55,0.001962,39,0.998946,0.998762,0.997875,0.453199,0.452726
0.20,20,55,0.001962,40,0.999061,0.998710,0.998080,0.495032,0.488926
0.20,20,55,0.001962,41,0.999040,0.998882,0.997405,0.457996,0.461453
0.20,20,55,0.001962,42,0.999331,0.999003,0.998152,0.403612,0.407247
0.20,20,55,0.001962,43,0.999203,0.999112,0.998305,0.478272,0.474414
0.20,20,55,0.001962,44,0.998975,0.998626,0.997493,0.509977,0.500912
0.20,20,55,0.001962,45,0.998815,0.999137,0.997487,0.531094,0.529584
0.20,20,55,0.001962,46,0.998905,0.998774,0.997592,0.436894,0.449815
0.20,20,55,0.001962,47,0.999375,0.998841,0.998580,0.622422,0.616185
0.20,20,55,0.001962,48,0.999233,0.999399,0.998784,0.347602,0.356195
0.20,20,55,0.001962,49,0.999009,0.999340,0.997973,0.611659,0.605448
0.20,20,55,0.001962,50,0.999284,0.998873,0.998538,0.707137,0.710875
0.20,20,55,0.001962,51,0.998453,0.998948,0.998138,0.678433,0.680177
0.20,20,55,0.001962,52,0.999083,0.998682,0.998368,0.367212,0.352465
0.20,20,55,0.001962,53,0.999230,0.998826,0.997930,0.364991,0.370708
0.20,20,55,0.001962,54,0.998628,0.998824,0.997944,0.493257,0.491435
