alpha,T,N,M,n_dis,D_v,D_phi1,D_v_std,D_phi1_std,phi_1max_mean
0.15,0.05,66,20000,4000,9.810419e-07,1.797097e-07,2.254889e-09,8.683380e-10,0.4697
0.15,0.10,66,20000,4000,3.999053e-06,5.138470e-07,9.000180e-09,2.709583e-09,0.4699
0.15,0.15,66,20000,4000,8.483888e-06,9.705492e-07,1.844675e-08,4.367435e-09,0.4699
0.15,0.20,66,20000,4000,1.391102e-05,1.530988e-06,3.074594e-08,5.748818e-09,0.4701
0.15,0.25,66,20000,4000,1.979956e-05,2.180248e-06,4.533992e-08,7.178126e-09,0.4697
0.15,0.30,66,20000,4000,2.585114e-05,2.869122e-06,6.192932e-08,8.791662e-09,0.4696
0.15,0.40,66,20000,4000,3.757001e-05,4.220127e-06,1.006747e-07,1.297472e-08,0.4706
0.15,0.50,66,20000,4000,4.712680e-05,5.390204e-06,1.406351e-07,1.862139e-08,0.4704
0.15,0.80,66,20000,4000,5.905043e-05,7.109802e-06,2.575136e-07,3.778257e-08,0.4704
0.15,1.00,66,20000,4000,5.465672e-05,7.153761e-06,3.137381e-07,5.230969e-08,0.4692
0.15,1.50,66,20000,4000,2.690384e-05,7.202083e-06,3.357432e-07,1.062642e-07,0.4703
0.15,2.00,66,20000,4000,9.499245e-06,7.120021e-06,2.427967e-07,1.849866e-07,0.4697
0.18,0.05,55,20000,4000,1.542439e-06,2.434502e-07,3.482718e-09,1.371755e-09,0.5096
0.18,0.10,55,20000,4000,5.944949e-06,7.018661e-07,1.301142e-08,3.783601e-09,0.5101
0.18,0.15,55,20000,4000,1.244889e-05,1.333029e-06,2.686559e-08,5.677386e-09,0.5102
0.18,0.20,55,20000,4000,2.023702e-05,2.138982e-06,4.408688e-08,7.374560e-09,0.5092
0.18,0.25,55,20000,4000,2.888301e-05,3.077707e-06,6.591664e-08,9.526126e-09,0.5109
0.18,0.30,55,20000,4000,3.750688e-05,4.069524e-06,8.856402e-08,1.213345e-08,0.5095
0.18,0.40,55,20000,4000,5.391312e-05,6.015009e-06,1.415056e-07,1.799978e-08,0.5100
0.18,0.50,55,20000,4000,6.765612e-05,7.650964e-06,2.007148e-07,2.534861e-08,0.5094
0.18,0.80,55,20000,4000,8.486996e-05,9.940715e-06,3.627010e-07,5.081657e-08,0.5095
0.18,1.00,55,20000,4000,7.838855e-05,9.855821e-06,4.406109e-07,7.046098e-08,0.5112
0.18,1.50,55,20000,4000,4.118158e-05,9.466594e-06,4.717549e-07,1.318567e-07,0.5101
0.18,2.00,55,20000,4000,1.536295e-05,9.118043e-06,3.527366e-07,2.239409e-07,0.5104
0.20,0.05,50,20000,4000,1.876577e-06,2.903012e-07,4.162631e-09,1.649821e-09,0.5314
0.20,0.10,50,20000,4000,7.232596e-06,8.178270e-07,1.541088e-08,4.370264e-09,0.5320
0.20,0.15,50,20000,4000,1.500682e-05,1.565115e-06,3.111413e-08,6.599395e-09,0.5303
0.20,0.20,50,20000,4000,2.451641e-05,2.524335e-06,5.314365e-08,8.698426e-09,0.5310
0.20,0.25,50,20000,4000,3.468466e-05,3.660360e-06,7.777635e-08,1.117555e-08,0.5318
0.20,0.30,50,20000,4000,4.526303e-05,4.847280e-06,1.057592e-07,1.414100e-08,0.5315
0.20,0.40,50,20000,4000,6.494130e-05,7.177710e-06,1.723377e-07,2.188538e-08,0.5310
0.20,0.50,50,20000,4000,8.162252e-05,9.143138e-06,2.444427e-07,3.299417e-08,0.5309
0.20,0.80,50,20000,4000,1.018885e-04,1.175482e-05,4.336731e-07,5.977141e-08,0.5320
0.20,1.00,50,20000,4000,9.562395e-05,1.151725e-05,5.388640e-07,7.925507e-08,0.5317
0.20,1.50,50,20000,4000,5.113546e-05,1.037536e-05,5.701132e-07,1.468558e-07,0.5311
0.20,2.00,50,20000,4000,1.927836e-05,1.032294e-05,4.159199e-07,2.412450e-07,0.5322
0.22,0.05,45,20000,4000,2.374226e-06,3.381866e-07,5.273951e-09,1.990552e-09,0.5558
0.22,0.10,45,20000,4000,8.976276e-06,9.810661e-07,1.899970e-08,5.161094e-09,0.5561
0.22,0.15,45,20000,4000,1.874805e-05,1.905338e-06,3.872229e-08,7.656948e-09,0.5553
0.22,0.20,45,20000,4000,3.026676e-05,3.085912e-06,6.518840e-08,1.023692e-08,0.5563
0.22,0.25,45,20000,4000,4.268525e-05,4.462908e-06,9.635092e-08,1.336130e-08,0.5553
0.22,0.30,45,20000,4000,5.563176e-05,5.918492e-06,1.315907e-07,1.719703e-08,0.5563
0.22,0.40,45,20000,4000,8.036632e-05,8.848538e-06,2.115690e-07,2.712942e-08,0.5566
0.22,0.50,45,20000,4000,1.004576e-04,1.117400e-05,2.978094e-07,3.747098e-08,0.5553
0.22,0.80,45,20000,4000,1.266648e-04,1.440735e-05,5.420827e-07,7.387717e-08,0.5557
0.22,1.00,45,20000,4000,1.188372e-04,1.378404e-05,6.503844e-07,9.559411e-08,0.5562
0.22,1.50,45,20000,4000,6.554045e-05,1.195913e-05,7.153398e-07,1.627816e-07,0.5561
0.22,2.00,45,20000,4000,2.500235e-05,1.085154e-05,5.266860e-07,2.606449e-07,0.5560
0.24,0.05,41,20000,4000,2.875768e-06,3.948258e-07,6.498857e-09,2.263719e-09,0.5779
0.24,0.10,41,20000,4000,1.092832e-05,1.131927e-06,2.327895e-08,5.864878e-09,0.5783
0.24,0.15,41,20000,4000,2.263259e-05,2.241128e-06,4.736764e-08,8.776021e-09,0.5786
0.24,0.20,41,20000,4000,3.664973e-05,3.684863e-06,7.988175e-08,1.230813e-08,0.5786
0.24,0.25,41,20000,4000,5.170178e-05,5.425821e-06,1.138883e-07,1.736121e-08,0.5784
0.24,0.30,41,20000,4000,6.709137e-05,7.185250e-06,1.601958e-07,2.202501e-08,0.5783
0.24,0.40,41,20000,4000,9.599275e-05,1.070466e-05,2.524986e-07,3.535038e-08,0.5789
0.24,0.50,41,20000,4000,1.208163e-04,1.357014e-05,3.620510e-07,4.857821e-08,0.5776
0.24,0.80,41,20000,4000,1.518948e-04,1.714400e-05,6.526046e-07,1.024851e-07,0.5783
0.24,1.00,41,20000,4000,1.420360e-04,1.686811e-05,7.667711e-07,1.299722e-07,0.5772
0.24,1.50,41,20000,4000,8.162854e-05,1.379738e-05,8.718434e-07,1.889718e-07,0.5786
0.24,2.00,41,20000,4000,3.311043e-05,1.345725e-05,6.577988e-07,3.152376e-07,0.5774
0.26,0.05,38,20000,4000,3.355661e-06,4.454228e-07,7.656485e-09,2.656962e-09,0.5967
0.26,0.10,38,20000,4000,1.265081e-05,1.306348e-06,2.702545e-08,6.648525e-09,0.5972
0.26,0.15,38,20000,4000,2.637771e-05,2.596563e-06,5.511706e-08,1.063611e-08,0.5975
0.26,0.20,38,20000,4000,4.259881e-05,4.298397e-06,9.654087e-08,1.577576e-08,0.5967
0.26,0.25,38,20000,4000,5.965275e-05,6.289378e-06,1.372065e-07,2.199827e-08,0.5968
0.26,0.30,38,20000,4000,7.761854e-05,8.487996e-06,1.876752e-07,3.013776e-08,0.5969
0.26,0.40,38,20000,4000,1.110950e-04,1.271512e-05,3.006921e-07,4.729496e-08,0.5977
0.26,0.50,38,20000,4000,1.388621e-04,1.601712e-05,4.231598e-07,6.107563e-08,0.5963
0.26,0.80,38,20000,4000,1.764379e-04,2.052423e-05,7.675105e-07,1.402071e-07,0.5969
0.26,1.00,38,20000,4000,1.649340e-04,1.997794e-05,8.897751e-07,1.834277e-07,0.5966
0.26,1.50,38,20000,4000,9.670882e-05,1.686715e-05,1.025353e-06,2.866367e-07,0.5963
0.26,2.00,38,20000,4000,4.021989e-05,1.612544e-05,7.855497e-07,4.098630e-07,0.5967
0.28,0.05,35,20000,4000,3.956596e-06,5.113974e-07,9.030206e-09,3.033214e-09,0.6179
0.28,0.10,35,20000,4000,1.501744e-05,1.522742e-06,3.133866e-08,7.982322e-09,0.6185
0.28,0.15,35,20000,4000,3.088188e-05,3.140068e-06,6.570805e-08,1.475894e-08,0.6177
0.28,0.20,35,20000,4000,4.968683e-05,5.298592e-06,1.111261e-07,2.376536e-08,0.6177
0.28,0.25,35,20000,4000,7.032219e-05,7.778832e-06,1.668964e-07,3.315292e-08,0.6176
0.28,0.30,35,20000,4000,9.046934e-05,1.060366e-05,2.267529e-07,4.854374e-08,0.6180
0.28,0.40,35,20000,4000,1.283562e-04,1.585025e-05,3.736127e-07,7.510400e-08,0.6180
0.28,0.50,35,20000,4000,1.594998e-04,2.023444e-05,5.125327e-07,1.044846e-07,0.6181
0.28,0.80,35,20000,4000,2.026967e-04,2.697352e-05,9.036492e-07,2.680616e-07,0.6177
0.28,1.00,35,20000,4000,1.937383e-04,2.596006e-05,1.100013e-06,3.188461e-07,0.6177
0.28,1.50,35,20000,4000,1.171601e-04,2.392318e-05,1.184881e-06,4.980314e-07,0.6167
0.28,2.00,35,20000,4000,5.488432e-05,2.520705e-05,1.012076e-06,7.221437e-07,0.6186
0.30,0.05,33,20000,4000,4.442723e-06,5.490709e-07,1.034132e-08,3.454048e-09,0.6323
0.30,0.10,33,20000,4000,1.677711e-05,1.744841e-06,3.577370e-08,1.000321e-08,0.6326
0.30,0.15,33,20000,4000,3.448464e-05,3.636221e-06,7.660742e-08,1.932820e-08,0.6315
0.30,0.20,33,20000,4000,5.520440e-05,6.308510e-06,1.297772e-07,3.325625e-08,0.6322
0.30,0.25,33,20000,4000,7.704154e-05,9.574545e-06,1.979469e-07,5.027071e-08,0.6331
