step,P_esc,tau_t
4,0.000000,-1.0
8,0.000000,-1.0
12,0.000000,-1.0
16,0.000000,-1.0
20,0.000000,-1.0
24,0.000000,-1.0
28,0.000500,55986.0
32,0.001000,31984.0
36,0.002000,17982.0
40,0.003000,13313.3
44,0.003000,14644.7
48,0.005000,9576.0
52,0.006000,8640.6
56,0.012000,4638.6
60,0.014000,4255.6
64,0.018500,3427.4
68,0.024500,2741.4
72,0.031500,2249.5
76,0.039500,1885.8
80,0.045500,1717.9
84,0.054500,1498.9
88,0.066500,1278.8
92,0.076000,1163.9
96,0.082000,1122.0
100,0.090500,1054.2
104,0.098500,1002.9
108,0.110000,926.8
112,0.122000,860.8
116,0.135000,799.9
120,0.149000,743.8
124,0.161500,704.0
128,0.174000,669.6
132,0.187500,635.7
136,0.203500,597.7
140,0.218500,567.9
144,0.230500,549.6
148,0.240500,538.0
152,0.252500,522.3
156,0.267500,501.1
160,0.281500,484.0
164,0.291000,476.9
168,0.301000,469.1
172,0.312000,459.9
176,0.322000,452.9
180,0.334000,442.8
184,0.348000,430.2
188,0.358500,423.5
192,0.365500,422.1
196,0.376500,414.9
200,0.390000,404.6
204,0.398500,401.3
208,0.405500,400.0
212,0.412000,399.2
216,0.423000,392.8
220,0.434000,386.5
224,0.440000,386.3
228,0.449000,382.5
232,0.458000,378.8
236,0.467500,374.5
240,0.480000,367.0
244,0.495000,357.1
248,0.502500,355.2
252,0.514000,349.2
256,0.525500,343.4
260,0.531000,343.4
264,0.541000,339.0
268,0.549000,336.6
272,0.557000,334.1
276,0.562500,333.9
280,0.569000,332.7
284,0.574500,332.4
288,0.581500,330.6
292,0.590000,327.5
296,0.597500,325.3
300,0.605000,323.0
304,0.613000,320.2
308,0.619500,318.8
312,0.626000,317.2
316,0.633500,314.8
320,0.639500,313.6
324,0.647000,311.2
328,0.654000,309.1
332,0.659500,308.2
336,0.665500,306.8
340,0.673500,303.8
344,0.677000,304.4
348,0.682500,303.3
352,0.687500,302.6
356,0.691500,302.7
360,0.696500,301.9
364,0.703000,299.8
368,0.707500,299.4
372,0.711000,299.7
376,0.715000,299.5
380,0.720000,298.5
384,0.724000,298.3
388,0.727000,298.9
392,0.732000,297.7
396,0.736500,296.9
400,0.741500,295.7
404,0.744500,296.1
408,0.750500,293.9
412,0.758000,290.4
416,0.763000,289.0
420,0.770000,285.8
424,0.774000,285.1
428,0.779000,283.5
432,0.781500,284.0
436,0.786500,282.4
440,0.791500,280.6
444,0.795500,279.7
448,0.799000,279.2
452,0.802500,278.7
456,0.805500,278.5
460,0.808000,278.7
464,0.811000,278.5
468,0.815000,277.3
472,0.817500,277.5
476,0.823500,274.4
480,0.826500,274.0
484,0.832000,271.3
488,0.834500,271.3
492,0.836500,271.7
496,0.839500,271.1
500,0.840500,272.4
504,0.841000,274.1
508,0.843000,274.4
512,0.844000,275.6
516,0.847500,274.4
520,0.851000,273.1
524,0.854000,272.3
528,0.856500,272.0
532,0.862500,268.1
536,0.864000,268.7
540,0.867500,267.2
544,0.871500,265.1
548,0.873500,265.1
552,0.873500,267.0
556,0.875500,266.9
560,0.879500,264.6
564,0.880500,265.5
568,0.882500,265.3
572,0.884000,265.5
576,0.886000,265.2
580,0.888000,264.9
584,0.890000,264.6
588,0.892500,263.6
592,0.894500,263.2
596,0.896500,262.8
600,0.897000,264.0
604,0.898000,264.6
608,0.899500,264.6
612,0.902000,263.5
616,0.902500,264.6
620,0.904500,264.0
624,0.906500,263.3
628,0.907500,263.8
632,0.908000,264.9
636,0.910000,264.1
640,0.910000,265.8
644,0.911000,266.2
648,0.912000,266.6
652,0.914500,265.1
656,0.916000,264.8
660,0.917500,264.5
664,0.919000,264.2
