alpha,T,N,M,n_dis,tau_plateau,P_esc_final,phi_eq,threshold,T_run,stride
0.20,0.80,50,20000,2000,338.7,1.000000,0.8376,0.8120,10000,4
0.22,0.80,45,20000,2000,269.7,1.000000,0.8376,0.8130,10000,4
0.24,0.80,41,20000,2000,NaN,1.000000,0.8376,0.8145,10000,4
0.26,0.50,38,20000,2000,NaN,1.000000,0.8703,0.8433,10000,4
0.28,0.50,35,20000,2000,NaN,1.000000,0.8703,0.8447,10000,4
0.28,0.40,35,20000,2000,NaN,1.000000,0.8855,0.8574,10000,4
0.20,0.50,50,20000,2000,NaN,1.000000,0.8703,0.8384,50000,16
0.22,0.50,45,20000,2000,NaN,1.000000,0.8703,0.8403,30000,8
0.24,0.50,41,20000,2000,NaN,1.000000,0.8703,0.8418,20000,8
0.26,0.40,38,20000,2000,NaN,1.000000,0.8855,0.8560,30000,16
0.28,0.30,35,20000,2000,NaN,1.000000,0.9042,0.8735,30000,16
0.28,0.25,35,20000,2000,1321.9,1.000000,0.9151,0.8828,50000,32
0.20,0.40,50,20000,2000,3303.2,1.000000,0.8855,0.8506,100000,64
0.22,0.40,45,20000,2000,NaN,1.000000,0.8855,0.8525,100000,32
0.24,0.40,41,20000,2000,NaN,1.000000,0.8855,0.8545,50000,16
0.26,0.30,38,20000,2000,NaN,1.000000,0.9042,0.8716,100000,64
0.28,0.20,35,20000,2000,4126.4,1.000000,0.9276,0.8936,100000,64
0.28,0.15,35,20000,2000,19987.7,0.999000,0.9417,0.9053,200000,128
0.24,0.30,41,20000,2000,5641.4,1.000000,0.9042,0.8701,200000,128
0.26,0.25,38,20000,2000,5296.2,1.000000,0.9151,0.8809,200000,128
0.22,0.30,45,20000,2000,18455.0,1.000000,0.9042,0.8682,300000,250
0.26,0.20,38,20000,2000,23814.9,1.000000,0.9276,0.8916,300000,250
0.24,0.25,41,20000,2000,19774.3,1.000000,0.9151,0.8789,300000,250
0.20,0.30,50,20000,2000,71461.9,1.000000,0.9042,0.8657,500000,500
0.24,0.20,41,20000,2000,52481.5,1.000000,0.9276,0.8896,500000,250
0.22,0.25,45,20000,2000,40711.7,1.000000,0.9151,0.8770,500000,250
0.24,0.15,41,20000,2000,246036.1,0.769500,0.9417,0.9014,500000,500
0.20,0.25,50,20000,2000,175587.3,0.944500,0.9151,0.8750,500000,500
0.22,0.20,45,20000,2000,205809.8,0.872500,0.9276,0.8872,500000,500
