alpha,T,N,M,n_dis,P_esc_final,T_run,stride
0.20,0.80,50,20000,2000,0.049500,10000,4
0.22,0.80,45,20000,2000,0.228500,10000,4
0.24,0.80,41,20000,2000,0.450000,10000,4
0.26,0.80,38,20000,2000,0.626000,10000,4
0.28,0.80,35,20000,2000,0.629500,10000,4
0.30,0.80,33,20000,2000,0.606000,10000,4
0.20,0.50,50,20000,2000,0.097000,30000,8
0.22,0.50,45,20000,2000,0.322500,30000,8
0.24,0.50,41,20000,2000,0.609000,30000,8
0.26,0.50,38,20000,2000,0.714000,30000,8
0.28,0.50,35,20000,2000,0.689000,30000,8
0.30,0.50,33,20000,2000,0.663500,30000,8
0.20,0.40,50,20000,2000,0.145000,100000,32
0.22,0.40,45,20000,2000,0.412500,100000,32
0.24,0.40,41,20000,2000,0.686500,100000,32
0.26,0.30,38,20000,2000,0.704500,100000,64
0.26,0.40,38,20000,2000,0.703500,100000,32
0.28,0.30,35,20000,2000,0.679000,100000,64
0.28,0.40,35,20000,2000,0.691000,100000,32
0.30,0.30,33,20000,2000,0.646500,100000,64
0.30,0.40,33,20000,2000,0.643500,100000,32
0.26,0.25,38,20000,2000,0.697000,200000,128
0.28,0.25,35,20000,2000,0.686500,200000,128
0.30,0.25,33,20000,2000,0.685000,200000,128
0.20,0.30,50,20000,2000,0.161000,300000,128
0.22,0.30,45,20000,2000,0.460500,300000,128
0.24,0.30,41,20000,2000,0.711000,300000,128
0.26,0.20,38,20000,2000,0.700500,300000,128
0.28,0.15,35,20000,2000,0.711000,300000,128
0.28,0.20,35,20000,2000,0.717500,300000,128
0.30,0.15,33,20000,2000,0.721000,300000,128
0.30,0.20,33,20000,2000,0.712500,300000,128
0.20,0.15,50,20000,2000,0.059000,500000,256
0.20,0.20,50,20000,2000,0.089500,500000,256
0.20,0.25,50,20000,2000,0.139500,500000,256
0.22,0.15,45,20000,2000,0.225000,500000,256
0.22,0.20,45,20000,2000,0.343000,500000,256
0.22,0.25,45,20000,2000,0.439000,500000,256
0.24,0.15,41,20000,2000,0.498500,500000,256
0.24,0.20,41,20000,2000,0.620000,500000,256
0.24,0.25,41,20000,2000,0.695500,500000,256
0.26,0.15,38,20000,2000,0.703000,500000,256
