alpha,T,N,t_escape,t_centroid,mu_escape,phi_1mu,Dv_retrieval,Dv_prebarrier,Dv_postbarrier,Dv_centroid
0.20,0.80,50,1028,-1,14773,0.5547,1.4921e-04,NaN,1.9960e-04,NaN
0.20,0.80,50,5940,6144,13217,0.6143,4.1412e-05,NaN,5.0861e-02,2.2824e-03
0.20,0.80,50,5204,5408,9467,0.6167,3.9409e-05,NaN,3.2770e-02,1.1229e-03
0.20,0.80,50,8660,-1,16766,0.5435,2.4704e-05,NaN,6.9898e-04,NaN
0.20,0.80,50,52,256,9564,0.6719,4.5175e-03,NaN,2.1447e-02,2.3447e-03
0.20,0.80,50,7740,7944,7691,0.5396,2.2831e-05,NaN,4.1616e-02,5.7189e-04
0.20,0.80,50,8092,-1,9975,0.4810,2.0440e-05,NaN,4.0900e-04,NaN
0.20,0.80,50,320,1408,174,0.5605,4.7969e-04,NaN,1.9659e-03,1.3443e-04
0.20,0.80,50,7400,-1,3975,0.5898,3.3033e-05,NaN,4.1092e-04,NaN
0.20,0.80,50,1136,-1,4498,0.4568,8.4228e-05,NaN,1.6191e-04,NaN
0.20,0.80,50,6484,-1,3174,0.6177,4.2184e-05,NaN,3.4814e-04,NaN
0.20,0.80,50,1192,1396,18295,0.6011,1.4366e-04,NaN,1.5698e-02,2.5266e-03
0.20,0.80,50,6600,-1,12660,0.5488,3.2253e-05,NaN,2.8529e-04,NaN
0.20,0.80,50,4176,-1,7143,0.5381,3.7042e-05,NaN,4.1414e-04,NaN
0.20,0.80,50,260,-1,5377,0.5239,4.7496e-04,NaN,9.4333e-05,NaN
0.20,0.80,50,5960,-1,10310,0.5542,3.7271e-05,NaN,4.3921e-04,NaN
0.20,0.80,50,5344,-1,16668,0.4878,3.4871e-05,NaN,1.8728e-04,NaN
0.20,0.80,50,6108,-1,18250,0.6118,3.1617e-05,NaN,1.4253e-04,NaN
0.20,0.80,50,6576,6780,7279,0.5928,3.9253e-05,NaN,1.5833e-02,1.7482e-03
0.20,0.80,50,8180,-1,11698,0.5718,3.1939e-05,NaN,5.8612e-04,NaN
0.20,0.80,50,8888,-1,14256,0.4856,2.0932e-05,NaN,7.3268e-04,NaN
0.20,0.80,50,6872,-1,2123,0.5474,3.0020e-05,NaN,5.3771e-04,NaN
0.20,0.80,50,884,1088,18685,0.5552,1.8101e-04,NaN,1.4620e-02,2.1621e-03
0.20,0.80,50,7712,-1,4999,0.5449,3.2128e-05,NaN,4.4367e-04,NaN
0.20,0.80,50,2948,-1,18628,0.4954,4.4582e-05,NaN,1.2105e-04,NaN
0.20,0.80,50,8388,-1,8545,0.4668,1.8802e-05,NaN,4.6335e-04,NaN
0.20,0.80,50,5768,-1,15324,0.5464,3.3244e-05,NaN,2.2277e-04,NaN
0.20,0.80,50,4024,-1,13053,0.4163,3.0108e-05,NaN,2.2695e-04,NaN
0.20,0.80,50,5092,5296,19189,0.5532,3.4646e-05,NaN,1.6340e-02,2.0072e-03
0.20,0.80,50,4360,-1,4939,0.5142,4.3516e-05,NaN,1.6669e-04,NaN
0.20,0.80,50,7624,-1,12001,0.5645,3.2035e-05,NaN,4.2796e-04,NaN
0.20,0.80,50,4776,-1,4233,0.5620,3.5269e-05,NaN,1.8325e-04,NaN
0.20,0.80,50,5576,5780,6403,0.6182,3.8849e-05,NaN,4.2333e-02,3.3934e-03
0.20,0.80,50,6728,6932,17010,0.6064,3.3013e-05,NaN,1.5856e-02,2.4482e-03
0.20,0.80,50,4404,4616,9842,0.6143,3.4061e-05,NaN,3.7153e-02,5.4362e-04
0.20,0.80,50,3444,3648,11595,0.5298,3.8837e-05,NaN,1.9130e-02,4.0802e-04
0.20,0.80,50,5532,-1,2835,0.5317,3.3237e-05,NaN,2.0254e-04,NaN
0.20,0.80,50,1188,-1,10536,0.5557,1.1038e-04,NaN,1.0772e-04,NaN
0.20,0.80,50,5880,6084,19340,0.5796,2.2891e-05,NaN,2.0454e-02,4.2609e-04
0.20,0.80,50,1880,-1,18127,0.5234,6.9403e-05,NaN,2.4686e-04,NaN
0.20,0.80,50,4184,-1,19514,0.5327,4.2126e-05,NaN,1.6289e-04,NaN
0.20,0.80,50,2028,3444,2627,0.6436,1.2778e-04,NaN,1.2450e-03,7.7373e-05
0.20,0.80,50,5964,-1,5478,0.5698,3.4873e-05,NaN,2.4755e-04,NaN
0.20,0.80,50,3836,-1,2200,0.5767,4.5223e-05,NaN,2.1570e-04,NaN
0.20,0.80,50,6800,-1,12982,0.5469,3.0343e-05,NaN,2.9150e-04,NaN
0.20,0.80,50,6744,-1,17865,0.5190,2.8715e-05,NaN,2.7548e-04,NaN
