step,P_esc
4,0.000000
8,0.000000
12,0.000000
16,0.000000
20,0.000000
24,0.000000
28,0.000000
32,0.000000
36,0.000000
40,0.000000
44,0.000000
48,0.000000
52,0.000000
56,0.000000
60,0.000000
64,0.000000
68,0.000000
72,0.000000
76,0.000000
80,0.000000
84,0.000000
88,0.000000
92,0.000000
96,0.000000
100,0.000000
104,0.000000
108,0.000000
112,0.000000
116,0.000000
120,0.000000
124,0.000000
128,0.000000
132,0.000000
136,0.000000
140,0.000000
144,0.000000
148,0.000000
152,0.000000
156,0.000000
160,0.000000
164,0.000000
168,0.000000
172,0.000000
176,0.000000
180,0.000000
184,0.000000
188,0.000000
192,0.000000
196,0.000000
200,0.000000
204,0.020000
208,0.020000
212,0.020000
216,0.020500
220,0.020500
224,0.021500
228,0.024500
232,0.028000
236,0.032000
240,0.037000
244,0.042000
248,0.047500
252,0.052500
256,0.057500
260,0.063000
264,0.069500
268,0.075500
272,0.083000
276,0.093500
280,0.099500
284,0.104000
288,0.111000
292,0.118500
296,0.122500
300,0.129000
304,0.140500
308,0.146500
312,0.152000
316,0.159500
320,0.168000
324,0.175000
328,0.177000
332,0.182500
336,0.190000
340,0.196000
344,0.205000
348,0.216000
352,0.224000
356,0.230500
360,0.236500
364,0.242500
368,0.249000
372,0.253000
376,0.260000
380,0.265000
384,0.272000
388,0.278500
392,0.284500
396,0.286000
400,0.293500
404,0.301000
408,0.305000
412,0.312500
416,0.316500
420,0.326000
424,0.331500
428,0.338000
432,0.343500
436,0.347000
440,0.351000
444,0.358500
448,0.366000
452,0.374000
456,0.378500
460,0.387500
464,0.389500
468,0.393000
472,0.397500
476,0.403500
480,0.407500
484,0.414500
488,0.419500
492,0.424000
496,0.426500
500,0.429000
504,0.433000
508,0.439000
512,0.443000
516,0.445500
520,0.449000
524,0.453000
528,0.457000
532,0.462000
536,0.465000
540,0.469000
544,0.472000
548,0.477000
552,0.479500
556,0.481500
560,0.486500
564,0.490500
568,0.494500
572,0.497500
576,0.501000
580,0.505000
584,0.507500
588,0.510000
592,0.512500
596,0.516500
600,0.519000
604,0.521500
608,0.525000
612,0.528000
616,0.532000
620,0.536500
624,0.540000
628,0.543000
632,0.548500
636,0.552000
640,0.555500
644,0.559000
648,0.561500
652,0.565000
656,0.568500
660,0.573000
664,0.575500
668,0.578000
672,0.579000
676,0.583500
680,0.587000
684,0.591000
688,0.593500
692,0.596500
696,0.599500
700,0.601500
704,0.604500
708,0.608000
712,0.609000
716,0.613000
720,0.616000
724,0.618000
728,0.620000
732,0.622000
736,0.623500
740,0.626000
744,0.629000
748,0.630000
752,0.631500
756,0.634000
760,0.635500
764,0.639500
768,0.643500
772,0.645000
776,0.648000
780,0.649500
784,0.652500
788,0.654000
792,0.658000
796,0.659500
800,0.662500
804,0.663000
808,0.664500
812,0.667000
816,0.668000
820,0.669000
824,0.670500
828,0.672000
832,0.675500
836,0.677500
840,0.680500
844,0.685000
848,0.687500
852,0.690500
856,0.692500
860,0.694000
864,0.696000
868,0.698500
872,0.700500
876,0.703000
880,0.707000
884,0.709500
888,0.711000
892,0.713000
896,0.715500
900,0.718000
904,0.719000
908,0.721500
912,0.722500
916,0.726000
920,0.727500
924,0.728000
928,0.730500
932,0.734000
936,0.735500
940,0.737000
944,0.737500
948,0.740500
952,0.742000
956,0.742500
960,0.742500
964,0.745500
968,0.747000
972,0.750000
976,0.751000
980,0.754500
984,0.756000
988,0.759500
