alpha,T,N,M,n_dis,tau_median,P_esc_final,n_confirmed
0.20,1.20,50,20000,2000,4196.0,0.115500,231
0.20,1.60,50,20000,2000,4524.0,0.133500,267
0.20,2.00,50,20000,2000,5148.0,0.136500,273
0.22,1.20,45,20000,2000,3840.0,0.518000,1036
0.22,1.60,45,20000,2000,3872.0,0.575500,1151
0.22,2.00,45,20000,2000,3858.0,0.606000,1212
0.24,1.20,41,20000,2000,1824.0,0.943500,1887
0.24,1.60,41,20000,2000,1852.0,0.961500,1923
0.24,2.00,41,20000,2000,1760.0,0.971500,1943
0.26,1.20,38,20000,2000,756.0,0.999500,1999
0.26,1.60,38,20000,2000,708.0,0.999500,1999
0.26,2.00,38,20000,2000,752.0,1.000000,2000
0.28,1.20,35,20000,2000,296.0,0.998500,1997
0.28,1.60,35,20000,2000,312.0,0.999500,1999
0.28,2.00,35,20000,2000,312.0,0.999500,1999
0.30,1.20,33,20000,2000,172.0,0.984500,1969
0.30,1.60,33,20000,2000,192.0,0.995000,1990
0.30,2.00,33,20000,2000,212.0,0.998000,1996
0.20,0.60,50,20000,2000,5448.0,0.103500,207
0.20,0.70,50,20000,2000,6216.0,0.113500,227
0.22,0.60,45,20000,2000,5038.0,0.427000,854
0.22,0.70,45,20000,2000,4988.0,0.477500,955
0.24,0.60,41,20000,2000,2876.0,0.865000,1730
0.24,0.70,41,20000,2000,2554.0,0.904000,1808
0.26,0.60,38,20000,2000,1172.0,0.981500,1963
0.26,0.70,38,20000,2000,1024.0,0.993500,1987
0.28,0.60,35,20000,2000,420.0,0.943000,1886
0.28,0.70,35,20000,2000,360.0,0.967500,1935
0.30,0.60,33,20000,2000,220.0,0.864500,1729
0.30,0.70,33,20000,2000,192.0,0.909500,1819
0.32,0.20,31,20000,2000,544.0,0.255000,510
0.32,0.25,31,20000,2000,16.0,0.219500,439
0.34,0.15,29,20000,2000,32.0,0.279500,559
