alpha,T,N,t_escape,t_centroid,mu_escape,phi_1mu,Dv_retrieval,Dv_prebarrier,Dv_postbarrier,Dv_centroid
0.20,1.20,50,5584,-1,10759,0.5986,3.3368e-05,NaN,4.1637e-04,NaN
0.20,1.20,50,6100,-1,2974,0.5254,2.9178e-05,NaN,2.4086e-04,NaN
0.20,1.20,50,3424,-1,5691,0.6157,5.0723e-05,NaN,1.6841e-04,NaN
0.20,1.20,50,520,724,6172,0.6743,5.9338e-03,NaN,4.3105e-02,2.4024e-02
0.20,1.20,50,452,-1,17813,0.4966,2.1199e-04,NaN,8.2342e-05,NaN
0.20,1.20,50,5032,-1,19958,0.5396,2.1652e-05,NaN,9.0936e-04,NaN
0.20,1.20,50,5864,-1,10151,0.5312,2.0494e-05,NaN,3.6765e-04,NaN
0.20,1.20,50,2224,-1,14802,0.5059,5.5924e-05,NaN,1.0999e-04,NaN
0.20,1.20,50,4724,4936,2435,0.5586,2.6939e-05,NaN,2.1775e-02,2.2832e-02
0.20,1.20,50,344,-1,16226,0.3909,2.5671e-04,NaN,7.1927e-05,NaN
0.20,1.20,50,1344,-1,15959,0.5029,7.0836e-05,NaN,9.6007e-05,NaN
0.20,1.20,50,1380,8560,11022,0.5708,1.1923e-04,NaN,2.0426e-04,2.6127e-04
0.20,1.20,50,1388,1596,741,0.5063,4.9203e-05,NaN,4.1230e-02,1.4477e-03
0.20,1.20,50,988,-1,18711,0.5889,2.0617e-04,NaN,4.7541e-04,NaN
0.20,1.20,50,3396,9352,14143,0.4568,3.5844e-05,NaN,1.8931e-04,5.3576e-04
0.20,1.20,50,9188,-1,5503,0.6035,2.0792e-05,NaN,1.1887e-03,NaN
0.20,1.20,50,9276,-1,3578,0.4790,2.0741e-05,NaN,1.1583e-03,NaN
0.20,1.20,50,4748,-1,10488,0.5190,3.0499e-05,NaN,1.5383e-04,NaN
0.20,1.20,50,9732,-1,10916,0.5015,1.9480e-05,NaN,3.3592e-03,NaN
0.20,1.20,50,4968,-1,13775,0.5420,2.9032e-05,NaN,1.8093e-04,NaN
0.20,1.20,50,4772,-1,1036,0.4929,2.4922e-05,NaN,1.4786e-04,NaN
0.20,1.20,50,5960,-1,5416,0.5913,2.3056e-05,NaN,4.5762e-04,NaN
0.20,1.20,50,5556,-1,13453,0.4512,2.3541e-05,NaN,1.6669e-04,NaN
0.20,1.20,50,1864,2072,11502,0.5918,6.7893e-05,NaN,3.8609e-02,1.9359e-03
0.20,1.20,50,4760,-1,1955,0.5557,3.7776e-05,NaN,1.9479e-04,NaN
0.20,1.20,50,2156,6644,17196,0.5396,3.6495e-05,NaN,2.5117e-04,1.0900e-04
