step,P_esc
16,0.000000
32,0.000000
48,0.000000
64,0.000000
80,0.000000
96,0.000000
112,0.000000
128,0.000000
144,0.000000
160,0.000000
176,0.000000
192,0.000000
208,0.000000
224,0.000000
240,0.000000
256,0.000000
272,0.000000
288,0.000000
304,0.000000
320,0.000000
336,0.000000
352,0.000000
368,0.000000
384,0.000000
400,0.000000
416,0.000000
432,0.000000
448,0.000000
464,0.000000
480,0.000000
496,0.000000
512,0.000000
528,0.000000
544,0.000000
560,0.000000
576,0.000000
592,0.000000
608,0.000000
624,0.000000
640,0.000000
656,0.000000
672,0.000000
688,0.000000
704,0.000000
720,0.000000
736,0.000000
752,0.000000
768,0.000000
784,0.000000
800,0.000000
816,0.000000
832,0.000000
848,0.000000
864,0.000000
880,0.000000
896,0.000000
912,0.000000
928,0.000000
944,0.000000
960,0.000000
976,0.000000
992,0.000000
1008,0.000000
1024,0.000000
1040,0.000000
1056,0.000000
1072,0.000000
1088,0.000000
1104,0.000000
1120,0.000000
1136,0.000000
1152,0.000000
1168,0.000000
1184,0.000000
1200,0.000000
1216,0.000000
1232,0.000000
1248,0.000000
1264,0.000000
1280,0.000000
1296,0.000000
1312,0.000000
1328,0.000000
1344,0.000000
1360,0.000000
1376,0.000000
1392,0.000500
1408,0.000500
1424,0.000500
1440,0.000500
1456,0.000500
1472,0.000500
1488,0.001000
1504,0.001000
1520,0.001000
1536,0.001500
1552,0.001500
1568,0.001500
1584,0.001500
1600,0.001500
1616,0.001500
1632,0.001500
1648,0.002000
1664,0.002000
1680,0.002500
1696,0.002500
1712,0.002500
1728,0.002500
1744,0.002500
1760,0.002500
1776,0.002500
1792,0.002500
1808,0.002500
1824,0.002500
1840,0.002500
1856,0.002500
1872,0.002500
1888,0.002500
1904,0.002500
1920,0.002500
1936,0.002500
1952,0.002500
1968,0.002500
1984,0.002500
2000,0.002500
2016,0.002500
2032,0.002500
2048,0.002500
2064,0.002500
2080,0.002500
2096,0.002500
2112,0.002500
2128,0.002500
2144,0.002500
2160,0.002500
2176,0.002500
2192,0.002500
2208,0.002500
2224,0.002500
2240,0.002500
2256,0.002500
2272,0.002500
2288,0.002500
2304,0.002500
2320,0.002500
2336,0.002500
2352,0.002500
2368,0.002500
2384,0.002500
2400,0.002500
2416,0.002500
2432,0.002500
2448,0.002500
