alpha,T,N,M,n_dis,tau_median,P_esc_final,n_confirmed
0.18,2.00,55,20000,2000,4668.0,0.025500,51
0.20,2.00,50,20000,2000,4520.0,0.154500,309
0.22,2.00,45,20000,2000,3644.0,0.622500,1245
0.18,1.60,55,20000,2000,4968.0,0.029000,58
0.20,1.60,50,20000,2000,5058.0,0.129000,258
0.22,1.60,45,20000,2000,3864.0,0.571500,1143
0.18,1.20,55,20000,2000,6102.0,0.026000,52
0.20,1.20,50,20000,2000,4860.0,0.119500,239
0.22,1.20,45,20000,2000,3936.0,0.525500,1051
0.18,0.80,55,20000,2000,8408.0,0.029500,59
0.20,0.80,50,20000,2000,5884.0,0.138000,276
0.22,0.80,45,20000,2000,4976.0,0.544000,1088
0.18,0.70,55,20000,2000,8966.0,0.027000,54
0.20,0.70,50,20000,2000,6216.0,0.120000,240
0.22,0.70,45,20000,2000,4816.0,0.475500,951
0.18,0.60,55,20000,2000,6260.0,0.018000,36
0.20,0.60,50,20000,2000,6264.0,0.107500,215
0.22,0.60,45,20000,2000,4800.0,0.422000,844
0.18,0.50,55,20000,2000,39424.0,0.049500,99
0.20,0.50,50,20000,2000,34792.0,0.194000,388
0.22,0.50,45,20000,2000,20432.0,0.692500,1385
0.18,0.40,55,20000,2000,36992.0,0.038500,77
0.20,0.40,50,20000,2000,40800.0,0.154500,309
0.22,0.40,45,20000,2000,22248.0,0.540000,1080
0.18,0.30,55,20000,2000,96016.0,0.047000,94
0.20,0.30,50,20000,2000,66464.0,0.167500,335
0.22,0.30,45,20000,2000,47088.0,0.581000,1162
