alpha,T,checkpoint,disorder,phi_a,phi_b,q12,phi_max_other
0.270,0.400,16384,1,0.888170,0.692652,0.609550,0.000000
0.270,0.400,16384,2,0.817305,0.452229,0.362406,0.000000
0.270,0.400,16384,3,0.814521,0.811474,0.846425,0.000000
0.270,0.400,16384,4,0.792414,0.527607,0.313979,0.000000
0.270,0.400,16384,5,0.831338,0.836070,0.837720,0.000000
0.270,0.400,16384,6,0.811832,0.825029,0.629706,0.000000
0.270,0.400,16384,7,0.888627,0.609740,0.542097,0.000000
0.270,0.400,16384,8,0.826301,0.814263,0.690501,0.000000
0.270,0.400,16384,9,0.545307,0.825949,0.451237,0.000000
0.270,0.400,16384,10,0.836341,0.839659,0.835426,0.000000
0.270,0.400,16384,11,0.830841,0.827442,0.842317,0.000000
0.270,0.400,16384,12,0.829779,0.569722,0.691703,0.000000
0.270,0.400,16384,13,0.529825,0.542769,0.839247,0.000000
0.270,0.400,16384,14,0.614312,0.847758,0.676877,0.000000
0.270,0.400,16384,15,0.828224,0.440577,0.313281,0.000000
0.270,0.400,16384,16,0.591606,0.814366,0.412918,0.000000
0.270,0.400,16384,17,0.892935,0.813588,0.722113,0.000000
0.270,0.400,16384,18,0.824587,0.773507,0.811867,0.000000
0.270,0.400,16384,19,0.887992,0.893654,0.793472,0.000000
0.270,0.400,16384,20,0.544067,0.463150,0.169588,0.000000
0.270,0.400,16384,21,0.470093,0.782322,0.412326,0.000000
0.270,0.400,16384,22,0.823765,0.472093,0.591723,0.000000
0.270,0.400,16384,23,0.509269,0.816655,0.401791,0.000000
0.270,0.400,16384,24,0.882986,0.809912,0.715227,0.000000
0.270,0.400,16384,25,0.497932,0.839645,0.365411,0.000000
0.270,0.400,16384,26,0.626008,0.479497,0.368099,0.000000
0.270,0.400,16384,27,0.813526,0.824665,0.834064,0.000000
0.270,0.400,16384,28,0.572190,0.789871,0.792085,0.000000
0.270,0.400,16384,29,0.818848,0.350183,0.211516,0.000000
0.270,0.400,16384,30,0.811649,0.581561,0.740189,0.000000
0.270,0.400,16384,31,0.822440,0.820466,0.845524,0.000000
0.270,0.400,16384,32,0.496277,0.817980,0.245580,0.000000
0.270,0.400,16384,33,0.662356,0.830266,0.742732,0.000000
0.270,0.400,16384,34,0.832153,0.827769,0.783432,0.000000
