disorder,step,phi_a,phi_b,q12
1,16400,0.468699,0.793390,0.270392
1,16416,0.519295,0.798955,0.301907
1,16432,0.477728,0.774318,0.295039
1,16448,0.458879,0.745538,0.271583
1,16464,0.460587,0.779678,0.232687
1,16480,0.502045,0.790021,0.275175
1,16496,0.480593,0.815573,0.282487
1,16512,0.501147,0.769444,0.214700
1,16528,0.510159,0.746091,0.251040
1,16544,0.504963,0.745532,0.257021
1,16560,0.519496,0.781149,0.316745
1,16576,0.558047,0.771738,0.319621
1,16592,0.573517,0.775101,0.295046
1,16608,0.535062,0.813562,0.288158
1,16624,0.537284,0.831465,0.327322
1,16640,0.461414,0.825570,0.265175
1,16656,0.477280,0.811456,0.260375
1,16672,0.491302,0.809709,0.246396
1,16688,0.445908,0.784237,0.195113
1,16704,0.472266,0.775700,0.232065
1,16720,0.452784,0.769940,0.230793
1,16736,0.471867,0.766930,0.293902
1,16752,0.479043,0.770818,0.362174
1,16768,0.531026,0.765087,0.411931
1,16784,0.553309,0.769136,0.437772
1,16800,0.509430,0.775948,0.454865
1,16816,0.498579,0.793052,0.396375
1,16832,0.449340,0.765716,0.309933
1,16848,0.448219,0.761859,0.307447
1,16864,0.440353,0.761464,0.265015
1,16880,0.500335,0.777151,0.334662
1,16896,0.513059,0.770693,0.373710
1,16912,0.525341,0.739704,0.385595
1,16928,0.522140,0.790019,0.409369
1,16944,0.490429,0.822495,0.418033
1,16960,0.481207,0.811779,0.403411
1,16976,0.479519,0.805034,0.338459
1,16992,0.417502,0.809323,0.330828
1,17008,0.444421,0.816879,0.381471
1,17024,0.473625,0.799019,0.390299
1,17040,0.452146,0.813235,0.384077
1,17056,0.436396,0.811454,0.324332
1,17072,0.462898,0.803521,0.365708
1,17088,0.442576,0.816960,0.353969
1,17104,0.463874,0.812103,0.315016
1,17120,0.473898,0.775247,0.292355
1,17136,0.472786,0.755872,0.237366
1,17152,0.464676,0.747708,0.219144
1,17168,0.487708,0.777900,0.233451
1,17184,0.520595,0.748657,0.258749
1,17200,0.492134,0.775899,0.271487
1,17216,0.500799,0.774033,0.311447
1,17232,0.526953,0.786878,0.324800
1,17248,0.487680,0.780482,0.227014
1,17264,0.496850,0.780229,0.279531
1,17280,0.558051,0.808147,0.333828
1,17296,0.531840,0.808896,0.361508
1,17312,0.506742,0.820653,0.356534
1,17328,0.437665,0.813856,0.376921
1,17344,0.446086,0.810764,0.373036
1,17360,0.430452,0.800125,0.387715
1,17376,0.430777,0.806583,0.419832
1,17392,0.449393,0.774284,0.356797
1,17408,0.446828,0.768391,0.323890
1,17424,0.428615,0.774102,0.299523
1,17440,0.384438,0.768934,0.273961
1,17456,0.365370,0.770448,0.322379
1,17472,0.419254,0.766072,0.388158
1,17488,0.438811,0.794234,0.466459
1,17504,0.449895,0.779836,0.382034
1,17520,0.470171,0.771352,0.362839
1,17536,0.436782,0.776743,0.417276
1,17552,0.425312,0.800476,0.397498
1,17568,0.434250,0.816850,0.372931
1,17584,0.448012,0.820794,0.379330
1,17600,0.514064,0.796328,0.450448
1,17616,0.492313,0.801401,0.414781
1,17632,0.481906,0.773959,0.408018
1,17648,0.468025,0.772067,0.322861
1,17664,0.464685,0.768909,0.330073
1,17680,0.442567,0.773704,0.271087
1,17696,0.434568,0.773898,0.280275
1,17712,0.482751,0.741464,0.284195
1,17728,0.453226,0.752725,0.271716
1,17744,0.408295,0.771533,0.241354
1,17760,0.434171,0.786746,0.242284
1,17776,0.418767,0.758499,0.200105
1,17792,0.407398,0.758454,0.208395
1,17808,0.445984,0.748730,0.237229
1,17824,0.454678,0.735943,0.278279
1,17840,0.443629,0.735943,0.243192
1,17856,0.429549,0.774402,0.280941
1,17872,0.452770,0.765226,0.314510
1,17888,0.458978,0.737120,0.292018
1,17904,0.443369,0.752258,0.295415
1,17920,0.499988,0.771237,0.320706
1,17936,0.446540,0.780780,0.295102
1,17952,0.365750,0.768049,0.197020
1,17968,0.403849,0.763217,0.180062
1,17984,0.407185,0.788221,0.272986
1,18000,0.402058,0.824974,0.285026
1,18016,0.418124,0.807355,0.321687
1,18032,0.430873,0.796942,0.304876
1,18048,0.366546,0.786068,0.261126
1,18064,0.378116,0.785733,0.255195
1,18080,0.456734,0.821192,0.404199
1,18096,0.439195,0.826581,0.443659
1,18112,0.505011,0.815676,0.426106
1,18128,0.481575,0.825827,0.385537
1,18144,0.537320,0.810501,0.382819
1,18160,0.516525,0.795685,0.385978
1,18176,0.464817,0.789527,0.361307
1,18192,0.432691,0.817112,0.344814
1,18208,0.417594,0.832931,0.412896
1,18224,0.425766,0.833959,0.439089
1,18240,0.437438,0.828633,0.390473
1,18256,0.462589,0.818617,0.354197
1,18272,0.479803,0.787678,0.332501
1,18288,0.484823,0.773685,0.315239
1,18304,0.520104,0.787115,0.355312
1,18320,0.481995,0.752193,0.274915
1,18336,0.458262,0.736275,0.189191
1,18352,0.468919,0.697583,0.200521
1,18368,0.494435,0.718351,0.224460
1,18384,0.521071,0.718351,0.252492
1,18400,0.498072,0.743630,0.279078
1,18416,0.493466,0.759798,0.316040
1,18432,0.511001,0.748572,0.306705
1,18448,0.519300,0.777591,0.265315
1,18464,0.489669,0.790396,0.250229
1,18480,0.422903,0.775370,0.181907
1,18496,0.414592,0.748429,0.235625
