alpha,T0.0100,T0.0112,T0.0125,T0.0140,T0.0157,T0.0176,T0.0197,T0.0220,T0.0246,T0.0276,T0.0309,T0.0345,T0.0387,T0.0433,T0.0484,T0.0542,T0.0607,T0.0679,T0.0760,T0.0851,T0.0952,T0.1066,T0.1193,T0.1335,T0.1495,T0.1673,T0.1872,T0.2096,T0.2346,T0.2625,T0.2939,T0.3289,T0.3681,T0.4120,T0.4612,T0.5162,T0.5778,T0.6467,T0.7238,T0.8101,T0.9068,T1.0149,T1.1360,T1.2715,T1.4232,T1.5929,T1.7829,T1.9956,T2.2336,T2.5000
0.01,0.9166,0.9166,0.9169,0.9168,0.9173,0.9177,0.9161,0.9178,0.9169,0.9189,0.9174,0.9164,0.9159,0.9160,0.9164,0.9173,0.9161,0.9176,0.9172,0.9179,0.9180,0.9171,0.9148,0.9164,0.9176,0.9180,0.9149,0.9169,0.9119,0.9117,0.9087,0.9051,0.8998,0.8935,0.8825,0.8735,0.8650,0.8572,0.8481,0.8400,0.8320,0.8244,0.8169,0.8095,0.8024,0.7955,0.7890,0.7828,0.7768,0.7712
0.02,0.9274,0.9296,0.9291,0.9315,0.9292,0.9284,0.9287,0.9302,0.9294,0.9273,0.9289,0.9298,0.9287,0.9298,0.9276,0.9282,0.9268,0.9295,0.9282,0.9282,0.9294,0.9278,0.9295,0.9271,0.9255,0.9264,0.9251,0.9234,0.9215,0.9172,0.9127,0.9059,0.8965,0.8874,0.8791,0.8703,0.8624,0.8548,0.8466,0.8388,0.8309,0.8233,0.8160,0.8088,0.8017,0.7950,0.7886,0.7825,0.7767,0.7712
0.03,0.9335,0.9344,0.9329,0.9335,0.9331,0.9337,0.9326,0.9343,0.9341,0.9320,0.9330,0.9341,0.9331,0.9345,0.9338,0.9321,0.9332,0.9339,0.9335,0.9322,0.9326,0.9333,0.9324,0.9323,0.9305,0.9300,0.9287,0.9257,0.9234,0.9179,0.9115,0.9046,0.8951,0.8868,0.8783,0.8707,0.8624,0.8543,0.8465,0.8385,0.8310,0.8234,0.8159,0.8089,0.8019,0.7952,0.7887,0.7828,0.7770,0.7715
0.04,0.9377,0.9363,0.9364,0.9374,0.9367,0.9363,0.9374,0.9356,0.9376,0.9371,0.9375,0.9377,0.9370,0.9365,0.9359,0.9361,0.9359,0.9371,0.9356,0.9351,0.9357,0.9364,0.9364,0.9344,0.9349,0.9325,0.9310,0.9268,0.9243,0.9191,0.9118,0.9031,0.8947,0.8861,0.8779,0.8702,0.8622,0.8544,0.8465,0.8388,0.8310,0.8236,0.8162,0.8090,0.8021,0.7955,0.7892,0.7830,0.7773,0.7720
0.05,0.9394,0.9396,0.9396,0.9383,0.9394,0.9389,0.9388,0.9385,0.9386,0.9390,0.9388,0.9385,0.9401,0.9407,0.9377,0.9383,0.9391,0.9390,0.9378,0.9398,0.9391,0.9375,0.9370,0.9367,0.9346,0.9360,0.9313,0.9284,0.9246,0.9181,0.9109,0.9021,0.8940,0.8859,0.8781,0.8705,0.8624,0.8544,0.8466,0.8389,0.8312,0.8237,0.8164,0.8092,0.8024,0.7958,0.7895,0.7835,0.7778,0.7723
0.06,0.9412,0.9415,0.9411,0.9408,0.9414,0.9405,0.9409,0.9413,0.9407,0.9423,0.9406,0.9402,0.9410,0.9417,0.9411,0.9405,0.9406,0.9408,0.9395,0.9404,0.9390,0.9394,0.9396,0.9371,0.9374,0.9346,0.9325,0.9290,0.9247,0.9174,0.9101,0.9025,0.8942,0.8857,0.8781,0.8703,0.8623,0.8544,0.8468,0.8390,0.8314,0.8240,0.8167,0.8095,0.8027,0.7961,0.7898,0.7838,0.7783,0.7728
0.07,0.9425,0.9432,0.9424,0.9430,0.9416,0.9425,0.9425,0.9423,0.9433,0.9420,0.9417,0.9431,0.9429,0.9421,0.9435,0.9428,0.9422,0.9426,0.9423,0.9425,0.9409,0.9407,0.9396,0.9411,0.9380,0.9361,0.9336,0.9299,0.9245,0.9180,0.9097,0.9023,0.8938,0.8858,0.8782,0.8702,0.8626,0.8545,0.8469,0.8393,0.8316,0.8242,0.8169,0.8099,0.8030,0.7964,0.7901,0.7842,0.7785,0.7732
0.08,0.9442,0.9444,0.9436,0.9440,0.9439,0.9450,0.9438,0.9441,0.9446,0.9445,0.9445,0.9439,0.9444,0.9428,0.9428,0.9437,0.9431,0.9431,0.9435,0.9432,0.9431,0.9422,0.9418,0.9412,0.9394,0.9366,0.9341,0.9297,0.9250,0.9187,0.9096,0.9014,0.8934,0.8857,0.8784,0.8703,0.8625,0.8549,0.8471,0.8395,0.8319,0.8245,0.8172,0.8101,0.8034,0.7968,0.7906,0.7846,0.7789,0.7736
0.09,0.9457,0.9456,0.9452,0.9454,0.9463,0.9452,0.9458,0.9450,0.9458,0.9463,0.9445,0.9438,0.9452,0.9456,0.9454,0.9456,0.9446,0.9441,0.9450,0.9448,0.9442,0.9423,0.9432,0.9406,0.9409,0.9380,0.9348,0.9303,0.9236,0.9164,0.9091,0.9011,0.8939,0.8862,0.8781,0.8704,0.8628,0.8550,0.8474,0.8397,0.8321,0.8246,0.8175,0.8105,0.8038,0.7972,0.7910,0.7850,0.7794,0.7741
0.10,0.9467,0.9471,0.9464,0.9466,0.9462,0.9463,0.9468,0.9473,0.9470,0.9462,0.9461,0.9463,0.9454,0.9472,0.9465,0.9461,0.9462,0.9463,0.9450,0.9463,0.9459,0.9445,0.9435,0.9425,0.9398,0.9376,0.9346,0.9326,0.9248,0.9168,0.9095,0.9013,0.8938,0.8859,0.8785,0.8705,0.8630,0.8553,0.8475,0.8400,0.8323,0.8250,0.8178,0.8107,0.8039,0.7975,0.7913,0.7855,0.7798,0.7745
0.11,0.9470,0.9478,0.9478,0.9478,0.9476,0.9476,0.9472,0.9474,0.9481,0.9468,0.9477,0.9474,0.9480,0.9471,0.9470,0.9469,0.9463,0.9467,0.9477,0.9465,0.9461,0.9450,0.9441,0.9432,0.9402,0.9385,0.9347,0.9308,0.9246,0.9174,0.9086,0.9011,0.8938,0.8862,0.8785,0.8710,0.8630,0.8554,0.8478,0.8401,0.8326,0.8252,0.8179,0.8110,0.8043,0.7979,0.7916,0.7859,0.7802,0.7749
0.12,0.9493,0.9482,0.9486,0.9487,0.9492,0.9480,0.9481,0.9485,0.9486,0.9484,0.9484,0.9481,0.9483,0.9485,0.9486,0.9491,0.9473,0.9478,0.9470,0.9479,0.9467,0.9462,0.9454,0.9442,0.9417,0.9391,0.9357,0.9304,0.9241,0.9176,0.9091,0.9010,0.8938,0.8862,0.8788,0.8710,0.8633,0.8555,0.8479,0.8404,0.8328,0.8255,0.8182,0.8114,0.8046,0.7983,0.7920,0.7862,0.7806,0.7753
0.13,0.9499,0.9496,0.9495,0.9495,0.9496,0.9499,0.9490,0.9488,0.9489,0.9489,0.9490,0.9491,0.9497,0.9498,0.9490,0.9492,0.9487,0.9484,0.9484,0.9477,0.9474,0.9461,0.9459,0.9436,0.9422,0.9399,0.9354,0.9305,0.9248,0.9158,0.9087,0.9010,0.8938,0.8864,0.8788,0.8710,0.8636,0.8557,0.8482,0.8406,0.8331,0.8257,0.8187,0.8118,0.8050,0.7985,0.7924,0.7866,0.7809,0.7759
0.14,0.9512,0.9498,0.9504,0.9498,0.9510,0.9499,0.9509,0.9491,0.9505,0.9498,0.9505,0.9501,0.9508,0.9497,0.9494,0.9501,0.9497,0.9487,0.9485,0.9490,0.9483,0.9475,0.9462,0.9455,0.9424,0.9390,0.9359,0.9298,0.9237,0.9163,0.9084,0.9015,0.8941,0.8863,0.8790,0.8712,0.8637,0.8561,0.8485,0.8409,0.8332,0.8260,0.8189,0.8119,0.8049,0.7989,0.7928,0.7870,0.7813,0.7762
0.15,0.9513,0.9514,0.9511,0.9516,0.9507,0.9515,0.9518,0.9516,0.9515,0.9514,0.9516,0.9508,0.9514,0.9513,0.9513,0.9505,0.9508,0.9503,0.9497,0.9498,0.9491,0.9478,0.9474,0.9450,0.9434,0.9398,0.9354,0.9304,0.9236,0.9166,0.9088,0.9016,0.8941,0.8864,0.8792,0.8713,0.8638,0.8562,0.8487,0.8408,0.8335,0.8263,0.8188,0.8120,0.8057,0.7992,0.7930,0.7872,0.7816,0.7764
0.16,0.9527,0.9519,0.9518,0.9525,0.9523,0.9520,0.9526,0.9524,0.9514,0.9511,0.9517,0.9521,0.9520,0.9518,0.9511,0.9512,0.9513,0.9513,0.9512,0.9501,0.9492,0.9497,0.9476,0.9460,0.9438,0.9398,0.9366,0.9305,0.9239,0.9163,0.9086,0.9012,0.8939,0.8866,0.8793,0.8713,0.8641,0.8559,0.8488,0.8412,0.8337,0.8264,0.8184,0.8125,0.8057,0.7993,0.7932,0.7877,0.7815,0.7765
0.17,0.9527,0.9525,0.9518,0.9528,0.9524,0.9528,0.9528,0.9520,0.9528,0.9520,0.9525,0.9515,0.9515,0.9529,0.9528,0.9510,0.9525,0.9522,0.9507,0.9508,0.9508,0.9486,0.9480,0.9453,0.9442,0.9404,0.9352,0.9299,0.9229,0.9157,0.9086,0.9012,0.8941,0.8865,0.8787,0.8717,0.8638,0.8562,0.8484,0.8405,0.8333,0.8256,0.8183,0.8119,0.8052,0.7987,0.7928,0.7858,0.7814,0.7760
0.18,0.9536,0.9524,0.9532,0.9519,0.9523,0.9529,0.9538,0.9521,0.9529,0.9536,0.9519,0.9533,0.9525,0.9529,0.9523,0.9517,0.9520,0.9525,0.9525,0.9515,0.9496,0.9490,0.9482,0.9451,0.9436,0.9407,0.9351,0.9296,0.9226,0.9158,0.9082,0.9009,0.8933,0.8862,0.8788,0.8711,0.8631,0.8562,0.8472,0.8395,0.8315,0.8254,0.8158,0.8097,0.8026,0.7979,0.7920,0.7861,0.7798,0.7746
0.19,0.9535,0.9539,0.9531,0.9530,0.9533,0.9529,0.9531,0.9537,0.9530,0.9532,0.9527,0.9530,0.9532,0.9533,0.9533,0.9525,0.9531,0.9521,0.9520,0.9518,0.9511,0.9496,0.9481,0.9465,0.9431,0.9401,0.9333,0.9291,0.9219,0.9148,0.9076,0.9009,0.8928,0.8860,0.8774,0.8704,0.8619,0.8539,0.8453,0.8375,0.8297,0.8215,0.8156,0.8065,0.8009,0.7950,0.7892,0.7801,0.7735,0.7680
0.20,0.9533,0.9532,0.9539,0.9540,0.9540,0.9526,0.9537,0.9531,0.9522,0.9535,0.9534,0.9540,0.9533,0.9536,0.9529,0.9530,0.9527,0.9521,0.9526,0.9527,0.9501,0.9500,0.9497,0.9467,0.9442,0.9388,0.9343,0.9283,0.9217,0.9148,0.9073,0.9002,0.8912,0.8846,0.8768,0.8682,0.8591,0.8507,0.8425,0.8351,0.8284,0.8192,0.8157,0.8060,0.7954,0.7898,0.7824,0.7757,0.7679,0.7596
0.21,0.9539,0.9540,0.9535,0.9542,0.9541,0.9538,0.9536,0.9530,0.9536,0.9531,0.9521,0.9534,0.9525,0.9535,0.9529,0.9536,0.9532,0.9527,0.9523,0.9516,0.9511,0.9504,0.9472,0.9451,0.9425,0.9391,0.9326,0.9270,0.9201,0.9124,0.9049,0.8974,0.8889,0.8810,0.8724,0.8642,0.8533,0.8436,0.8358,0.8259,0.8224,0.8084,0.8023,0.7941,0.7846,0.7750,0.7689,0.7547,0.7456,0.7338
0.22,0.9523,0.9526,0.9528,0.9516,0.9521,0.9535,0.9531,0.9534,0.9528,0.9538,0.9527,0.9524,0.9529,0.9521,0.9524,0.9522,0.9514,0.9512,0.9512,0.9511,0.9484,0.9470,0.9457,0.9442,0.9410,0.9360,0.9305,0.9241,0.9170,0.9094,0.9005,0.8942,0.8855,0.8747,0.8622,0.8529,0.8425,0.8297,0.8205,0.8075,0.7989,0.7898,0.7777,0.7733,0.7632,0.7432,0.7369,0.7205,0.7013,0.6790
0.23,0.9504,0.9497,0.9496,0.9502,0.9498,0.9503,0.9504,0.9503,0.9493,0.9495,0.9495,0.9495,0.9499,0.9490,0.9495,0.9492,0.9488,0.9470,0.9494,0.9466,0.9463,0.9451,0.9442,0.9398,0.9369,0.9316,0.9248,0.9183,0.9096,0.9024,0.8925,0.8823,0.8714,0.8629,0.8477,0.8304,0.8152,0.8025,0.7888,0.7790,0.7620,0.7432,0.7324,0.7192,0.7011,0.6763,0.6603,0.6420,0.6121,0.5935
0.24,0.9489,0.9497,0.9481,0.9491,0.9486,0.9495,0.9473,0.9480,0.9490,0.9471,0.9475,0.9473,0.9475,0.9474,0.9458,0.9486,0.9457,0.9466,0.9456,0.9431,0.9422,0.9417,0.9398,0.9356,0.9313,0.9267,0.9215,0.9133,0.9053,0.8978,0.8852,0.8783,0.8590,0.8509,0.8358,0.8151,0.7974,0.7825,0.7655,0.7458,0.7294,0.7016,0.6828,0.6771,0.6576,0.6215,0.6051,0.5646,0.5426,0.5145
0.25,0.9400,0.9435,0.9426,0.9406,0.9432,0.9431,0.9428,0.9419,0.9401,0.9390,0.9417,0.9399,0.9385,0.9413,0.9397,0.9406,0.9375,0.9363,0.9370,0.9374,0.9332,0.9319,0.9309,0.9268,0.9235,0.9165,0.9089,0.8997,0.8908,0.8794,0.8667,0.8542,0.8377,0.8122,0.7908,0.7604,0.7365,0.7107,0.6944,0.6560,0.6356,0.6118,0.5950,0.5555,0.5295,0.4851,0.4430,0.4045,0.3673,0.3298
0.26,0.9333,0.9378,0.9348,0.9338,0.9349,0.9318,0.9329,0.9334,0.9353,0.9339,0.9336,0.9351,0.9329,0.9338,0.9330,0.9323,0.9289,0.9307,0.9303,0.9277,0.9281,0.9228,0.9202,0.9153,0.9149,0.9069,0.8992,0.8875,0.8818,0.8701,0.8538,0.8395,0.8117,0.7879,0.7542,0.7286,0.6934,0.6504,0.6265,0.5910,0.5696,0.5210,0.5043,0.4597,0.4256,0.3836,0.3402,0.2966,0.2705,0.2301
