alpha,T0.0250,T0.0750,T0.1250,T0.1750,T0.2250,T0.2750,T0.3250,T0.3750,T0.4250,T0.4750,T0.5250,T0.5750,T0.6250,T0.6750,T0.7250,T0.7750,T0.8250,T0.8750,T0.9250,T0.9750,T1.0250,T1.0750,T1.1250,T1.1750,T1.2250,T1.2750,T1.3250,T1.3750,T1.4250,T1.4750,T1.5250,T1.5750,T1.6250,T1.6750,T1.7250,T1.7750,T1.8250,T1.8750,T1.9250,T1.9750
0.01,0.9640,0.9668,0.9496,0.9347,0.9211,0.9096,0.8993,0.8901,0.8816,0.8739,0.8671,0.8607,0.8550,0.8495,0.8447,0.8402,0.8355,0.8318,0.8280,0.8243,0.8210,0.8180,0.8151,0.8120,0.8093,0.8072,0.8045,0.8021,0.8001,0.7983,0.7963,0.7950,0.7937,0.7934,0.7925,0.7938,0.7954,0.7972,0.8002,0.8039
0.02,0.9845,0.9672,0.9498,0.9346,0.9212,0.9097,0.8994,0.8900,0.8818,0.8740,0.8673,0.8609,0.8552,0.8497,0.8449,0.8404,0.8358,0.8318,0.8284,0.8248,0.8215,0.8184,0.8154,0.8125,0.8097,0.8073,0.8047,0.8027,0.8002,0.7983,0.7963,0.7942,0.7929,0.7908,0.7895,0.7881,0.7877,0.7867,0.7861,0.7868
0.03,0.9876,0.9674,0.9497,0.9347,0.9213,0.9099,0.8995,0.8903,0.8821,0.8746,0.8677,0.8611,0.8552,0.8499,0.8451,0.8405,0.8363,0.8322,0.8283,0.8248,0.8215,0.8183,0.8153,0.8128,0.8102,0.8073,0.8049,0.8029,0.8005,0.7985,0.7967,0.7948,0.7934,0.7914,0.7897,0.7883,0.7864,0.7851,0.7837,0.7834
0.04,0.9881,0.9673,0.9499,0.9346,0.9215,0.9100,0.8995,0.8905,0.8820,0.8745,0.8676,0.8613,0.8555,0.8503,0.8452,0.8407,0.8362,0.8324,0.8286,0.8250,0.8216,0.8185,0.8159,0.8127,0.8102,0.8077,0.8055,0.8032,0.8007,0.7992,0.7971,0.7949,0.7934,0.7918,0.7900,0.7884,0.7868,0.7851,0.7836,0.7833
0.05,0.9881,0.9673,0.9500,0.9348,0.9216,0.9101,0.8998,0.8907,0.8821,0.8748,0.8677,0.8616,0.8559,0.8506,0.8456,0.8406,0.8366,0.8324,0.8291,0.8255,0.8219,0.8190,0.8163,0.8130,0.8105,0.8085,0.8056,0.8034,0.8013,0.7992,0.7976,0.7956,0.7927,0.7919,0.7899,0.7881,0.7878,0.7855,0.7855,0.7830
0.06,0.9882,0.9675,0.9500,0.9348,0.9218,0.9103,0.8998,0.8908,0.8824,0.8748,0.8680,0.8621,0.8560,0.8505,0.8457,0.8412,0.8369,0.8329,0.8289,0.8255,0.8230,0.8191,0.8164,0.8135,0.8111,0.8083,0.8061,0.8039,0.8018,0.7995,0.7978,0.7963,0.7940,0.7922,0.7907,0.7897,0.7870,0.7860,0.7847,0.7833
0.07,0.9881,0.9676,0.9500,0.9349,0.9219,0.9105,0.8999,0.8909,0.8824,0.8753,0.8683,0.8621,0.8561,0.8507,0.8457,0.8413,0.8372,0.8329,0.8296,0.8258,0.8224,0.8196,0.8165,0.8135,0.8110,0.8086,0.8069,0.8042,0.8020,0.7998,0.7980,0.7964,0.7939,0.7933,0.7906,0.7887,0.7880,0.7863,0.7848,0.7833
0.08,0.9882,0.9674,0.9501,0.9350,0.9219,0.9102,0.9002,0.8908,0.8826,0.8752,0.8682,0.8618,0.8563,0.8510,0.8460,0.8417,0.8374,0.8335,0.8296,0.8263,0.8231,0.8197,0.8169,0.8140,0.8115,0.8086,0.8066,0.8044,0.8026,0.8002,0.7982,0.7964,0.7947,0.7930,0.7918,0.7897,0.7878,0.7872,0.7856,0.7836
0.09,0.9882,0.9675,0.9501,0.9349,0.9221,0.9105,0.9004,0.8910,0.8827,0.8754,0.8686,0.8620,0.8562,0.8511,0.8463,0.8418,0.8376,0.8336,0.8295,0.8265,0.8231,0.8202,0.8172,0.8143,0.8115,0.8092,0.8065,0.8043,0.8023,0.8001,0.7988,0.7964,0.7949,0.7932,0.7914,0.7900,0.7885,0.7872,0.7858,0.7839
0.10,0.9882,0.9676,0.9503,0.9352,0.9220,0.9106,0.9003,0.8913,0.8830,0.8755,0.8686,0.8623,0.8567,0.8516,0.8466,0.8420,0.8379,0.8337,0.8302,0.8268,0.8233,0.8207,0.8174,0.8146,0.8118,0.8091,0.8076,0.8051,0.8028,0.8011,0.7992,0.7978,0.7952,0.7933,0.7920,0.7903,0.7892,0.7874,0.7866,0.7841
