alpha,T0.05,T0.10,T0.15,T0.20,T0.25,T0.30,T0.35,T0.40,T0.45,T0.50,T0.55,T0.60,T0.65,T0.70,T0.75,T0.80,T0.85,T0.90,T0.95,T1.00,T1.05,T1.10,T1.15,T1.20,T1.25,T1.30,T1.35,T1.40,T1.45,T1.50,T1.55,T1.60,T1.65,T1.70,T1.75,T1.80,T1.85,T1.90,T1.95,T2.00,T2.05,T2.10,T2.15,T2.20,T2.25,T2.30,T2.35,T2.40,T2.45,T2.50
0.01,0.9987,0.9987,0.9987,0.9987,0.9982,0.9949,0.9793,0.9082,0.8267,0.7865,0.7633,0.7446,0.7264,0.7099,0.6932,0.6766,0.6614,0.6469,0.6336,0.6188,0.6049,0.5911,0.5792,0.5669,0.5534,0.5421,0.5328,0.5213,0.5112,0.4997,0.4905,0.4815,0.4720,0.4622,0.4541,0.4456,0.4365,0.4308,0.4219,0.4127,0.4069,0.3997,0.3948,0.3864,0.3798,0.3741,0.3682,0.3611,0.3568,0.3505
0.02,0.9988,0.9988,0.9988,0.9986,0.9974,0.9877,0.9172,0.8339,0.8006,0.7808,0.7625,0.7443,0.7266,0.7106,0.6934,0.6776,0.6626,0.6474,0.6331,0.6190,0.6062,0.5919,0.5794,0.5655,0.5555,0.5436,0.5309,0.5219,0.5102,0.5005,0.4894,0.4823,0.4719,0.4651,0.4548,0.4449,0.4370,0.4283,0.4216,0.4146,0.4063,0.3979,0.3861,0.3761,0.3643,0.3460,0.3152,0.3115,0.2935,0.2549
0.03,0.9987,0.9988,0.9988,0.9985,0.9953,0.9685,0.8779,0.8213,0.8014,0.7813,0.7624,0.7451,0.7267,0.7108,0.6930,0.6781,0.6613,0.6475,0.6327,0.6180,0.6051,0.5924,0.5787,0.5675,0.5539,0.5430,0.5328,0.5211,0.5102,0.4997,0.4909,0.4803,0.4670,0.4577,0.4392,0.4062,0.3752,0.3539,0.3248,0.2760,0.2125,0.1652,0.1323,0.1085,0.0719,0.0436,0.0316,0.0176,0.0102,0.0073
0.04,0.9988,0.9987,0.9988,0.9982,0.9935,0.9492,0.8580,0.8213,0.8013,0.7821,0.7636,0.7449,0.7284,0.7097,0.6943,0.6787,0.6626,0.6481,0.6336,0.6187,0.6048,0.5917,0.5789,0.5667,0.5534,0.5413,0.5277,0.5015,0.4806,0.4770,0.4323,0.3886,0.3143,0.2589,0.1990,0.1415,0.0848,0.0444,0.0274,0.0184,0.0074,0.0035,0.0006,-0.0016,0.0029,0.0017,0.0006,-0.0009,0.0032,0.0010
0.05,0.9988,0.9988,0.9988,0.9980,0.9861,0.9243,0.8474,0.8210,0.8016,0.7823,0.7637,0.7450,0.7272,0.7106,0.6934,0.6788,0.6626,0.6474,0.6335,0.6189,0.6046,0.5918,0.5744,0.5543,0.5201,0.4853,0.4707,0.4034,0.3225,0.2280,0.1597,0.0905,0.0530,0.0183,0.0116,0.0077,0.0082,0.0014,-0.0021,0.0017,0.0029,0.0001,-0.0009,0.0003,-0.0011,0.0012,0.0006,0.0008,-0.0003,0.0001
0.06,0.9988,0.9988,0.9987,0.9975,0.9805,0.9153,0.8457,0.8214,0.8014,0.7828,0.7637,0.7451,0.7270,0.7107,0.6941,0.6780,0.6638,0.6467,0.6327,0.6160,0.5975,0.5738,0.5320,0.4747,0.4092,0.3138,0.1955,0.1368,0.0551,0.0269,0.0045,0.0052,0.0017,-0.0028,0.0011,-0.0021,0.0026,-0.0020,0.0038,0.0008,0.0012,0.0001,-0.0001,-0.0000,0.0019,0.0027,-0.0014,-0.0006,-0.0003,0.0007
0.07,0.9988,0.9988,0.9988,0.9968,0.9753,0.8964,0.8427,0.8206,0.8027,0.7822,0.7642,0.7447,0.7279,0.7104,0.6954,0.6768,0.6583,0.6398,0.6253,0.5803,0.5256,0.4080,0.3629,0.2371,0.1374,0.0615,0.0308,0.0114,-0.0004,-0.0001,-0.0017,0.0028,-0.0005,-0.0005,0.0017,0.0012,0.0010,-0.0007,-0.0002,-0.0005,0.0005,0.0003,0.0003,0.0002,0.0005,-0.0008,0.0013,-0.0003,-0.0011,0.0005
0.08,0.9988,0.9988,0.9984,0.9962,0.9648,0.8868,0.8424,0.8214,0.8017,0.7825,0.7640,0.7465,0.7279,0.7119,0.6949,0.6717,0.6379,0.6050,0.5576,0.4720,0.3502,0.2096,0.0986,0.0429,0.0138,0.0040,0.0013,-0.0026,0.0040,0.0019,0.0038,0.0023,-0.0003,-0.0006,0.0017,0.0010,0.0018,0.0027,0.0019,0.0024,0.0011,0.0016,0.0024,0.0013,0.0023,0.0000,0.0019,0.0006,-0.0009,0.0025
0.09,0.9988,0.9988,0.9982,0.9961,0.9626,0.8833,0.8428,0.8202,0.8019,0.7832,0.7638,0.7455,0.7286,0.7117,0.6914,0.6586,0.6202,0.5028,0.3879,0.2569,0.1286,0.0391,0.0212,0.0105,-0.0012,0.0005,0.0002,-0.0004,-0.0007,0.0003,0.0021,0.0004,0.0021,-0.0009,0.0011,0.0017,-0.0003,-0.0003,0.0007,0.0010,0.0002,0.0003,0.0004,-0.0002,-0.0006,-0.0004,0.0005,0.0007,-0.0010,0.0008
0.10,0.9988,0.9988,0.9986,0.9948,0.9500,0.8769,0.8418,0.8227,0.8019,0.7828,0.7647,0.7471,0.7248,0.7034,0.6652,0.6013,0.4704,0.3154,0.1569,0.0647,0.0091,0.0053,0.0001,-0.0050,-0.0014,0.0019,0.0005,-0.0013,0.0005,-0.0033,-0.0004,0.0004,0.0029,0.0016,-0.0005,0.0011,0.0007,0.0000,0.0003,0.0014,-0.0010,0.0002,0.0007,0.0013,-0.0013,0.0010,0.0017,-0.0007,-0.0003,-0.0001
