alpha,T0.05,T0.10,T0.15,T0.20,T0.25,T0.30,T0.35,T0.40,T0.45,T0.50,T0.55,T0.60,T0.65,T0.70,T0.75,T0.80,T0.85,T0.90,T0.95,T1.00,T1.05,T1.10,T1.15,T1.20,T1.25,T1.30,T1.35,T1.40,T1.45,T1.50,T1.55,T1.60,T1.65,T1.70,T1.75,T1.80,T1.85,T1.90,T1.95,T2.00,T2.05,T2.10,T2.15,T2.20,T2.25,T2.30,T2.35,T2.40,T2.45,T2.50
0.01,0.9989,0.9987,0.9989,0.9988,0.9997,1.0047,1.0285,1.0500,1.0500,1.0500,1.0500,1.0500,1.0500,1.0019,0.8486,0.7610,0.7010,0.6655,0.6380,0.6226,0.6077,0.5933,0.5814,0.5649,0.5598,0.5471,0.5249,0.5181,0.5122,0.5025,0.4881,0.4849,0.4701,0.4593,0.4512,0.4463,0.4389,0.4276,0.4200,0.4194,0.4095,0.4006,0.3884,0.3882,0.3836,0.3749,0.3690,0.3629,0.3531,0.3510
0.02,0.9985,0.9988,0.9988,0.9989,0.9991,1.0021,1.0500,0.9945,0.8345,0.7875,0.7617,0.7483,0.7274,0.7112,0.6926,0.6764,0.6600,0.6503,0.6298,0.6197,0.6002,0.5902,0.5798,0.5688,0.5523,0.5434,0.5352,0.5210,0.5147,0.4970,0.4954,0.4714,0.4721,0.4613,0.4563,0.4429,0.4376,0.4300,0.4236,0.4111,0.4094,0.4084,0.3972,0.4085,0.4083,0.4212,0.4571,0.4446,0.4522,0.4947
0.03,0.9990,0.9987,0.9986,0.9992,1.0001,1.0226,1.0060,0.8807,0.8066,0.7790,0.7637,0.7451,0.7305,0.7048,0.6931,0.6714,0.6612,0.6411,0.6334,0.6169,0.6028,0.5921,0.5826,0.5620,0.5594,0.5444,0.5284,0.5201,0.5144,0.5058,0.4880,0.4825,0.4788,0.4716,0.4795,0.5143,0.5419,0.5364,0.5721,0.6109,0.6837,0.7449,0.7428,0.7047,0.6023,0.6765,0.4695,0.4535,0.4066,0.2520
0.04,0.9986,0.9988,0.9988,0.9996,1.0024,1.0316,0.9675,0.8342,0.7994,0.7811,0.7602,0.7446,0.7270,0.7123,0.6944,0.6779,0.6621,0.6447,0.6300,0.6183,0.6065,0.5913,0.5762,0.5626,0.5558,0.5516,0.5380,0.5570,0.5623,0.5421,0.5931,0.6251,0.7302,0.7720,0.8488,0.9007,0.7824,0.7680,0.7072,0.5212,0.3802,0.2931,0.2054,0.0894,0.0737,0.0636,0.0113,0.0143,-0.0040,0.0058
0.05,0.9987,0.9988,0.9987,0.9995,1.0146,1.0336,0.9350,0.8266,0.7934,0.7801,0.7618,0.7441,0.7269,0.7083,0.6945,0.6753,0.6665,0.6495,0.6347,0.6193,0.6068,0.5882,0.5878,0.5945,0.6195,0.6474,0.6433,0.7206,0.7877,0.9083,0.9211,0.9649,0.8290,0.7341,0.4940,0.3700,0.2104,0.1108,0.0814,0.0092,0.0146,-0.0055,0.0056,-0.0043,0.0105,0.0031,-0.0077,0.0025,-0.0022,-0.0041
0.06,0.9988,0.9987,0.9988,1.0004,1.0229,1.0338,0.8863,0.8201,0.8045,0.7799,0.7588,0.7440,0.7261,0.7132,0.6964,0.6798,0.6601,0.6455,0.6331,0.6218,0.6236,0.6263,0.6588,0.7279,0.7744,0.8967,1.0500,0.9192,0.8236,0.8172,0.5732,0.3499,0.2261,0.1580,0.0558,0.0243,-0.0031,0.0025,-0.0142,-0.0040,0.0012,-0.0064,-0.0006,0.0054,-0.0005,-0.0056,0.0093,0.0015,0.0013,0.0012
0.07,0.9988,0.9988,0.9987,1.0008,1.0177,1.0255,0.8700,0.8209,0.7930,0.7795,0.7616,0.7469,0.7257,0.7121,0.6881,0.6759,0.6725,0.6623,0.6484,0.6986,0.7479,0.9182,0.9468,1.0500,1.0500,1.0500,0.7282,0.6594,0.3043,0.1642,0.0609,0.0021,0.0169,0.0012,-0.0081,0.0015,0.0041,-0.0020,0.0102,-0.0034,0.0003,-0.0035,0.0018,0.0084,0.0004,-0.0024,0.0019,0.0081,0.0053,-0.0071
0.08,0.9988,0.9985,0.9996,1.0014,1.0342,1.0106,0.8654,0.8270,0.8006,0.7826,0.7640,0.7429,0.7248,0.7085,0.6935,0.6919,0.7108,0.7291,0.7739,0.8811,1.0500,1.0500,1.0500,1.0246,0.7848,0.4303,0.2522,0.0958,0.0217,-0.0040,-0.0081,-0.0082,-0.0113,0.0092,0.0076,0.0004,0.0030,-0.0102,0.0054,-0.0067,-0.0033,-0.0038,-0.0063,-0.0026,0.0004,0.0005,0.0001,-0.0113,-0.0019,-0.0054
0.09,0.9986,0.9988,1.0000,1.0007,1.0362,1.0094,0.8494,0.8204,0.8006,0.7776,0.7614,0.7448,0.7259,0.7070,0.7013,0.7184,0.7444,0.8677,1.0498,1.0500,1.0500,1.0500,0.8045,0.3908,0.2009,0.0598,0.0028,0.0263,-0.0107,-0.0007,-0.0061,0.0074,0.0045,0.0011,-0.0016,0.0049,0.0049,-0.0023,0.0030,-0.0122,0.0007,0.0023,0.0052,-0.0024,0.0022,0.0037,-0.0008,-0.0040,0.0066,-0.0009
0.10,0.9988,0.9988,0.9992,1.0024,1.0304,0.9664,0.8493,0.8195,0.8022,0.7808,0.7653,0.7419,0.7325,0.7254,0.7479,0.8236,1.0058,1.0500,1.0500,1.0500,0.9845,0.4032,0.2522,0.0526,0.0287,-0.0068,0.0006,0.0059,0.0063,0.0106,-0.0025,-0.0053,-0.0063,0.0036,0.0129,-0.0030,0.0018,-0.0074,0.0016,-0.0076,-0.0018,0.0027,-0.0005,-0.0048,-0.0019,-0.0016,-0.0010,0.0054,0.0037,-0.0020
