alpha,T0.0100,T0.0112,T0.0125,T0.0140
0.01,0.9988,0.9988,0.9988,0.9988
0.02,0.9988,0.9988,0.9988,0.9988
0.03,0.9988,0.9988,0.9988,0.9988
0.04,0.9988,0.9988,0.9988,0.9988
0.05,0.9988,0.9988,0.9988,0.9988
0.06,0.9988,0.9988,0.9988,0.9988
0.07,0.9988,0.9988,0.9988,0.9988
0.08,0.9987,0.9987,0.9987,0.9987
0.09,0.9988,0.9988,0.9988,0.9988
0.10,0.9988,0.9988,0.9988,0.9988
0.11,0.9988,0.9988,0.9988,0.9988
0.12,0.9988,0.9988,0.9988,0.9988
0.13,0.9987,0.9987,0.9987,0.9987
0.14,0.9988,0.9988,0.9988,0.9988
0.15,0.9988,0.9988,0.9988,0.9988
0.16,0.9988,0.9988,0.9988,0.9988
0.17,0.9988,0.9988,0.9988,0.9988
0.18,0.9987,0.9987,0.9987,0.9987
0.19,0.9987,0.9987,0.9987,0.9987
0.20,0.9988,0.9988,0.9988,0.9988
0.21,0.9988,0.9988,0.9988,0.9988
0.22,0.9987,0.9987,0.9987,0.9987
0.23,0.9988,0.9988,0.9988,0.9988
0.24,0.9988,0.9988,0.9988,0.9988
0.25,0.9988,0.9988,0.9988,0.9988
0.26,0.9988,0.9988,0.9988,0.9988
0.27,0.9989,0.9989,0.9989,0.9989
0.28,0.9987,0.9987,0.9987,0.9987
0.29,0.9988,0.9988,0.9988,0.9988
0.30,0.9987,0.9987,0.9987,0.9987
0.31,0.9989,0.9989,0.9989,0.9989
0.32,0.9988,0.9988,0.9988,0.9988
0.33,0.9988,0.9988,0.9988,0.9988
0.34,0.9989,0.9989,0.9989,0.9989
0.35,0.9989,0.9989,0.9989,0.9989
0.36,0.9988,0.9988,0.9988,0.9988
0.37,0.9988,0.9988,0.9988,0.9988
0.38,0.9989,0.9989,0.9989,0.9989
0.39,0.9988,0.9988,0.9988,0.9988
0.40,0.9988,0.9988,0.9988,0.9988
0.41,0.9989,0.9989,0.9989,0.9989
0.42,0.9988,0.9988,0.9988,0.9988
0.43,0.9988,0.9988,0.9988,0.9988
0.44,0.9987,0.9987,0.9987,0.9987
0.45,0.9988,0.9988,0.9988,0.9988
0.46,0.9988,0.9988,0.9988,0.9988
0.47,0.9988,0.9988,0.9988,0.9988
0.48,0.9987,0.9987,0.9987,0.9987
0.49,0.9988,0.9988,0.9988,0.9988
0.50,0.9989,0.9989,0.9989,0.9989
0.51,0.9988,0.9988,0.9988,0.9988
0.52,0.9989,0.9989,0.9989,0.9989
0.53,0.9989,0.9989,0.9989,0.9989
0.54,0.9987,0.9987,0.9987,0.9987
0.55,0.9988,0.9988,0.9988,0.9988
