alpha,T0.05,T0.10,T0.15,T0.20,T0.25,T0.30,T0.35,T0.40,T0.45,T0.50,T0.55,T0.60,T0.65,T0.70,T0.75,T0.80,T0.85,T0.90,T0.95,T1.00,T1.05,T1.10,T1.15,T1.20,T1.25,T1.30,T1.35,T1.40,T1.45,T1.50,T1.55,T1.60,T1.65,T1.70,T1.75,T1.80,T1.85,T1.90,T1.95,T2.00,T2.05,T2.10,T2.15,T2.20,T2.25,T2.30,T2.35,T2.40,T2.45,T2.50
0.01,0.9988,0.9988,0.9987,0.9985,0.9933,0.8988,0.8408,0.8200,0.8002,0.7813,0.7629,0.7447,0.7270,0.7101,0.6933,0.6769,0.6613,0.6461,0.6318,0.6180,0.6043,0.5912,0.5785,0.5662,0.5542,0.5426,0.5315,0.5207,0.5102,0.5001,0.4903,0.4808,0.4716,0.4627,0.4541,0.4457,0.4376,0.4296,0.4219,0.4145,0.4073,0.4002,0.3934,0.3868,0.3803,0.3741,0.3681,0.3622,0.3565,0.3510
0.02,0.9988,0.9988,0.9988,0.9980,0.9711,0.8035,0.7717,0.7420,0.7118,0.6913,0.6713,0.6533,0.6337,0.6134,0.5945,0.5792,0.5648,0.5503,0.5360,0.5213,0.5067,0.4934,0.4808,0.4689,0.4578,0.4477,0.4382,0.4293,0.4210,0.4126,0.4045,0.3965,0.3892,0.3816,0.3744,0.3671,0.3602,0.3536,0.3469,0.3404,0.3342,0.3282,0.3223,0.3166,0.3111,0.3057,0.3004,0.2954,0.2904,0.2855
0.03,0.9988,0.9988,0.9987,0.9974,0.7962,0.1697,0.1430,0.1240,0.1077,0.0937,0.0824,0.0749,0.0680,0.0628,0.0575,0.0533,0.0501,0.0473,0.0446,0.0420,0.0393,0.0372,0.0352,0.0335,0.0322,0.0313,0.0304,0.0294,0.0285,0.0276,0.0269,0.0261,0.0253,0.0245,0.0237,0.0229,0.0222,0.0216,0.0209,0.0204,0.0198,0.0195,0.0190,0.0186,0.0181,0.0178,0.0174,0.0169,0.0166,0.0163
0.04,0.9988,0.9988,0.9987,0.9897,0.4362,0.0690,0.0373,0.0226,0.0171,0.0139,0.0119,0.0103,0.0090,0.0076,0.0066,0.0062,0.0058,0.0055,0.0052,0.0050,0.0047,0.0044,0.0042,0.0041,0.0039,0.0037,0.0036,0.0035,0.0035,0.0033,0.0032,0.0030,0.0030,0.0028,0.0028,0.0027,0.0025,0.0024,0.0024,0.0023,0.0022,0.0022,0.0021,0.0021,0.0021,0.0020,0.0019,0.0019,0.0019,0.0019
0.05,0.9988,0.9988,0.9987,0.9687,0.1765,0.0277,0.0133,0.0096,0.0071,0.0061,0.0049,0.0041,0.0035,0.0033,0.0028,0.0026,0.0022,0.0017,0.0014,0.0012,0.0011,0.0009,0.0008,0.0008,0.0008,0.0007,0.0008,0.0008,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0008,0.0008,0.0007,0.0006,0.0006,0.0006,0.0006,0.0005,0.0005,0.0005,0.0004,0.0004,0.0005,0.0004,0.0004,0.0003
0.06,0.9988,0.9988,0.9987,0.9498,0.1381,0.0118,0.0093,0.0075,0.0060,0.0047,0.0036,0.0032,0.0027,0.0025,0.0023,0.0021,0.0019,0.0018,0.0017,0.0016,0.0016,0.0015,0.0014,0.0013,0.0013,0.0011,0.0011,0.0009,0.0009,0.0010,0.0010,0.0010,0.0009,0.0009,0.0009,0.0008,0.0008,0.0008,0.0008,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0006
0.07,0.9988,0.9988,0.9987,0.8738,0.0773,0.0123,0.0044,0.0022,0.0023,0.0021,0.0019,0.0018,0.0016,0.0013,0.0013,0.0013,0.0013,0.0014,0.0013,0.0013,0.0013,0.0012,0.0010,0.0010,0.0010,0.0010,0.0010,0.0008,0.0008,0.0008,0.0007,0.0006,0.0006,0.0007,0.0008,0.0007,0.0008,0.0008,0.0008,0.0008,0.0007,0.0007,0.0007,0.0006,0.0006,0.0006,0.0006,0.0005,0.0005,0.0005
0.08,0.9988,0.9988,0.9987,0.7942,0.0363,0.0070,0.0026,0.0013,0.0016,0.0014,0.0011,0.0010,0.0010,0.0010,0.0008,0.0008,0.0009,0.0009,0.0007,0.0006,0.0005,0.0006,0.0006,0.0005,0.0006,0.0006,0.0007,0.0007,0.0006,0.0006,0.0007,0.0008,0.0007,0.0006,0.0006,0.0006,0.0007,0.0007,0.0007,0.0007,0.0007,0.0007,0.0008,0.0008,0.0007,0.0007,0.0008,0.0007,0.0007,0.0007
0.09,0.9988,0.9988,0.9984,0.7212,0.0198,0.0013,0.0009,0.0003,-0.0005,-0.0008,-0.0004,-0.0001,0.0002,0.0001,0.0002,0.0002,0.0002,0.0002,0.0002,0.0001,0.0000,0.0001,0.0002,0.0002,0.0002,0.0002,0.0001,0.0001,0.0002,0.0002,0.0002,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0002,0.0001,0.0002,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003,0.0003
0.10,0.9988,0.9988,0.9982,0.6393,0.0153,0.0070,0.0038,0.0024,0.0014,0.0009,0.0005,0.0005,0.0009,0.0013,0.0016,0.0019,0.0021,0.0020,0.0021,0.0020,0.0020,0.0019,0.0019,0.0018,0.0017,0.0016,0.0015,0.0014,0.0014,0.0013,0.0013,0.0012,0.0012,0.0012,0.0011,0.0011,0.0011,0.0011,0.0010,0.0010,0.0010,0.0009,0.0009,0.0009,0.0009,0.0009,0.0010,0.0010,0.0009,0.0008
