alpha,T0.05,T0.10,T0.15,T0.20,T0.25,T0.30,T0.35,T0.40,T0.45,T0.50,T0.55,T0.60,T0.65,T0.70,T0.75,T0.80,T0.85,T0.90,T0.95,T1.00,T1.05,T1.10,T1.15,T1.20,T1.25,T1.30,T1.35,T1.40,T1.45,T1.50,T1.55,T1.60,T1.65,T1.70,T1.75,T1.80,T1.85,T1.90,T1.95,T2.00,T2.05,T2.10,T2.15,T2.20,T2.25,T2.30,T2.35,T2.40,T2.45,T2.50
0.01,0.9987,0.9987,0.9987,0.9988,0.9987,0.9986,0.9977,0.9946,0.9869,0.9647,0.9059,0.8187,0.7563,0.7208,0.6979,0.6792,0.6622,0.6475,0.6324,0.6176,0.6042,0.5912,0.5775,0.5662,0.5552,0.5430,0.5331,0.5209,0.5098,0.4990,0.4904,0.4800,0.4710,0.4626,0.4545,0.4454,0.4373,0.4291,0.4220,0.4150,0.4075,0.4006,0.3924,0.3869,0.3805,0.3747,0.3685,0.3620,0.3564,0.3526
0.02,0.9987,0.9988,0.9988,0.9987,0.9979,0.9924,0.9595,0.8694,0.8072,0.7826,0.7624,0.7444,0.7269,0.7095,0.6936,0.6779,0.6615,0.6469,0.6318,0.6178,0.6048,0.5914,0.5790,0.5668,0.5545,0.5440,0.5319,0.5206,0.5100,0.5003,0.4899,0.4805,0.4721,0.4627,0.4550,0.4454,0.4364,0.4299,0.4216,0.4146,0.4065,0.4012,0.3904,0.3872,0.3804,0.3722,0.3659,0.3517,0.3412,0.3355
0.03,0.9988,0.9987,0.9988,0.9986,0.9967,0.9840,0.9135,0.8310,0.8017,0.7820,0.7633,0.7442,0.7276,0.7103,0.6950,0.6777,0.6624,0.6469,0.6322,0.6181,0.6034,0.5916,0.5781,0.5674,0.5543,0.5440,0.5326,0.5210,0.5109,0.5008,0.4895,0.4809,0.4718,0.4602,0.4538,0.4436,0.4317,0.4221,0.4032,0.3848,0.3603,0.3510,0.3066,0.2734,0.2422,0.1875,0.1621,0.1150,0.0744,0.0506
0.04,0.9988,0.9988,0.9988,0.9984,0.9961,0.9728,0.8819,0.8252,0.8004,0.7814,0.7618,0.7448,0.7279,0.7100,0.6942,0.6775,0.6615,0.6461,0.6336,0.6190,0.6059,0.5912,0.5787,0.5663,0.5547,0.5435,0.5321,0.5188,0.5123,0.4976,0.4859,0.4689,0.4456,0.4250,0.4029,0.3562,0.2872,0.2425,0.1967,0.1149,0.0830,0.0622,0.0268,0.0183,0.0113,0.0027,0.0013,0.0004,0.0009,0.0015
0.05,0.9987,0.9988,0.9987,0.9984,0.9949,0.9522,0.8655,0.8215,0.8004,0.7818,0.7626,0.7444,0.7271,0.7110,0.6948,0.6775,0.6629,0.6480,0.6338,0.6186,0.6053,0.5918,0.5794,0.5664,0.5519,0.5428,0.5252,0.5068,0.4748,0.4233,0.3680,0.3122,0.2283,0.1839,0.1062,0.0516,0.0340,0.0096,0.0049,0.0031,0.0012,-0.0006,0.0010,-0.0007,0.0004,-0.0000,-0.0015,-0.0006,0.0008,0.0014
0.06,0.9988,0.9987,0.9988,0.9985,0.9921,0.9399,0.8541,0.8208,0.8019,0.7818,0.7638,0.7442,0.7267,0.7110,0.6934,0.6787,0.6625,0.6483,0.6337,0.6178,0.6058,0.5918,0.5659,0.5512,0.5318,0.4775,0.4502,0.3485,0.2690,0.1815,0.0926,0.0620,0.0204,0.0143,0.0049,0.0009,-0.0004,-0.0005,-0.0001,-0.0016,-0.0011,0.0012,0.0005,0.0001,0.0018,-0.0002,0.0006,0.0002,-0.0011,0.0005
0.07,0.9988,0.9988,0.9987,0.9974,0.9886,0.9229,0.8475,0.8215,0.8015,0.7824,0.7636,0.7454,0.7283,0.7104,0.6941,0.6788,0.6625,0.6479,0.6321,0.6193,0.5952,0.5650,0.5438,0.4876,0.4146,0.3058,0.2123,0.1301,0.0406,0.0158,0.0094,0.0052,0.0006,-0.0007,-0.0014,0.0028,0.0007,-0.0016,0.0009,0.0003,0.0015,0.0000,0.0006,0.0004,-0.0004,-0.0007,0.0002,0.0021,-0.0006,0.0003
0.08,0.9988,0.9987,0.9988,0.9975,0.9850,0.9121,0.8462,0.8216,0.8019,0.7819,0.7632,0.7446,0.7274,0.7106,0.6939,0.6762,0.6601,0.6453,0.6284,0.6029,0.5708,0.4824,0.3802,0.2534,0.1747,0.0844,0.0427,0.0079,0.0023,-0.0007,0.0023,0.0005,-0.0007,0.0030,0.0023,0.0023,0.0004,0.0010,-0.0003,0.0000,0.0001,0.0006,0.0005,0.0012,0.0002,0.0011,-0.0006,-0.0009,0.0005,0.0002
0.09,0.9988,0.9988,0.9988,0.9978,0.9797,0.9043,0.8451,0.8207,0.8014,0.7824,0.7632,0.7457,0.7287,0.7109,0.6949,0.6787,0.6627,0.6371,0.5849,0.5127,0.4105,0.2786,0.1286,0.0679,0.0147,0.0052,-0.0031,0.0002,-0.0005,-0.0012,0.0013,0.0002,0.0013,-0.0014,-0.0001,0.0030,-0.0009,0.0021,0.0001,-0.0001,-0.0003,-0.0010,-0.0006,-0.0014,-0.0009,-0.0004,-0.0003,0.0016,0.0015,0.0014
0.10,0.9988,0.9988,0.9988,0.9973,0.9738,0.9008,0.8421,0.8214,0.8020,0.7824,0.7639,0.7454,0.7275,0.7097,0.6903,0.6723,0.6273,0.5881,0.4623,0.3278,0.2040,0.0634,0.0219,0.0004,-0.0013,0.0031,-0.0005,-0.0006,0.0013,0.0015,-0.0004,0.0016,0.0011,0.0003,0.0026,-0.0005,-0.0003,-0.0007,-0.0008,-0.0007,0.0001,-0.0012,0.0000,-0.0001,-0.0002,-0.0006,0.0002,-0.0014,0.0004,-0.0014
