alpha,T0.05,T0.10,T0.15,T0.20,T0.25,T0.30,T0.35,T0.40,T0.45,T0.50,T0.55,T0.60,T0.65,T0.70,T0.75,T0.80,T0.85,T0.90,T0.95,T1.00,T1.05,T1.10,T1.15,T1.20,T1.25,T1.30,T1.35,T1.40,T1.45,T1.50,T1.55,T1.60,T1.65,T1.70,T1.75,T1.80,T1.85,T1.90,T1.95,T2.00,T2.05,T2.10,T2.15,T2.20,T2.25,T2.30,T2.35,T2.40,T2.45,T2.50
0.01,0.9987,0.9988,0.9988,0.9987,0.9983,0.9954,0.9847,0.9604,0.9161,0.8864,0.8698,0.8600,0.8534,0.8476,0.8428,0.8377,0.8338,0.8302,0.8265,0.8228,0.8193,0.8163,0.8135,0.8113,0.8085,0.8060,0.8037,0.8017,0.7993,0.7977,0.7952,0.7936,0.7915,0.7901,0.7882,0.7869,0.7854,0.7841,0.7825,0.7813,0.7802,0.7787,0.7775,0.7763,0.7754,0.7743,0.7731,0.7717,0.7708,0.7700
0.02,0.9988,0.9988,0.9987,0.9987,0.9978,0.9913,0.9658,0.9154,0.8837,0.8723,0.8642,0.8581,0.8525,0.8477,0.8429,0.8381,0.8344,0.8304,0.8269,0.8233,0.8202,0.8169,0.8143,0.8115,0.8090,0.8064,0.8040,0.8022,0.7999,0.7980,0.7957,0.7940,0.7923,0.7906,0.7891,0.7876,0.7857,0.7847,0.7832,0.7819,0.7805,0.7796,0.7784,0.7767,0.7758,0.7748,0.7737,0.7726,0.7717,0.7705
0.03,0.9988,0.9987,0.9988,0.9986,0.9970,0.9851,0.9435,0.8975,0.8788,0.8718,0.8649,0.8589,0.8531,0.8479,0.8432,0.8387,0.8348,0.8307,0.8272,0.8244,0.8207,0.8178,0.8145,0.8120,0.8094,0.8071,0.8045,0.8023,0.8005,0.7984,0.7965,0.7942,0.7927,0.7915,0.7896,0.7881,0.7865,0.7848,0.7837,0.7826,0.7810,0.7801,0.7786,0.7776,0.7766,0.7754,0.7744,0.7733,0.7725,0.7716
0.04,0.9988,0.9988,0.9988,0.9985,0.9948,0.9766,0.9265,0.8900,0.8792,0.8717,0.8650,0.8588,0.8534,0.8480,0.8436,0.8393,0.8349,0.8313,0.8275,0.8242,0.8209,0.8179,0.8151,0.8122,0.8101,0.8073,0.8049,0.8032,0.8009,0.7990,0.7969,0.7953,0.7934,0.7917,0.7902,0.7886,0.7871,0.7858,0.7845,0.7831,0.7819,0.7808,0.7791,0.7783,0.7771,0.7759,0.7750,0.7741,0.7730,0.7722
0.05,0.9988,0.9987,0.9988,0.9985,0.9931,0.9657,0.9110,0.8877,0.8797,0.8715,0.8648,0.8592,0.8539,0.8488,0.8438,0.8395,0.8357,0.8316,0.8277,0.8241,0.8215,0.8182,0.8159,0.8129,0.8105,0.8077,0.8055,0.8034,0.8014,0.7995,0.7973,0.7955,0.7937,0.7922,0.7906,0.7890,0.7876,0.7861,0.7849,0.7833,0.7821,0.7812,0.7798,0.7787,0.7778,0.7764,0.7755,0.7745,0.7737,0.7724
0.06,0.9987,0.9988,0.9988,0.9981,0.9918,0.9574,0.9042,0.8878,0.8794,0.8714,0.8649,0.8595,0.8541,0.8489,0.8443,0.8400,0.8358,0.8315,0.8279,0.8248,0.8220,0.8188,0.8159,0.8133,0.8107,0.8084,0.8062,0.8041,0.8017,0.7997,0.7978,0.7957,0.7943,0.7929,0.7912,0.7897,0.7880,0.7868,0.7852,0.7842,0.7828,0.7812,0.7802,0.7794,0.7782,0.7770,0.7759,0.7749,0.7739,0.7731
0.07,0.9987,0.9987,0.9988,0.9973,0.9887,0.9486,0.9037,0.8871,0.8793,0.8715,0.8652,0.8597,0.8543,0.8491,0.8442,0.8398,0.8358,0.8321,0.8286,0.8250,0.8220,0.8191,0.8157,0.8137,0.8107,0.8087,0.8067,0.8046,0.8023,0.8003,0.7984,0.7967,0.7952,0.7934,0.7917,0.7900,0.7884,0.7871,0.7858,0.7845,0.7830,0.7821,0.7811,0.7801,0.7788,0.7775,0.7766,0.7757,0.7747,0.7736
0.08,0.9988,0.9988,0.9987,0.9976,0.9837,0.9397,0.9010,0.8874,0.8798,0.8719,0.8658,0.8598,0.8548,0.8499,0.8447,0.8406,0.8359,0.8323,0.8292,0.8257,0.8221,0.8194,0.8166,0.8141,0.8118,0.8087,0.8066,0.8050,0.8027,0.8004,0.7990,0.7968,0.7952,0.7935,0.7920,0.7906,0.7890,0.7878,0.7865,0.7854,0.7835,0.7824,0.7813,0.7805,0.7790,0.7782,0.7770,0.7763,0.7754,0.7745
0.09,0.9988,0.9988,0.9986,0.9971,0.9840,0.9360,0.8980,0.8874,0.8798,0.8724,0.8667,0.8602,0.8546,0.8500,0.8450,0.8404,0.8366,0.8325,0.8292,0.8264,0.8226,0.8194,0.8171,0.8143,0.8118,0.8093,0.8072,0.8048,0.8032,0.8009,0.7992,0.7974,0.7954,0.7939,0.7922,0.7910,0.7893,0.7881,0.7866,0.7854,0.7845,0.7833,0.7818,0.7806,0.7796,0.7786,0.7775,0.7769,0.7756,0.7745
0.10,0.9988,0.9988,0.9988,0.9967,0.9798,0.9298,0.8982,0.8868,0.8800,0.8732,0.8664,0.8606,0.8550,0.8500,0.8452,0.8409,0.8368,0.8333,0.8296,0.8264,0.8234,0.8201,0.8173,0.8148,0.8117,0.8100,0.8077,0.8057,0.8036,0.8013,0.7997,0.7976,0.7962,0.7950,0.7932,0.7913,0.7900,0.7886,0.7872,0.7860,0.7847,0.7832,0.7824,0.7815,0.7801,0.7790,0.7783,0.7774,0.7763,0.7754
0.11,0.9988,0.9988,0.9987,0.9965,0.9750,0.9252,0.8985,0.8880,0.8802,0.8726,0.8665,0.8606,0.8550,0.8500,0.8453,0.8409,0.8371,0.8334,0.8295,0.8266,0.8236,0.8206,0.8180,0.8154,0.8127,0.8104,0.8084,0.8059,0.8041,0.8021,0.8000,0.7985,0.7966,0.7946,0.7930,0.7919,0.7906,0.7890,0.7874,0.7862,0.7849,0.7838,0.7828,0.7816,0.7805,0.7796,0.7786,0.7777,0.7770,0.7755
0.12,0.9988,0.9988,0.9986,0.9956,0.9720,0.9186,0.8968,0.8878,0.8802,0.8735,0.8665,0.8608,0.8556,0.8499,0.8463,0.8417,0.8374,0.8336,0.8304,0.8269,0.8240,0.8208,0.8183,0.8154,0.8128,0.8106,0.8086,0.8062,0.8041,0.8020,0.8003,0.7984,0.7969,0.7952,0.7939,0.7924,0.7909,0.7893,0.7884,0.7871,0.7858,0.7830,0.7833,0.7820,0.7813,0.7802,0.7792,0.7780,0.7773,0.7762
0.13,0.9988,0.9988,0.9986,0.9938,0.9661,0.9179,0.8972,0.8885,0.8807,0.8732,0.8668,0.8612,0.8553,0.8509,0.8464,0.8419,0.8378,0.8338,0.8307,0.8272,0.8242,0.8214,0.8186,0.8158,0.8136,0.8113,0.8088,0.8066,0.8037,0.8029,0.7997,0.7991,0.7974,0.7960,0.7940,0.7927,0.7916,0.7898,0.7887,0.7875,0.7861,0.7849,0.7835,0.7827,0.7815,0.7791,0.7796,0.7785,0.7779,0.7766
0.14,0.9988,0.9988,0.9986,0.9933,0.9585,0.9188,0.8969,0.8887,0.8802,0.8726,0.8670,0.8614,0.8562,0.8512,0.8464,0.8421,0.8382,0.8343,0.8309,0.8276,0.8244,0.8213,0.8186,0.8159,0.8137,0.8113,0.8087,0.8069,0.8053,0.8029,0.8014,0.7994,0.7972,0.7959,0.7947,0.7930,0.7918,0.7905,0.7891,0.7877,0.7865,0.7852,0.7842,0.7830,0.7820,0.7812,0.7802,0.7791,0.7781,0.7772
0.15,0.9988,0.9988,0.9980,0.9910,0.9601,0.9164,0.8975,0.8887,0.8804,0.8738,0.8666,0.8616,0.8562,0.8515,0.8454,0.8409,0.8375,0.8342,0.8311,0.8278,0.8247,0.8220,0.8189,0.8164,0.8130,0.8118,0.8082,0.8077,0.8048,0.8039,0.8002,0.7997,0.7982,0.7955,0.7952,0.7936,0.7922,0.7908,0.7894,0.7883,0.7869,0.7857,0.7847,0.7834,0.7825,0.7816,0.7784,0.7767,0.7783,0.7767
0.16,0.9988,0.9988,0.9985,0.9900,0.9534,0.9132,0.8979,0.8883,0.8793,0.8739,0.8663,0.8576,0.8563,0.8492,0.8454,0.8423,0.8374,0.8338,0.8316,0.8235,0.8234,0.8210,0.8192,0.8145,0.8133,0.8122,0.8097,0.8073,0.8045,0.8025,0.8009,0.7981,0.7927,0.7970,0.7952,0.7927,0.7912,0.7908,0.7897,0.7840,0.7850,0.7850,0.7811,0.7813,0.7794,0.7790,0.7794,0.7787,0.7778,0.7747
0.17,0.9988,0.9982,0.9981,0.9894,0.9464,0.9085,0.8971,0.8857,0.8789,0.8709,0.8621,0.8596,0.8551,0.8512,0.8416,0.8398,0.8361,0.8349,0.8282,0.8241,0.8242,0.8181,0.8168,0.8093,0.8085,0.8027,0.8079,0.7979,0.8042,0.7945,0.7949,0.7922,0.7913,0.7884,0.7910,0.7893,0.7799,0.7876,0.7849,0.7837,0.7794,0.7783,0.7814,0.7764,0.7736,0.7765,0.7787,0.7727,0.7737,0.7719
0.18,0.9988,0.9986,0.9979,0.9902,0.9439,0.9099,0.8962,0.8863,0.8775,0.8710,0.8624,0.8576,0.8487,0.8459,0.8420,0.8336,0.8302,0.8287,0.8266,0.8196,0.8180,0.8138,0.8109,0.8107,0.8081,0.8014,0.8017,0.8028,0.8008,0.7973,0.7906,0.7843,0.7899,0.7815,0.7871,0.7825,0.7832,0.7726,0.7716,0.7696,0.7721,0.7629,0.7682,0.7793,0.7682,0.7646,0.7696,0.7602,0.7621,0.7563
0.19,0.9980,0.9972,0.9968,0.9794,0.9390,0.9061,0.8928,0.8820,0.8753,0.8637,0.8610,0.8565,0.8454,0.8383,0.8358,0.8291,0.8304,0.8183,0.8172,0.8148,0.8106,0.8135,0.7982,0.7979,0.7944,0.7953,0.7845,0.7885,0.7856,0.7832,0.7705,0.7785,0.7744,0.7710,0.7631,0.7559,0.7632,0.7669,0.7502,0.7477,0.7495,0.7634,0.7478,0.7553,0.7487,0.7362,0.7500,0.7451,0.7346,0.7312
0.20,0.9980,0.9977,0.9968,0.9816,0.9361,0.9038,0.8895,0.8813,0.8707,0.8644,0.8563,0.8480,0.8358,0.8373,0.8249,0.8237,0.8103,0.8087,0.7939,0.8020,0.7987,0.8033,0.7894,0.7844,0.7796,0.7811,0.7679,0.7819,0.7684,0.7622,0.7625,0.7576,0.7573,0.7558,0.7521,0.7430,0.7379,0.7296,0.7243,0.7261,0.7496,0.7326,0.7276,0.7447,0.7290,0.7281,0.7201,0.7121,0.7100,0.7142
0.21,0.9978,0.9976,0.9955,0.9782,0.9289,0.9013,0.8842,0.8757,0.8671,0.8527,0.8442,0.8355,0.8278,0.8131,0.8004,0.8055,0.7914,0.7962,0.7826,0.7805,0.7689,0.7776,0.7681,0.7401,0.7388,0.7261,0.7539,0.7499,0.7385,0.7184,0.7288,0.7236,0.7260,0.7079,0.6892,0.7039,0.6825,0.6798,0.7093,0.6935,0.6839,0.6646,0.6614,0.6830,0.6590,0.6430,0.6516,0.6338,0.6232,0.6421
0.22,0.9963,0.9954,0.9922,0.9775,0.9253,0.8952,0.8830,0.8686,0.8590,0.8428,0.8245,0.8122,0.7982,0.8002,0.7918,0.7763,0.7702,0.7702,0.7561,0.7564,0.7458,0.7305,0.7401,0.7274,0.7224,0.7266,0.7090,0.6844,0.6885,0.6852,0.6776,0.6831,0.6711,0.6767,0.6810,0.6742,0.6633,0.6451,0.6373,0.6232,0.6290,0.6146,0.6093,0.6201,0.6246,0.6038,0.6104,0.5786,0.5666,0.5889
0.23,0.9923,0.9935,0.9878,0.9669,0.9125,0.8845,0.8670,0.8473,0.8294,0.8088,0.8094,0.7632,0.7577,0.7519,0.7464,0.7102,0.6934,0.6860,0.6864,0.6813,0.6724,0.6561,0.6544,0.6646,0.6262,0.6343,0.5725,0.6187,0.5746,0.5821,0.5588,0.5632,0.5348,0.5483,0.5426,0.5309,0.5118,0.4871,0.5115,0.5078,0.4604,0.4739,0.4280,0.4387,0.4209,0.4089,0.4188,0.3971,0.3754,0.3995
0.24,0.9897,0.9900,0.9852,0.9545,0.9048,0.8575,0.8409,0.8128,0.8011,0.7629,0.7537,0.7143,0.7006,0.6919,0.6724,0.6491,0.6436,0.6061,0.6009,0.5986,0.5705,0.6047,0.5406,0.5374,0.5362,0.5210,0.5231,0.4977,0.4777,0.4622,0.4288,0.4341,0.4474,0.4395,0.4261,0.3960,0.3801,0.3949,0.3512,0.3805,0.3296,0.3368,0.3259,0.3265,0.3058,0.3050,0.2928,0.2736,0.2639,0.2701
0.25,0.9895,0.9916,0.9824,0.9495,0.8960,0.8596,0.8298,0.7936,0.7638,0.7349,0.6992,0.6644,0.6594,0.6379,0.6448,0.6115,0.5846,0.5555,0.5323,0.5098,0.5030,0.5135,0.4911,0.4535,0.4446,0.4260,0.4116,0.3802,0.4048,0.3629,0.3554,0.3452,0.3578,0.3286,0.2900,0.2825,0.2715,0.2568,0.2362,0.2217,0.2296,0.2326,0.2092,0.2318,0.1776,0.1959,0.1352,0.1749,0.1848,0.1710
0.26,0.9829,0.9789,0.9707,0.9382,0.8831,0.8422,0.8031,0.7501,0.7050,0.6853,0.6248,0.6052,0.5820,0.5685,0.5067,0.4897,0.4657,0.4321,0.4525,0.3991,0.3841,0.3762,0.3529,0.3183,0.3133,0.3047,0.2931,0.2866,0.2393,0.2198,0.2290,0.2055,0.2081,0.1936,0.1567,0.1694,0.1295,0.1350,0.1481,0.1223,0.1210,0.0975,0.0951,0.0774,0.1064,0.0903,0.0706,0.0759,0.0631,0.0717
0.27,0.9748,0.9713,0.9597,0.9225,0.8660,0.8237,0.7767,0.7133,0.6539,0.6314,0.5798,0.5067,0.5068,0.4443,0.4239,0.4124,0.3372,0.3677,0.3254,0.2808,0.2536,0.2519,0.2268,0.2195,0.1813,0.1591,0.1790,0.1566,0.1234,0.1080,0.1094,0.0975,0.1027,0.0869,0.0810,0.0748,0.0630,0.0587,0.0548,0.0416,0.0539,0.0550,0.0430,0.0273,0.0300,0.0337,0.0277,0.0362,0.0204,0.0321
0.28,0.9697,0.9665,0.9523,0.9042,0.8353,0.7872,0.7409,0.6593,0.6099,0.5328,0.4890,0.4284,0.3881,0.3423,0.3018,0.2785,0.2480,0.2177,0.1653,0.1664,0.1663,0.1406,0.1278,0.1164,0.0917,0.0834,0.0778,0.0625,0.0539,0.0371,0.0249,0.0449,0.0180,0.0338,0.0243,0.0115,0.0259,0.0198,0.0232,0.0201,0.0173,0.0184,0.0030,0.0063,0.0075,-0.0003,0.0067,0.0144,-0.0027,-0.0005
0.29,0.9540,0.9441,0.9339,0.8869,0.8122,0.7585,0.7015,0.6093,0.5307,0.4766,0.4187,0.3241,0.3003,0.2535,0.2323,0.1669,0.1478,0.1109,0.1007,0.0829,0.0687,0.0588,0.0366,0.0313,0.0307,0.0343,0.0197,-0.0019,0.0233,0.0175,0.0086,0.0027,0.0041,-0.0045,0.0048,0.0041,-0.0039,-0.0047,0.0015,-0.0005,0.0026,-0.0055,0.0116,0.0007,-0.0006,-0.0030,0.0018,0.0029,0.0084,0.0056
0.30,0.9434,0.9260,0.9107,0.8699,0.7785,0.7299,0.6364,0.5397,0.4737,0.3997,0.3063,0.2321,0.1679,0.1488,0.0946,0.0824,0.0597,0.0511,0.0313,0.0286,0.0279,0.0071,0.0077,0.0202,0.0075,0.0208,0.0055,0.0014,-0.0058,0.0037,0.0018,-0.0036,0.0032,0.0010,0.0077,0.0027,-0.0050,0.0017,0.0109,-0.0029,-0.0003,-0.0027,0.0089,0.0114,-0.0013,-0.0017,-0.0026,-0.0039,-0.0014,-0.0025
0.31,0.9392,0.9284,0.9087,0.8589,0.7820,0.7010,0.6425,0.5356,0.4571,0.3510,0.3122,0.2120,0.2147,0.1462,0.1222,0.0723,0.0602,0.0590,0.0516,0.0289,0.0153,0.0101,-0.0003,0.0030,0.0051,-0.0004,0.0108,0.0031,-0.0007,-0.0025,0.0033,0.0016,-0.0051,-0.0006,-0.0039,0.0036,-0.0032,-0.0003,-0.0002,0.0017,-0.0034,-0.0021,0.0071,-0.0005,-0.0032,-0.0039,0.0062,-0.0022,-0.0010,0.0036
0.32,0.9156,0.9045,0.8804,0.8358,0.7612,0.6920,0.5737,0.5038,0.4204,0.3187,0.2423,0.1633,0.1185,0.0759,0.0468,0.0341,0.0230,0.0054,0.0019,0.0072,0.0045,0.0133,-0.0025,0.0010,0.0010,-0.0005,-0.0010,-0.0040,0.0026,-0.0055,0.0028,-0.0017,0.0045,-0.0021,-0.0043,-0.0029,-0.0003,-0.0004,-0.0003,0.0010,-0.0020,0.0058,0.0008,0.0051,0.0037,0.0032,-0.0084,0.0004,0.0052,0.0020
0.33,0.8819,0.8760,0.8466,0.7878,0.7130,0.6372,0.5299,0.4282,0.3278,0.2562,0.1765,0.1023,0.0651,0.0223,0.0264,0.0106,0.0182,-0.0002,0.0006,0.0086,0.0059,-0.0061,0.0032,0.0052,0.0078,0.0082,0.0021,-0.0008,0.0002,0.0012,-0.0024,-0.0009,-0.0018,0.0006,0.0025,0.0012,-0.0002,0.0028,-0.0005,-0.0041,0.0038,0.0037,-0.0035,0.0030,-0.0011,0.0008,0.0054,-0.0064,0.0004,-0.0016
0.34,0.8791,0.8659,0.8403,0.7668,0.7048,0.6374,0.5612,0.4365,0.3269,0.2559,0.1652,0.0994,0.0776,0.0502,0.0182,0.0113,0.0109,0.0065,-0.0020,0.0044,-0.0011,0.0011,-0.0018,-0.0012,0.0021,0.0049,0.0059,-0.0028,0.0007,-0.0053,-0.0027,-0.0033,0.0017,-0.0024,-0.0046,-0.0006,0.0043,-0.0011,0.0057,0.0047,0.0004,0.0004,0.0001,0.0003,-0.0006,0.0040,0.0015,-0.0003,0.0004,0.0015
0.35,0.8464,0.8246,0.7982,0.7378,0.6651,0.5980,0.4731,0.3723,0.3114,0.1806,0.1549,0.1012,0.0470,0.0130,0.0157,0.0085,0.0083,0.0091,-0.0040,0.0023,0.0054,-0.0008,0.0031,-0.0024,-0.0015,0.0069,0.0011,0.0011,-0.0034,0.0008,-0.0021,0.0035,0.0005,-0.0023,-0.0045,0.0028,-0.0008,0.0014,-0.0023,-0.0001,-0.0018,0.0001,-0.0041,0.0006,0.0003,0.0010,-0.0012,-0.0044,0.0051,0.0009
0.36,0.8444,0.8234,0.7989,0.7481,0.6701,0.5930,0.4970,0.3670,0.2889,0.1779,0.1284,0.0735,0.0334,0.0211,0.0027,0.0020,0.0071,0.0085,0.0051,-0.0049,0.0026,-0.0069,0.0102,0.0050,-0.0062,0.0021,-0.0032,-0.0041,0.0055,0.0022,-0.0014,0.0047,0.0025,0.0014,0.0022,0.0027,0.0023,0.0008,-0.0066,0.0012,-0.0015,-0.0034,0.0002,0.0010,0.0024,-0.0027,-0.0010,0.0020,0.0024,0.0044
0.37,0.8039,0.7872,0.7546,0.6954,0.6221,0.5483,0.4513,0.2959,0.2166,0.1355,0.0546,0.0316,0.0142,0.0013,0.0082,0.0036,-0.0000,-0.0018,-0.0002,0.0043,-0.0060,0.0007,-0.0062,0.0010,-0.0015,0.0090,0.0007,0.0000,0.0051,-0.0002,0.0044,-0.0041,0.0005,0.0020,-0.0031,-0.0017,0.0063,0.0045,0.0009,-0.0023,-0.0017,-0.0036,-0.0021,0.0014,0.0055,-0.0047,0.0056,0.0028,-0.0017,-0.0007
0.38,0.7806,0.7497,0.7116,0.6533,0.5715,0.4723,0.3651,0.2456,0.1865,0.0871,0.0381,0.0081,0.0094,-0.0027,-0.0035,0.0009,0.0005,-0.0057,-0.0096,0.0015,0.0023,0.0005,-0.0021,-0.0051,-0.0008,0.0004,0.0043,0.0029,0.0005,0.0014,0.0021,0.0043,-0.0008,-0.0015,0.0010,-0.0031,-0.0008,-0.0018,-0.0045,-0.0000,0.0041,-0.0022,0.0005,-0.0036,0.0025,-0.0035,-0.0013,-0.0039,-0.0017,-0.0038
0.39,0.7757,0.7513,0.7247,0.6582,0.5925,0.4838,0.3558,0.2597,0.1500,0.0786,0.0170,0.0185,0.0116,-0.0077,0.0067,-0.0029,0.0058,0.0051,0.0026,0.0007,-0.0010,0.0010,-0.0021,0.0028,-0.0028,0.0015,-0.0008,0.0030,0.0025,-0.0015,-0.0021,0.0006,-0.0002,0.0052,-0.0009,-0.0031,0.0014,-0.0002,0.0032,-0.0030,0.0030,-0.0012,-0.0002,-0.0003,-0.0027,0.0011,0.0007,0.0024,-0.0030,0.0028
0.40,0.7698,0.7561,0.7270,0.6387,0.5842,0.4894,0.3690,0.2387,0.1480,0.1180,0.0367,0.0110,0.0055,-0.0019,0.0005,-0.0034,0.0024,-0.0033,-0.0041,-0.0016,0.0046,0.0066,0.0046,-0.0000,-0.0029,0.0028,-0.0031,0.0009,-0.0011,0.0075,0.0020,0.0032,-0.0000,0.0031,-0.0001,0.0068,-0.0048,-0.0005,-0.0027,0.0032,0.0029,0.0021,0.0000,0.0026,0.0000,-0.0010,0.0045,0.0029,0.0008,0.0045
0.41,0.7516,0.7111,0.6739,0.5896,0.4883,0.4031,0.2500,0.1736,0.0706,0.0301,0.0121,-0.0062,-0.0052,-0.0051,-0.0042,0.0010,-0.0016,-0.0013,0.0018,-0.0039,-0.0023,0.0006,-0.0041,-0.0019,0.0012,0.0001,-0.0008,-0.0018,0.0002,-0.0006,-0.0028,-0.0020,0.0021,0.0004,-0.0026,0.0022,0.0017,0.0014,0.0006,-0.0021,-0.0011,-0.0040,-0.0009,0.0004,0.0015,-0.0025,-0.0004,-0.0020,-0.0012,-0.0010
0.42,0.7497,0.7251,0.6615,0.5948,0.5269,0.3791,0.2557,0.1533,0.0753,0.0229,0.0061,-0.0030,-0.0030,-0.0047,-0.0010,0.0011,-0.0001,0.0060,0.0036,0.0050,0.0010,-0.0026,-0.0037,0.0051,-0.0001,0.0013,0.0031,-0.0020,-0.0007,-0.0007,0.0009,-0.0023,-0.0025,-0.0002,0.0011,-0.0050,-0.0003,0.0004,0.0016,0.0007,-0.0001,0.0026,0.0008,-0.0010,0.0010,0.0021,-0.0003,0.0011,-0.0023,0.0008
0.43,0.7068,0.6653,0.5977,0.5490,0.4486,0.3168,0.1881,0.1063,0.0418,0.0108,0.0184,0.0016,-0.0057,0.0041,0.0013,0.0026,-0.0032,0.0056,0.0011,0.0005,-0.0019,0.0006,0.0109,-0.0003,0.0047,-0.0026,-0.0007,-0.0007,-0.0014,-0.0013,0.0017,-0.0009,-0.0012,-0.0021,0.0001,-0.0018,-0.0010,0.0027,-0.0016,-0.0014,0.0040,-0.0016,0.0012,-0.0002,0.0016,0.0028,-0.0027,0.0014,-0.0029,0.0014
0.44,0.6881,0.6754,0.5960,0.5253,0.4399,0.3007,0.1856,0.0813,0.0469,0.0230,0.0072,0.0109,-0.0026,0.0000,0.0032,-0.0039,0.0030,0.0006,0.0016,0.0021,0.0016,0.0035,0.0041,-0.0024,0.0041,0.0007,0.0027,-0.0016,0.0036,0.0015,0.0008,-0.0023,0.0025,0.0037,-0.0019,0.0002,0.0024,0.0008,0.0010,-0.0013,-0.0014,-0.0008,0.0007,0.0005,0.0003,0.0020,0.0038,0.0008,-0.0043,0.0020
0.45,0.6511,0.6061,0.5396,0.4868,0.3654,0.2112,0.1124,0.0366,0.0140,0.0111,0.0039,0.0042,-0.0004,0.0028,-0.0039,-0.0013,-0.0024,-0.0027,0.0031,-0.0001,0.0062,-0.0005,0.0020,-0.0007,0.0021,-0.0022,0.0016,0.0004,-0.0020,-0.0002,0.0009,-0.0009,0.0030,0.0005,0.0011,0.0004,0.0002,0.0045,0.0024,-0.0005,0.0026,0.0018,-0.0016,-0.0004,-0.0007,-0.0008,0.0017,0.0010,0.0002,-0.0021
0.46,0.6459,0.6110,0.5501,0.4558,0.3493,0.2224,0.1100,0.0439,0.0264,0.0056,0.0045,0.0002,0.0086,-0.0025,0.0012,0.0031,-0.0002,0.0035,-0.0034,0.0027,0.0001,0.0006,0.0017,0.0003,0.0011,-0.0008,0.0009,-0.0021,0.0027,-0.0025,-0.0006,0.0001,0.0037,-0.0007,0.0026,0.0004,0.0056,0.0028,-0.0053,0.0014,0.0004,-0.0014,0.0025,-0.0014,-0.0010,-0.0013,-0.0004,0.0027,-0.0003,-0.0004
0.47,0.6472,0.6008,0.5518,0.4596,0.3477,0.2353,0.1128,0.0403,0.0358,0.0117,0.0006,0.0070,0.0029,-0.0053,-0.0069,0.0018,0.0027,0.0060,-0.0037,0.0004,-0.0004,-0.0008,0.0035,0.0020,0.0026,0.0048,0.0027,-0.0037,-0.0014,-0.0001,0.0025,0.0009,-0.0010,-0.0013,0.0005,0.0006,0.0015,0.0010,0.0012,0.0012,-0.0013,0.0016,-0.0024,0.0006,0.0006,0.0020,0.0015,0.0003,0.0006,0.0031
0.48,0.5903,0.5631,0.4589,0.3666,0.2602,0.1071,0.0341,0.0023,0.0009,-0.0078,0.0134,0.0033,0.0011,0.0019,-0.0076,-0.0027,0.0050,-0.0047,0.0058,0.0033,0.0032,0.0015,-0.0006,-0.0012,0.0013,0.0037,0.0014,-0.0003,-0.0036,0.0005,0.0010,0.0018,0.0009,0.0019,-0.0013,-0.0006,-0.0010,0.0038,-0.0012,-0.0004,0.0007,0.0012,-0.0041,0.0008,0.0005,0.0014,-0.0003,0.0007,-0.0013,-0.0003
