alpha,T0.05,T0.10,T0.15,T0.20,T0.25,T0.30,T0.35,T0.40,T0.45,T0.50,T0.55,T0.60,T0.65,T0.70,T0.75,T0.80,T0.85,T0.90,T0.95,T1.00,T1.05,T1.10,T1.15,T1.20,T1.25,T1.30,T1.35,T1.40,T1.45,T1.50,T1.55,T1.60,T1.65,T1.70,T1.75,T1.80,T1.85,T1.90,T1.95,T2.00,T2.05,T2.10,T2.15,T2.20,T2.25,T2.30,T2.35,T2.40,T2.45,T2.50
0.01,0.9988,0.9988,0.9987,0.9990,0.9996,1.0040,1.0204,1.0500,1.0500,1.0500,1.0500,1.0500,1.0500,1.0500,1.0053,0.9645,0.9246,0.8955,0.8702,0.8549,0.8430,0.8323,0.8243,0.8189,0.8138,0.8079,0.8064,0.8025,0.8010,0.7984,0.7961,0.7925,0.7917,0.7914,0.7889,0.7870,0.7845,0.7823,0.7823,0.7793,0.7782,0.7771,0.7774,0.7765,0.7745,0.7724,0.7724,0.7716,0.7713,0.7690
0.02,0.9988,0.9985,0.9988,0.9988,0.9982,0.9985,1.0068,1.0039,0.9419,0.8958,0.8707,0.8616,0.8535,0.8463,0.8422,0.8373,0.8328,0.8305,0.8252,0.8236,0.8202,0.8162,0.8139,0.8098,0.8077,0.8025,0.8032,0.8000,0.7992,0.7978,0.7948,0.7921,0.7927,0.7907,0.7875,0.7861,0.7849,0.7831,0.7816,0.7799,0.7795,0.7773,0.7762,0.7750,0.7745,0.7729,0.7724,0.7717,0.7696,0.7703
0.03,0.9986,0.9990,0.9988,0.9991,0.9989,1.0038,1.0081,0.9668,0.9009,0.8755,0.8643,0.8568,0.8517,0.8465,0.8408,0.8363,0.8331,0.8299,0.8256,0.8209,0.8185,0.8148,0.8125,0.8101,0.8084,0.8056,0.8028,0.7999,0.7985,0.7971,0.7942,0.7934,0.7908,0.7886,0.7874,0.7855,0.7846,0.7836,0.7819,0.7797,0.7801,0.7771,0.7775,0.7761,0.7739,0.7727,0.7714,0.7719,0.7701,0.7686
0.04,0.9988,0.9986,0.9987,0.9989,1.0022,1.0080,1.0135,0.9293,0.8862,0.8709,0.8625,0.8577,0.8515,0.8460,0.8422,0.8367,0.8331,0.8280,0.8269,0.8226,0.8205,0.8150,0.8124,0.8106,0.8062,0.8062,0.8045,0.7998,0.7984,0.7972,0.7954,0.7923,0.7903,0.7897,0.7879,0.7852,0.7832,0.7827,0.7820,0.7805,0.7782,0.7770,0.7770,0.7749,0.7749,0.7736,0.7722,0.7716,0.7704,0.7699
0.05,0.9988,0.9988,0.9987,0.9975,1.0057,1.0229,0.9993,0.9154,0.8801,0.8711,0.8652,0.8572,0.8508,0.8475,0.8413,0.8381,0.8317,0.8302,0.8267,0.8233,0.8184,0.8159,0.8122,0.8103,0.8070,0.8045,0.8031,0.8002,0.7992,0.7970,0.7963,0.7933,0.7905,0.7889,0.7875,0.7865,0.7846,0.7839,0.7814,0.7809,0.7794,0.7770,0.7762,0.7760,0.7741,0.7731,0.7726,0.7713,0.7698,0.7696
0.06,0.9989,0.9988,0.9988,0.9996,1.0035,1.0260,0.9760,0.8966,0.8766,0.8717,0.8658,0.8551,0.8501,0.8463,0.8424,0.8367,0.8326,0.8285,0.8264,0.8223,0.8192,0.8169,0.8127,0.8094,0.8083,0.8063,0.8033,0.7997,0.7993,0.7973,0.7946,0.7932,0.7912,0.7891,0.7873,0.7860,0.7846,0.7837,0.7825,0.7801,0.7795,0.7794,0.7766,0.7744,0.7750,0.7736,0.7725,0.7708,0.7704,0.7691
0.07,0.9988,0.9990,0.9986,1.0004,1.0096,1.0196,0.9572,0.8956,0.8789,0.8710,0.8655,0.8564,0.8518,0.8468,0.8433,0.8387,0.8349,0.8282,0.8247,0.8241,0.8201,0.8163,0.8150,0.8100,0.8087,0.8042,0.8021,0.8006,0.7989,0.7979,0.7938,0.7917,0.7901,0.7890,0.7875,0.7863,0.7842,0.7836,0.7820,0.7805,0.7799,0.7780,0.7769,0.7731,0.7743,0.7733,0.7724,0.7708,0.7695,0.7694
0.08,0.9987,0.9986,0.9988,1.0001,1.0134,1.0226,0.9398,0.8874,0.8794,0.8698,0.8667,0.8583,0.8514,0.8463,0.8419,0.8376,0.8340,0.8294,0.8261,0.8223,0.8199,0.8160,0.8153,0.8113,0.8060,0.8078,0.8039,0.8010,0.7984,0.7976,0.7944,0.7930,0.7910,0.7898,0.7885,0.7861,0.7837,0.7831,0.7811,0.7807,0.7796,0.7784,0.7762,0.7766,0.7753,0.7722,0.7723,0.7701,0.7706,0.7683
0.09,0.9988,0.9986,0.9992,1.0006,1.0151,1.0101,0.9276,0.8864,0.8774,0.8700,0.8612,0.8579,0.8539,0.8458,0.8433,0.8406,0.8331,0.8308,0.8258,0.8217,0.8196,0.8166,0.8129,0.8107,0.8074,0.8054,0.8028,0.8016,0.7997,0.7975,0.7936,0.7916,0.7909,0.7894,0.7876,0.7862,0.7855,0.7827,0.7829,0.7800,0.7801,0.7774,0.7770,0.7765,0.7741,0.7734,0.7730,0.7713,0.7693,0.7708
0.10,0.9988,0.9987,0.9987,1.0002,1.0148,1.0042,0.9184,0.8909,0.8775,0.8715,0.8636,0.8577,0.8524,0.8461,0.8429,0.8358,0.8357,0.8303,0.8244,0.8209,0.8197,0.8169,0.8134,0.8106,0.8107,0.8045,0.8032,0.7997,0.7985,0.7975,0.7937,0.7934,0.7913,0.7887,0.7871,0.7881,0.7849,0.7839,0.7824,0.7807,0.7795,0.7777,0.7759,0.7753,0.7733,0.7738,0.7725,0.7702,0.7695,0.7690
