alpha,T0.0100,T0.0112,T0.0125,T0.0140,T0.0157,T0.0176,T0.0197,T0.0220,T0.0246,T0.0276,T0.0309,T0.0345,T0.0387,T0.0433,T0.0484,T0.0542,T0.0607,T0.0679,T0.0760,T0.0851,T0.0952,T0.1066,T0.1193,T0.1335,T0.1495,T0.1673,T0.1872,T0.2096,T0.2346,T0.2625,T0.2939,T0.3289,T0.3681,T0.4120,T0.4612,T0.5162,T0.5778,T0.6467,T0.7238,T0.8101,T0.9068,T1.0149,T1.1360,T1.2715,T1.4232,T1.5929,T1.7829,T1.9956,T2.2336,T2.5000
0.01,0.9987,0.9988,0.9987,0.9987,0.9987,0.9987,0.9988,0.9987,0.9988,0.9988,0.9988,0.9987,0.9987,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9987,0.9988,0.9988,0.9988,0.9987,0.9988,0.9986,0.9981,0.9966,0.9890,0.9563,0.8970,0.8835,0.8760,0.8682,0.8611,0.8529,0.8449,0.8372,0.8297,0.8217,0.8145,0.8072,0.8001,0.7936,0.7872,0.7810,0.7752,0.7699
0.02,0.9987,0.9988,0.9987,0.9988,0.9987,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9988,0.9987,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9987,0.9988,0.9987,0.9980,0.9945,0.9823,0.9325,0.8991,0.8912,0.8839,0.8766,0.8689,0.8614,0.8529,0.8446,0.8373,0.8298,0.8222,0.8149,0.8076,0.8007,0.7946,0.7878,0.7816,0.7762,0.7704
0.03,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9987,0.9987,0.9988,0.9988,0.9988,0.9988,0.9987,0.9984,0.9973,0.9919,0.9643,0.9138,0.8995,0.8919,0.8845,0.8769,0.8690,0.8610,0.8530,0.8455,0.8376,0.8301,0.8224,0.8155,0.8081,0.8013,0.7946,0.7884,0.7821,0.7763,0.7711
0.04,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9986,0.9982,0.9962,0.9817,0.9452,0.9092,0.8991,0.8918,0.8844,0.8766,0.8692,0.8614,0.8532,0.8459,0.8381,0.8306,0.8230,0.8155,0.8082,0.8019,0.7951,0.7888,0.7826,0.7769,0.7715
0.05,0.9988,0.9987,0.9988,0.9988,0.9988,0.9987,0.9987,0.9988,0.9987,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9983,0.9980,0.9939,0.9777,0.9364,0.9072,0.8991,0.8924,0.8844,0.8768,0.8688,0.8613,0.8540,0.8462,0.8379,0.8305,0.8231,0.8161,0.8087,0.8019,0.7955,0.7889,0.7831,0.7775,0.7721
0.06,0.9988,0.9988,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9986,0.9975,0.9907,0.9689,0.9283,0.9079,0.8985,0.8916,0.8844,0.8771,0.8687,0.8617,0.8541,0.8463,0.8386,0.8309,0.8236,0.8162,0.8091,0.8025,0.7960,0.7897,0.7836,0.7777,0.7725
0.07,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9984,0.9978,0.9872,0.9595,0.9241,0.9064,0.9001,0.8919,0.8843,0.8774,0.8695,0.8621,0.8543,0.8470,0.8386,0.8309,0.8239,0.8166,0.8095,0.8026,0.7963,0.7899,0.7837,0.7785,0.7732
0.08,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9986,0.9979,0.9959,0.9847,0.9508,0.9201,0.9073,0.8995,0.8923,0.8849,0.8777,0.8702,0.8619,0.8543,0.8465,0.8389,0.8312,0.8240,0.8168,0.8102,0.8029,0.7966,0.7901,0.7847,0.7788,0.7733
0.09,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9988,0.9988,0.9986,0.9977,0.9954,0.9805,0.9470,0.9167,0.9060,0.9002,0.8927,0.8852,0.8779,0.8703,0.8624,0.8550,0.8470,0.8392,0.8316,0.8248,0.8173,0.8104,0.8033,0.7970,0.7908,0.7847,0.7792,0.7739
0.10,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9986,0.9981,0.9928,0.9755,0.9407,0.9167,0.9070,0.8998,0.8933,0.8851,0.8778,0.8708,0.8621,0.8549,0.8472,0.8398,0.8323,0.8244,0.8174,0.8106,0.8038,0.7974,0.7912,0.7853,0.7797,0.7742
