alpha,T0.05,T0.10,T0.15,T0.20,T0.25,T0.30,T0.35,T0.40,T0.45,T0.50,T0.55,T0.60,T0.65,T0.70,T0.75,T0.80,T0.85,T0.90,T0.95,T1.00,T1.05,T1.10,T1.15,T1.20,T1.25,T1.30,T1.35,T1.40,T1.45,T1.50,T1.55,T1.60,T1.65,T1.70,T1.75,T1.80,T1.85,T1.90,T1.95,T2.00,T2.05,T2.10,T2.15,T2.20,T2.25,T2.30,T2.35,T2.40,T2.45,T2.50
0.01,0.9987,0.9988,0.9988,0.9988,0.9988,0.9988,0.9987,0.9982,0.9969,0.9936,0.9883,0.9813,0.9671,0.9488,0.9256,0.9040,0.8821,0.8654,0.8502,0.8402,0.8318,0.8248,0.8196,0.8156,0.8115,0.8070,0.8051,0.8023,0.8003,0.7983,0.7956,0.7930,0.7916,0.7910,0.7886,0.7871,0.7850,0.7833,0.7825,0.7803,0.7794,0.7779,0.7776,0.7764,0.7751,0.7734,0.7729,0.7717,0.7711,0.7695
0.02,0.9988,0.9987,0.9987,0.9987,0.9979,0.9939,0.9820,0.9516,0.9086,0.8830,0.8672,0.8597,0.8531,0.8469,0.8428,0.8378,0.8336,0.8306,0.8261,0.8235,0.8202,0.8165,0.8141,0.8107,0.8086,0.8045,0.8037,0.8013,0.7997,0.7981,0.7954,0.7933,0.7925,0.7909,0.7883,0.7871,0.7854,0.7841,0.7825,0.7811,0.7800,0.7786,0.7775,0.7759,0.7753,0.7739,0.7731,0.7723,0.7708,0.7705
0.03,0.9987,0.9988,0.9988,0.9988,0.9977,0.9925,0.9682,0.9259,0.8881,0.8738,0.8647,0.8582,0.8525,0.8474,0.8421,0.8378,0.8340,0.8305,0.8266,0.8229,0.8198,0.8166,0.8137,0.8112,0.8092,0.8066,0.8037,0.8012,0.7997,0.7980,0.7955,0.7938,0.7918,0.7904,0.7887,0.7870,0.7858,0.7843,0.7830,0.7814,0.7807,0.7789,0.7781,0.7771,0.7756,0.7742,0.7732,0.7728,0.7716,0.7704
0.04,0.9988,0.9987,0.9988,0.9986,0.9977,0.9887,0.9618,0.9063,0.8825,0.8716,0.8640,0.8584,0.8526,0.8470,0.8432,0.8385,0.8340,0.8299,0.8273,0.8235,0.8208,0.8167,0.8139,0.8115,0.8085,0.8069,0.8048,0.8018,0.8000,0.7984,0.7963,0.7942,0.7921,0.7910,0.7893,0.7871,0.7855,0.7846,0.7836,0.7822,0.7803,0.7792,0.7783,0.7769,0.7763,0.7750,0.7739,0.7732,0.7720,0.7714
0.05,0.9988,0.9987,0.9988,0.9980,0.9979,0.9891,0.9461,0.8995,0.8803,0.8712,0.8650,0.8583,0.8527,0.8483,0.8426,0.8389,0.8341,0.8311,0.8272,0.8236,0.8203,0.8172,0.8144,0.8118,0.8091,0.8063,0.8046,0.8023,0.8006,0.7986,0.7969,0.7947,0.7924,0.7910,0.7894,0.7881,0.7864,0.7851,0.7835,0.7824,0.7810,0.7795,0.7784,0.7777,0.7763,0.7751,0.7744,0.7732,0.7722,0.7713
0.06,0.9988,0.9988,0.9988,0.9987,0.9957,0.9838,0.9331,0.8910,0.8782,0.8714,0.8653,0.8578,0.8524,0.8478,0.8437,0.8385,0.8347,0.8301,0.8272,0.8238,0.8210,0.8184,0.8146,0.8117,0.8096,0.8077,0.8052,0.8024,0.8008,0.7989,0.7966,0.7946,0.7931,0.7914,0.7897,0.7884,0.7867,0.7857,0.7842,0.7827,0.7815,0.7806,0.7787,0.7774,0.7771,0.7757,0.7746,0.7732,0.7725,0.7716
0.07,0.9987,0.9988,0.9987,0.9984,0.9964,0.9755,0.9248,0.8910,0.8794,0.8711,0.8654,0.8584,0.8533,0.8483,0.8439,0.8393,0.8355,0.8305,0.8270,0.8248,0.8215,0.8180,0.8154,0.8123,0.8099,0.8068,0.8049,0.8031,0.8010,0.7995,0.7966,0.7947,0.7933,0.7917,0.7901,0.7886,0.7866,0.7858,0.7843,0.7829,0.7816,0.7805,0.7796,0.7774,0.7770,0.7758,0.7750,0.7739,0.7727,0.7720
0.08,0.9988,0.9987,0.9987,0.9985,0.9944,0.9707,0.9173,0.8876,0.8799,0.8711,0.8664,0.8592,0.8535,0.8488,0.8437,0.8395,0.8351,0.8312,0.8281,0.8245,0.8213,0.8180,0.8162,0.8132,0.8094,0.8085,0.8056,0.8035,0.8010,0.7994,0.7973,0.7953,0.7936,0.7920,0.7907,0.7890,0.7869,0.7860,0.7845,0.7838,0.7819,0.7809,0.7794,0.7792,0.7776,0.7759,0.7751,0.7739,0.7737,0.7720
0.09,0.9988,0.9987,0.9988,0.9985,0.9958,0.9642,0.9090,0.8870,0.8789,0.8712,0.8647,0.8593,0.8544,0.8485,0.8445,0.8404,0.8353,0.8319,0.8279,0.8247,0.8215,0.8184,0.8155,0.8129,0.8101,0.8077,0.8055,0.8037,0.8020,0.7997,0.7971,0.7951,0.7937,0.7923,0.7905,0.7893,0.7879,0.7860,0.7853,0.7834,0.7830,0.7811,0.7800,0.7791,0.7775,0.7766,0.7758,0.7748,0.7731,0.7731
0.10,0.9988,0.9988,0.9988,0.9979,0.9935,0.9572,0.9063,0.8887,0.8790,0.8728,0.8653,0.8595,0.8541,0.8485,0.8445,0.8386,0.8367,0.8322,0.8276,0.8243,0.8221,0.8188,0.8159,0.8132,0.8114,0.8079,0.8060,0.8035,0.8018,0.7999,0.7973,0.7959,0.7944,0.7927,0.7909,0.7902,0.7882,0.7869,0.7855,0.7840,0.7828,0.7811,0.7799,0.7792,0.7774,0.7771,0.7762,0.7747,0.7737,0.7730
