T,phi_observed,phi_theory,phi_analytical,difference
0.025,0.9477,0.9875773655572,0.9875781219484807,-0.039877365557200006
0.075,0.9462,0.9631962451693938,0.9632028779812717,-0.016996245169393798
0.125,0.9393,0.9394332917402812,0.9394512213675874,-0.00013329174028120505
0.175,0.9251,0.9162866685512928,0.9163208256456926,0.008813331448707218
0.225,0.9034,0.8937534114247856,0.8938082281289366,0.009646588575214388
0.275,0.8756,0.8718294545174184,0.871908861661121,0.0037705454825816
0.325,0.851,0.8505096658182028,0.8506170958976066,0.0004903341817972251
0.375,0.8306,0.8297878916304627,0.8299262872562316,0.0008121083695372677
0.425,0.81,0.809657009147411,0.8098288365296168,0.0003429908525890424
0.475,0.7911,0.7901089860931948,0.7903162530335857,0.000991013906805227
0.525,0.7723,0.7711349462987738,0.7713792240876107,0.0011650537012262152
0.575,0.7534,0.7527252400167928,0.753007688582838,0.0006747599832072071
0.625,0.7366,0.7348695177516761,0.7351909133900132,0.0017304822483239501
0.675,0.7186,0.7175568063888275,0.7179175713905847,0.0010431936111725548
0.725,0.7024,0.7007755864469334,0.7011758199752403,0.0016244135530666393
0.775,0.6861,0.6845138693455407,0.6849533789400823,0.001586130654459339
0.825,0.6706,0.6687592736713144,0.6692376068159968,0.0018407263286855935
0.875,0.6553,0.6534990995350687,0.6540155747858112,0.0018009004649313098
0.925,0.6404,0.6387204002322106,0.6392741374710155,0.0016795997677894192
0.975,0.6254,0.6244100505462893,0.625,0.0009899494537106701
1.025,0.6117,0.6105548111639298,0.6111797808984551,0.0011451888360701767
1.075,0.5986,0.5971413887953114,0.597800070465954,0.001458611204688598
1.125,0.5861,0.5841564917139546,0.5848474844178637,0.0019435082860453923
1.175,0.573,0.5715868805402018,0.5723087126763621,0.0014131194597981622
1.225,0.5597,0.5594194141924114,0.5601705632870639,0.00028058580758860696
1.275,0.5487,0.5476410910173685,0.5484200015178089,0.0010589089826315012
1.325,0.5357,0.5362390851861083,0.5370441842633392,-0.0005390851861083457
1.375,0.5216,0.5252007785032865,0.526030489934225,-0.0036007785032865502
1.425,0.4986,0.514513787827822,0.5153665440511034,-0.01591378782782199
1.475,0.4734,0.5041659883405446,0.5050402407970536,-0.030765988340544614
1.525,0.423,0.4941455329220196,0.49503976080281453,-0.07114553292201964
1.575,0.3706,0.48444086792174706,0.48535358545278096,-0.11384086792174708
1.625,0.2743,0.4750407456097687,0.475970508005519,-0.20074074560976873
1.675,0.1867,0.4659342336045953,0.46687964182211916,-0.2792342336045953
1.725,0.0902,0.45711072156850285,0.4580704259902233,-0.36691072156850285
1.775,0.0443,0.44855992545375006,0.44953262862205423,-0.40425992545375006
1.825,0.0123,0.4402718895721611,0.4412563480922259,-0.42797188957216115
1.875,0.0047,0.43223698674675287,0.4332320124663318,-0.4275369867467529
1.925,0.0008,0.4244459167884062,0.42545037735504077,-0.4236459167884062
1.975,0.0006,0.4168897035237273,0.417902522411284,-0.4162897035237273
