alpha,T0.0100,T0.0112,T0.0125,T0.0140,T0.0157,T0.0176,T0.0197,T0.0220,T0.0246,T0.0276,T0.0309,T0.0345,T0.0387,T0.0433,T0.0484,T0.0542,T0.0607,T0.0679,T0.0760,T0.0851,T0.0952,T0.1066,T0.1193,T0.1335,T0.1495,T0.1673,T0.1872,T0.2096,T0.2346,T0.2625,T0.2939,T0.3289,T0.3681,T0.4120,T0.4612,T0.5162,T0.5778,T0.6467,T0.7238,T0.8101,T0.9068,T1.0149,T1.1360,T1.2715,T1.4232,T1.5929,T1.7829,T1.9956,T2.2336,T2.5000
0.01,0.8939,0.9023,0.9131,0.8857,0.9004,0.8920,0.8864,0.9079,0.8894,0.8761,0.8934,0.9011,0.8747,0.8872,0.8722,0.9041,0.9045,0.8885,0.8942,0.8954,0.8799,0.8880,0.8875,0.8738,0.8916,0.8790,0.8881,0.9028,0.8867,0.8759,0.8979,0.8657,0.8817,0.8696,0.8677,0.8578,0.8283,0.8427,0.7558,0.7245,0.6622,0.6274,0.5850,0.5475,0.5138,0.4798,0.4487,0.4180,0.3796,0.3477
0.02,0.9254,0.9210,0.9133,0.9098,0.9204,0.9265,0.9166,0.9192,0.9207,0.9200,0.9162,0.9155,0.9287,0.9204,0.9130,0.9150,0.9163,0.9164,0.9164,0.9242,0.9155,0.9235,0.9211,0.9245,0.9200,0.9177,0.9068,0.9134,0.9068,0.9042,0.8772,0.8734,0.8523,0.8294,0.8019,0.7783,0.7538,0.7266,0.7013,0.6746,0.6452,0.6105,0.5855,0.5510,0.5183,0.4840,0.4569,0.4217,0.3840,0.3548
0.03,0.9221,0.9258,0.9318,0.9285,0.9305,0.9250,0.9281,0.9161,0.9311,0.9177,0.9275,0.9228,0.9273,0.9229,0.9182,0.9278,0.9178,0.9209,0.9315,0.9220,0.9300,0.9343,0.9271,0.9296,0.9241,0.9291,0.9238,0.9096,0.9100,0.9103,0.8829,0.8804,0.8401,0.8178,0.7990,0.7733,0.7555,0.7293,0.7006,0.6670,0.6445,0.6168,0.5862,0.5517,0.5180,0.4825,0.4506,0.4004,0.3537,0.2452
0.04,0.9350,0.9277,0.9362,0.9325,0.9270,0.9298,0.9328,0.9332,0.9359,0.9318,0.9290,0.9275,0.9314,0.9345,0.9303,0.9325,0.9311,0.9365,0.9210,0.9239,0.9222,0.9310,0.9206,0.9230,0.9272,0.9210,0.9138,0.9121,0.8990,0.8929,0.8957,0.8553,0.8397,0.8136,0.8021,0.7754,0.7563,0.7270,0.6994,0.6761,0.6499,0.6152,0.5756,0.5541,0.5099,0.4906,0.4374,0.2923,0.0930,-0.0037
0.05,0.9301,0.9291,0.9393,0.9293,0.9280,0.9337,0.9283,0.9363,0.9405,0.9343,0.9396,0.9287,0.9381,0.9266,0.9420,0.9377,0.9333,0.9355,0.9348,0.9401,0.9374,0.9317,0.9325,0.9389,0.9321,0.9284,0.9116,0.9139,0.8994,0.8914,0.8781,0.8567,0.8336,0.8170,0.7965,0.7740,0.7519,0.7313,0.6989,0.6760,0.6472,0.6156,0.5830,0.5513,0.5170,0.4773,0.2303,0.0298,0.0053,0.0148
0.06,0.9401,0.9392,0.9335,0.9344,0.9441,0.9362,0.9362,0.9378,0.9412,0.9304,0.9293,0.9402,0.9406,0.9395,0.9329,0.9374,0.9380,0.9413,0.9351,0.9332,0.9309,0.9290,0.9342,0.9391,0.9292,0.9272,0.9220,0.9124,0.8999,0.8906,0.8744,0.8565,0.8318,0.8204,0.7933,0.7756,0.7564,0.7281,0.6986,0.6793,0.6513,0.6221,0.5856,0.5348,0.4511,0.1970,0.0173,-0.0009,-0.0025,-0.0021
0.07,0.9365,0.9406,0.9424,0.9347,0.9350,0.9392,0.9429,0.9361,0.9347,0.9323,0.9335,0.9424,0.9373,0.9380,0.9359,0.9400,0.9412,0.9379,0.9394,0.9335,0.9439,0.9324,0.9331,0.9362,0.9370,0.9380,0.9236,0.9136,0.9062,0.8871,0.8756,0.8492,0.8299,0.8106,0.7944,0.7721,0.7529,0.7341,0.7045,0.6829,0.6458,0.6130,0.5731,0.4912,0.1722,0.0348,-0.0085,0.0002,0.0037,-0.0031
0.08,0.9407,0.9426,0.9433,0.9412,0.9473,0.9395,0.9393,0.9381,0.9410,0.9383,0.9382,0.9383,0.9411,0.9427,0.9459,0.9416,0.9304,0.9292,0.9388,0.9422,0.9389,0.9415,0.9344,0.9338,0.9307,0.9370,0.9299,0.9181,0.9058,0.8892,0.8659,0.8475,0.8326,0.8214,0.7988,0.7757,0.7475,0.7267,0.7056,0.6723,0.6450,0.6139,0.5494,0.3337,0.0173,0.0107,0.0007,0.0043,-0.0049,-0.0043
0.09,0.9443,0.9413,0.9510,0.9425,0.9384,0.9434,0.9385,0.9479,0.9447,0.9355,0.9377,0.9476,0.9383,0.9437,0.9368,0.9463,0.9411,0.9432,0.9410,0.9386,0.9362,0.9396,0.9371,0.9334,0.9369,0.9294,0.9216,0.9156,0.8968,0.8941,0.8857,0.8514,0.8404,0.8169,0.7999,0.7788,0.7494,0.7321,0.7034,0.6738,0.6291,0.5419,0.3653,0.1276,-0.0001,0.0074,0.0006,0.0031,0.0052,0.0053
0.10,0.9458,0.9426,0.9397,0.9389,0.9390,0.9408,0.9352,0.9424,0.9450,0.9517,0.9419,0.9411,0.9524,0.9389,0.9407,0.9380,0.9351,0.9437,0.9431,0.9477,0.9456,0.9443,0.9333,0.9325,0.9337,0.9252,0.9306,0.9085,0.9050,0.8800,0.8639,0.8478,0.8347,0.8193,0.7948,0.7745,0.7525,0.7241,0.6978,0.6829,0.6105,0.4161,0.0899,0.0179,-0.0051,-0.0074,0.0023,0.0043,-0.0001,0.0030
