alpha,T0.0100,T0.0112,T0.0125,T0.0140,T0.0157,T0.0176,T0.0197,T0.0220,T0.0246,T0.0276,T0.0309,T0.0345,T0.0387,T0.0433,T0.0484,T0.0542,T0.0607,T0.0679,T0.0760,T0.0851,T0.0952,T0.1066,T0.1193,T0.1335,T0.1495,T0.1673,T0.1872,T0.2096,T0.2346,T0.2625,T0.2939,T0.3289,T0.3681,T0.4120,T0.4612,T0.5162,T0.5778,T0.6467,T0.7238,T0.8101,T0.9068,T1.0149,T1.1360,T1.2715,T1.4232,T1.5929,T1.7829,T1.9956,T2.2336,T2.5000
0.01,0.8936,0.9030,0.9131,0.8857,0.9008,0.8926,0.8864,0.9077,0.8897,0.8751,0.8935,0.9019,0.8742,0.8876,0.8723,0.9039,0.9043,0.8885,0.8941,0.8965,0.8798,0.8878,0.8888,0.8745,0.8924,0.8816,0.8910,0.9049,0.8885,0.8803,0.9015,0.8750,0.8921,0.8843,0.8882,0.8886,0.8780,0.9029,0.8640,0.8692,0.8519,0.8385,0.8271,0.8181,0.8056,0.7947,0.7887,0.7815,0.7754,0.7703
0.02,0.9148,0.9211,0.9254,0.9223,0.9259,0.9238,0.9170,0.9152,0.9186,0.9269,0.9188,0.9143,0.9196,0.9137,0.9226,0.9272,0.9168,0.9195,0.9158,0.9295,0.9163,0.9182,0.9158,0.9248,0.9208,0.9170,0.9162,0.9096,0.9110,0.9125,0.9115,0.9033,0.9070,0.8954,0.8854,0.8747,0.8627,0.8534,0.8448,0.8373,0.8282,0.8203,0.8138,0.8071,0.7998,0.7947,0.7874,0.7815,0.7745,0.7701
0.03,0.9219,0.9185,0.9285,0.9286,0.9351,0.9279,0.9217,0.9382,0.9161,0.9164,0.9275,0.9302,0.9250,0.9188,0.9273,0.9190,0.9252,0.9222,0.9287,0.9272,0.9249,0.9282,0.9207,0.9201,0.9291,0.9232,0.9213,0.9250,0.9236,0.9277,0.9119,0.9004,0.9009,0.8922,0.8797,0.8720,0.8580,0.8538,0.8444,0.8370,0.8307,0.8216,0.8163,0.8088,0.8007,0.7945,0.7882,0.7818,0.7757,0.7706
0.04,0.9264,0.9200,0.9338,0.9225,0.9312,0.9361,0.9278,0.9255,0.9353,0.9334,0.9306,0.9326,0.9300,0.9273,0.9356,0.9301,0.9363,0.9234,0.9341,0.9270,0.9325,0.9330,0.9333,0.9302,0.9326,0.9186,0.9189,0.9202,0.9280,0.9258,0.9194,0.9048,0.8987,0.8872,0.8784,0.8690,0.8588,0.8550,0.8461,0.8367,0.8296,0.8233,0.8162,0.8075,0.8004,0.7941,0.7881,0.7835,0.7768,0.7691
0.05,0.9330,0.9355,0.9323,0.9377,0.9402,0.9370,0.9301,0.9382,0.9391,0.9306,0.9294,0.9341,0.9357,0.9276,0.9341,0.9342,0.9349,0.9313,0.9396,0.9262,0.9344,0.9447,0.9291,0.9329,0.9293,0.9251,0.9330,0.9286,0.9298,0.9178,0.9088,0.9087,0.9019,0.8888,0.8776,0.8693,0.8588,0.8535,0.8461,0.8371,0.8311,0.8234,0.8138,0.8076,0.8000,0.7938,0.7900,0.7829,0.7766,0.7726
0.06,0.9343,0.9418,0.9334,0.9367,0.9395,0.9422,0.9378,0.9406,0.9362,0.9305,0.9315,0.9409,0.9375,0.9384,0.9373,0.9362,0.9360,0.9368,0.9369,0.9346,0.9346,0.9360,0.9377,0.9359,0.9347,0.9338,0.9311,0.9308,0.9165,0.9171,0.9109,0.9061,0.8932,0.8826,0.8770,0.8710,0.8606,0.8528,0.8467,0.8401,0.8293,0.8216,0.8154,0.8100,0.8026,0.7953,0.7882,0.7834,0.7780,0.7727
0.07,0.9420,0.9375,0.9340,0.9348,0.9349,0.9337,0.9313,0.9317,0.9295,0.9341,0.9377,0.9420,0.9362,0.9457,0.9367,0.9381,0.9345,0.9333,0.9359,0.9413,0.9382,0.9373,0.9324,0.9331,0.9363,0.9288,0.9342,0.9268,0.9347,0.9221,0.9125,0.9050,0.8990,0.8838,0.8759,0.8669,0.8628,0.8531,0.8485,0.8402,0.8314,0.8202,0.8171,0.8082,0.8020,0.7964,0.7895,0.7830,0.7780,0.7722
0.08,0.9423,0.9388,0.9404,0.9450,0.9369,0.9421,0.9312,0.9432,0.9419,0.9412,0.9405,0.9407,0.9412,0.9376,0.9456,0.9434,0.9363,0.9405,0.9375,0.9365,0.9446,0.9380,0.9424,0.9381,0.9306,0.9352,0.9356,0.9389,0.9240,0.9189,0.9168,0.9029,0.8926,0.8835,0.8765,0.8692,0.8630,0.8558,0.8452,0.8396,0.8311,0.8270,0.8166,0.8095,0.8022,0.7972,0.7890,0.7829,0.7790,0.7716
0.09,0.9380,0.9429,0.9476,0.9349,0.9381,0.9437,0.9389,0.9392,0.9440,0.9424,0.9433,0.9459,0.9413,0.9433,0.9367,0.9428,0.9475,0.9416,0.9418,0.9421,0.9429,0.9438,0.9375,0.9438,0.9409,0.9345,0.9312,0.9332,0.9230,0.9183,0.9140,0.9103,0.8936,0.8834,0.8775,0.8722,0.8624,0.8552,0.8475,0.8385,0.8299,0.8250,0.8164,0.8111,0.8026,0.7962,0.7897,0.7831,0.7775,0.7725
0.10,0.9455,0.9468,0.9458,0.9420,0.9446,0.9437,0.9445,0.9410,0.9456,0.9338,0.9496,0.9404,0.9448,0.9417,0.9403,0.9421,0.9461,0.9405,0.9483,0.9438,0.9438,0.9406,0.9402,0.9415,0.9447,0.9429,0.9326,0.9365,0.9263,0.9208,0.9124,0.9036,0.8943,0.8861,0.8807,0.8686,0.8645,0.8552,0.8468,0.8376,0.8313,0.8230,0.8160,0.8131,0.8046,0.7981,0.7900,0.7841,0.7788,0.7719
0.11,0.9406,0.9376,0.9411,0.9403,0.9443,0.9451,0.9424,0.9432,0.9504,0.9506,0.9522,0.9400,0.9449,0.9426,0.9387,0.9477,0.9476,0.9471,0.9420,0.9440,0.9430,0.9415,0.9438,0.9354,0.9367,0.9390,0.9391,0.9383,0.9270,0.9217,0.9098,0.9076,0.8922,0.8871,0.8765,0.8707,0.8605,0.8550,0.8476,0.8409,0.8274,0.8253,0.8174,0.8107,0.8049,0.7957,0.7920,0.7830,0.7794,0.7737
0.12,0.9446,0.9438,0.9411,0.9428,0.9482,0.9394,0.9481,0.9449,0.9410,0.9443,0.9479,0.9431,0.9466,0.9479,0.9464,0.9462,0.9508,0.9420,0.9506,0.9499,0.9488,0.9458,0.9396,0.9441,0.9416,0.9349,0.9343,0.9299,0.9321,0.9154,0.9109,0.8971,0.8921,0.8839,0.8771,0.8711,0.8634,0.8544,0.8449,0.8404,0.8317,0.8229,0.8176,0.8107,0.8038,0.7967,0.7922,0.7869,0.7794,0.7737
0.13,0.9479,0.9445,0.9433,0.9461,0.9478,0.9418,0.9440,0.9429,0.9456,0.9443,0.9475,0.9484,0.9454,0.9480,0.9449,0.9470,0.9425,0.9473,0.9500,0.9489,0.9434,0.9405,0.9494,0.9416,0.9369,0.9456,0.9391,0.9304,0.9249,0.9164,0.9096,0.9047,0.8938,0.8859,0.8797,0.8685,0.8634,0.8506,0.8486,0.8407,0.8308,0.8234,0.8178,0.8117,0.8033,0.7966,0.7900,0.7861,0.7801,0.7747
0.14,0.9452,0.9493,0.9428,0.9520,0.9461,0.9448,0.9461,0.9449,0.9499,0.9450,0.9474,0.9416,0.9435,0.9448,0.9541,0.9490,0.9446,0.9437,0.9415,0.9437,0.9428,0.9443,0.9473,0.9450,0.9462,0.9359,0.9357,0.9286,0.9250,0.9209,0.9097,0.9011,0.8966,0.8866,0.8775,0.8699,0.8615,0.8550,0.8464,0.8408,0.8323,0.8257,0.8192,0.8094,0.8043,0.7966,0.7904,0.7850,0.7796,0.7738
