alpha,T0.0250,T0.0750,T0.1250,T0.1750,T0.2250,T0.2750,T0.3250,T0.3750,T0.4250,T0.4750,T0.5250,T0.5750,T0.6250,T0.6750,T0.7250,T0.7750,T0.8250,T0.8750,T0.9250,T0.9750,T1.0250,T1.0750,T1.1250,T1.1750,T1.2250,T1.2750,T1.3250,T1.3750,T1.4250,T1.4750,T1.5250,T1.5750,T1.6250,T1.6750,T1.7250,T1.7750,T1.8250,T1.8750,T1.9250,T1.9750
0.01,0.8817,0.8977,0.8856,0.8727,0.8717,0.8903,0.8778,0.8888,0.8665,0.8570,0.8658,0.8295,0.8094,0.7985,0.7738,0.7183,0.7071,0.7068,0.6670,0.6395,0.6206,0.6051,0.5873,0.5737,0.5629,0.5503,0.5379,0.5311,0.5178,0.5067,0.4920,0.4840,0.4773,0.4700,0.4595,0.4530,0.4463,0.4305,0.4196,0.4132
0.02,0.9236,0.9190,0.9176,0.9070,0.9168,0.9069,0.8729,0.8552,0.8204,0.8000,0.7750,0.7515,0.7313,0.7197,0.7003,0.6868,0.6695,0.6556,0.6391,0.6242,0.6111,0.5936,0.5827,0.5728,0.5579,0.5455,0.5439,0.5283,0.5192,0.5048,0.4913,0.4865,0.4736,0.4725,0.4674,0.4522,0.4429,0.4366,0.4250,0.4127
0.03,0.9268,0.9239,0.9192,0.9226,0.9084,0.8881,0.8620,0.8479,0.8095,0.7918,0.7706,0.7560,0.7329,0.7158,0.7064,0.6835,0.6691,0.6502,0.6426,0.6272,0.6102,0.6001,0.5861,0.5773,0.5551,0.5473,0.5326,0.5316,0.5203,0.5040,0.4995,0.4821,0.4679,0.4593,0.4574,0.4522,0.4483,0.4304,0.4227,0.4056
0.04,0.9430,0.9311,0.9220,0.9279,0.9172,0.8957,0.8602,0.8299,0.8130,0.7914,0.7710,0.7535,0.7360,0.7159,0.7005,0.6894,0.6645,0.6490,0.6459,0.6244,0.6157,0.6022,0.5814,0.5763,0.5538,0.5499,0.5321,0.5284,0.5149,0.5136,0.4969,0.4905,0.4708,0.4754,0.4503,0.4164,0.4026,0.3805,0.3476,0.3684
0.05,0.9379,0.9325,0.9270,0.9215,0.9209,0.8861,0.8540,0.8337,0.8077,0.7899,0.7727,0.7554,0.7384,0.7140,0.7057,0.6933,0.6710,0.6577,0.6402,0.6266,0.6125,0.5972,0.5821,0.5748,0.5619,0.5458,0.5351,0.5213,0.5212,0.5097,0.4784,0.4514,0.4010,0.3453,0.3232,0.3317,0.1790,0.1819,0.0482,0.0312
0.06,0.9376,0.9331,0.9346,0.9264,0.9190,0.8923,0.8547,0.8290,0.8120,0.7888,0.7691,0.7528,0.7354,0.7192,0.7015,0.6848,0.6682,0.6566,0.6419,0.6267,0.6171,0.6022,0.5812,0.5776,0.5463,0.5354,0.5262,0.5142,0.4510,0.3573,0.3752,0.2645,0.2138,0.0737,0.0453,0.0164,0.0284,0.0179,-0.0087,0.0070
0.07,0.9369,0.9368,0.9428,0.9266,0.9027,0.8810,0.8544,0.8286,0.8085,0.7903,0.7766,0.7462,0.7370,0.7193,0.7043,0.6858,0.6710,0.6511,0.6427,0.6313,0.6117,0.6070,0.5855,0.5432,0.5202,0.4677,0.4217,0.2677,0.1622,0.1216,0.1019,0.0832,0.0054,0.0063,0.0024,0.0023,-0.0036,-0.0016,-0.0030,0.0123
0.08,0.9439,0.9470,0.9323,0.9182,0.9060,0.8883,0.8591,0.8348,0.8101,0.7911,0.7718,0.7544,0.7334,0.7221,0.6989,0.6844,0.6677,0.6594,0.6415,0.6204,0.5949,0.6006,0.5530,0.5134,0.3223,0.2465,0.1365,0.0459,0.0335,0.0300,0.0003,0.0049,0.0142,-0.0006,-0.0066,-0.0129,0.0153,-0.0031,-0.0099,-0.0040
0.09,0.9399,0.9456,0.9427,0.9338,0.9040,0.8711,0.8565,0.8271,0.8163,0.7899,0.7704,0.7543,0.7410,0.7187,0.7039,0.6839,0.6766,0.6573,0.5787,0.5910,0.5328,0.3965,0.3294,0.2430,0.2014,0.1224,0.0289,-0.0021,0.0062,0.0047,0.0077,-0.0010,-0.0177,-0.0186,0.0065,-0.0004,-0.0034,-0.0130,0.0006,-0.0026
0.10,0.9392,0.9567,0.9332,0.9362,0.8961,0.8806,0.8499,0.8282,0.8059,0.7940,0.7715,0.7560,0.7316,0.7198,0.7024,0.6864,0.6468,0.6534,0.5921,0.5205,0.4149,0.2269,0.2074,0.0973,0.0348,0.0155,-0.0009,-0.0120,0.0067,-0.0111,0.0147,-0.0004,-0.0010,0.0021,-0.0095,0.0021,0.0051,0.0070,0.0032,-0.0033
