alpha,T0.0250,T0.0750,T0.1250,T0.1750,T0.2250,T0.2750,T0.3250,T0.3750,T0.4250,T0.4750,T0.5250,T0.5750,T0.6250,T0.6750,T0.7250,T0.7750,T0.8250,T0.8750,T0.9250,T0.9750,T1.0250,T1.0750,T1.1250,T1.1750,T1.2250,T1.2750,T1.3250,T1.3750,T1.4250,T1.4750,T1.5250,T1.5750,T1.6250,T1.6750,T1.7250,T1.7750,T1.8250,T1.8750,T1.9250,T1.9750
0.01,0.8879,0.8806,0.8941,0.8845,0.8906,0.8822,0.9023,0.8885,0.9063,0.9062,0.8673,0.8797,0.8876,0.8895,0.8748,0.8694,0.8765,0.8538,0.8619,0.8381,0.8385,0.8314,0.8256,0.8234,0.8205,0.8180,0.8134,0.8087,0.8070,0.8003,0.7994,0.7954,0.7950,0.7927,0.7892,0.7881,0.7874,0.7862,0.7837,0.7826
0.02,0.9279,0.9148,0.9190,0.9159,0.9136,0.9095,0.9073,0.8890,0.8836,0.8787,0.8692,0.8652,0.8558,0.8480,0.8445,0.8407,0.8367,0.8311,0.8277,0.8235,0.8223,0.8163,0.8157,0.8115,0.8101,0.8080,0.8050,0.8015,0.8013,0.7980,0.7962,0.7935,0.7927,0.7908,0.7892,0.7880,0.7872,0.7845,0.7832,0.7813
0.03,0.9281,0.9307,0.9307,0.9277,0.9202,0.9177,0.9118,0.8920,0.8857,0.8795,0.8666,0.8638,0.8560,0.8487,0.8435,0.8418,0.8359,0.8303,0.8281,0.8252,0.8208,0.8184,0.8173,0.8131,0.8103,0.8062,0.8048,0.8045,0.8001,0.7982,0.7963,0.7944,0.7932,0.7916,0.7903,0.7879,0.7866,0.7854,0.7836,0.7825
0.04,0.9289,0.9310,0.9396,0.9327,0.9212,0.9114,0.9176,0.8986,0.8891,0.8762,0.8689,0.8624,0.8581,0.8500,0.8440,0.8397,0.8358,0.8333,0.8278,0.8264,0.8216,0.8171,0.8159,0.8108,0.8107,0.8087,0.8054,0.8037,0.8009,0.7978,0.7970,0.7966,0.7922,0.7913,0.7880,0.7884,0.7868,0.7850,0.7844,0.7828
0.05,0.9437,0.9302,0.9283,0.9365,0.9329,0.9191,0.9036,0.8911,0.8813,0.8772,0.8684,0.8625,0.8585,0.8498,0.8450,0.8409,0.8361,0.8326,0.8281,0.8257,0.8237,0.8171,0.8135,0.8138,0.8097,0.8082,0.8049,0.8032,0.8011,0.7973,0.7961,0.7964,0.7919,0.7909,0.7902,0.7889,0.7867,0.7855,0.7851,0.7829
0.06,0.9329,0.9293,0.9353,0.9370,0.9274,0.9227,0.9064,0.8958,0.8810,0.8755,0.8666,0.8635,0.8566,0.8511,0.8454,0.8395,0.8369,0.8324,0.8277,0.8244,0.8237,0.8170,0.8168,0.8142,0.8130,0.8055,0.8043,0.8043,0.8009,0.7997,0.7983,0.7977,0.7944,0.7936,0.7905,0.7897,0.7866,0.7874,0.7843,0.7864
0.07,0.9356,0.9416,0.9338,0.9322,0.9253,0.9221,0.9087,0.8953,0.8835,0.8751,0.8718,0.8622,0.8567,0.8520,0.8436,0.8414,0.8351,0.8335,0.8296,0.8261,0.8212,0.8183,0.8167,0.8132,0.8102,0.8079,0.8067,0.8042,0.8034,0.8005,0.7977,0.7965,0.7952,0.7931,0.7904,0.7903,0.7885,0.7858,0.7853,0.7843
0.08,0.9406,0.9394,0.9425,0.9348,0.9277,0.9160,0.9081,0.8967,0.8823,0.8765,0.8712,0.8624,0.8578,0.8525,0.8413,0.8403,0.8393,0.8352,0.8298,0.8281,0.8226,0.8199,0.8140,0.8153,0.8121,0.8093,0.8076,0.8034,0.8007,0.8015,0.7994,0.7972,0.7951,0.7937,0.7928,0.7893,0.7872,0.7860,0.7865,0.7836
0.09,0.9428,0.9433,0.9384,0.9431,0.9277,0.9171,0.9116,0.8943,0.8820,0.8745,0.8659,0.8613,0.8570,0.8522,0.8489,0.8421,0.8406,0.8328,0.8296,0.8275,0.8250,0.8204,0.8152,0.8146,0.8120,0.8086,0.8080,0.8030,0.8044,0.7996,0.7990,0.7981,0.7946,0.7919,0.7915,0.7891,0.7884,0.7868,0.7859,0.7834
0.10,0.9456,0.9390,0.9400,0.9372,0.9287,0.9107,0.8988,0.8886,0.8842,0.8736,0.8685,0.8611,0.8590,0.8516,0.8464,0.8414,0.8389,0.8360,0.8308,0.8266,0.8241,0.8209,0.8179,0.8151,0.8108,0.8091,0.8065,0.8050,0.8032,0.8011,0.7985,0.7971,0.7960,0.7932,0.7917,0.7891,0.7891,0.7871,0.7867,0.7857
