alpha,T0.0100,T0.0112,T0.0125,T0.0140,T0.0157,T0.0176,T0.0197,T0.0220,T0.0246,T0.0276,T0.0309,T0.0345,T0.0387,T0.0433,T0.0484,T0.0542,T0.0607,T0.0679,T0.0760,T0.0851,T0.0952,T0.1066,T0.1193,T0.1335,T0.1495,T0.1673,T0.1872,T0.2096,T0.2346,T0.2625,T0.2939,T0.3289,T0.3681,T0.4120,T0.4612,T0.5162,T0.5778,T0.6467,T0.7238,T0.8101,T0.9068,T1.0149,T1.1360,T1.2715,T1.4232,T1.5929,T1.7829,T1.9956,T2.2336,T2.5000
0.01,0.8945,0.8964,0.8931,0.8958,0.8914,0.8977,0.8948,0.8951,0.8948,0.8962,0.8935,0.8981,0.8925,0.8922,0.8932,0.8959,0.8948,0.8958,0.8904,0.8932,0.8966,0.8916,0.8941,0.8931,0.8950,0.8932,0.8922,0.8951,0.8902,0.8939,0.8882,0.8809,0.8785,0.8741,0.8566,0.8443,0.8195,0.7885,0.7485,0.7126,0.6774,0.6418,0.6087,0.5727,0.5374,0.5028,0.4681,0.4337,0.4009,0.3683
0.02,0.9220,0.9228,0.9243,0.9245,0.9220,0.9222,0.9231,0.9249,0.9230,0.9244,0.9242,0.9260,0.9233,0.9222,0.9256,0.9224,0.9215,0.9220,0.9239,0.9204,0.9211,0.9204,0.9194,0.9193,0.9176,0.9155,0.9136,0.9108,0.9028,0.8907,0.8818,0.8662,0.8476,0.8268,0.8053,0.7843,0.7610,0.7371,0.7107,0.6827,0.6531,0.6229,0.5908,0.5586,0.5248,0.4913,0.4583,0.4249,0.3922,0.3584
0.03,0.9288,0.9312,0.9299,0.9300,0.9278,0.9278,0.9286,0.9274,0.9301,0.9272,0.9293,0.9274,0.9283,0.9289,0.9263,0.9282,0.9288,0.9292,0.9266,0.9272,0.9268,0.9279,0.9303,0.9242,0.9238,0.9189,0.9191,0.9096,0.9020,0.8911,0.8785,0.8598,0.8436,0.8236,0.8029,0.7823,0.7581,0.7342,0.7075,0.6798,0.6507,0.6201,0.5881,0.5555,0.5225,0.4885,0.4545,0.4161,0.3307,0.1499
0.04,0.9345,0.9335,0.9355,0.9320,0.9302,0.9331,0.9339,0.9328,0.9327,0.9317,0.9315,0.9319,0.9310,0.9315,0.9346,0.9330,0.9323,0.9334,0.9323,0.9308,0.9309,0.9316,0.9306,0.9263,0.9260,0.9220,0.9175,0.9131,0.9034,0.8922,0.8747,0.8594,0.8403,0.8211,0.8012,0.7802,0.7569,0.7325,0.7067,0.6785,0.6497,0.6190,0.5874,0.5547,0.5212,0.4854,0.4183,0.2412,0.0823,0.0383
0.05,0.9367,0.9351,0.9341,0.9347,0.9370,0.9353,0.9342,0.9363,0.9355,0.9344,0.9380,0.9358,0.9340,0.9357,0.9335,0.9333,0.9366,0.9332,0.9342,0.9326,0.9339,0.9313,0.9284,0.9296,0.9272,0.9229,0.9179,0.9117,0.9018,0.8907,0.8745,0.8570,0.8390,0.8198,0.8006,0.7793,0.7562,0.7319,0.7064,0.6784,0.6485,0.6181,0.5864,0.5539,0.5131,0.4081,0.1846,0.0647,0.0303,0.0200
0.06,0.9367,0.9382,0.9382,0.9372,0.9373,0.9369,0.9381,0.9390,0.9374,0.9364,0.9367,0.9386,0.9385,0.9383,0.9377,0.9383,0.9367,0.9356,0.9358,0.9355,0.9348,0.9341,0.9332,0.9318,0.9285,0.9256,0.9190,0.9112,0.9025,0.8871,0.8726,0.8556,0.8373,0.8192,0.7998,0.7786,0.7559,0.7311,0.7051,0.6777,0.6485,0.6175,0.5859,0.5447,0.4283,0.1746,0.0614,0.0301,0.0181,0.0128
0.07,0.9395,0.9390,0.9404,0.9401,0.9411,0.9398,0.9392,0.9376,0.9392,0.9394,0.9385,0.9396,0.9398,0.9384,0.9380,0.9383,0.9388,0.9379,0.9395,0.9380,0.9378,0.9359,0.9352,0.9328,0.9297,0.9264,0.9167,0.9092,0.9000,0.8877,0.8725,0.8554,0.8376,0.8197,0.7998,0.7783,0.7553,0.7315,0.7051,0.6772,0.6484,0.6173,0.5787,0.4484,0.1953,0.0603,0.0298,0.0189,0.0135,0.0100
0.08,0.9405,0.9403,0.9402,0.9406,0.9412,0.9389,0.9421,0.9410,0.9410,0.9406,0.9396,0.9406,0.9396,0.9409,0.9417,0.9414,0.9408,0.9411,0.9384,0.9399,0.9393,0.9383,0.9353,0.9327,0.9314,0.9242,0.9225,0.9112,0.9025,0.8873,0.8699,0.8543,0.8365,0.8189,0.7990,0.7779,0.7554,0.7315,0.7047,0.6772,0.6480,0.6043,0.5103,0.2572,0.0780,0.0310,0.0185,0.0135,0.0099,0.0076
0.09,0.9429,0.9423,0.9405,0.9415,0.9424,0.9418,0.9422,0.9429,0.9420,0.9416,0.9405,0.9420,0.9422,0.9432,0.9446,0.9411,0.9422,0.9419,0.9420,0.9404,0.9428,0.9380,0.9356,0.9350,0.9327,0.9263,0.9196,0.9085,0.8988,0.8872,0.8704,0.8534,0.8367,0.8181,0.7994,0.7779,0.7553,0.7313,0.7050,0.6771,0.6454,0.5612,0.3191,0.1037,0.0370,0.0211,0.0135,0.0102,0.0082,0.0070
0.10,0.9435,0.9434,0.9430,0.9435,0.9435,0.9429,0.9436,0.9447,0.9439,0.9428,0.9434,0.9432,0.9436,0.9432,0.9427,0.9417,0.9425,0.9431,0.9432,0.9410,0.9408,0.9390,0.9380,0.9355,0.9311,0.9266,0.9208,0.9086,0.8995,0.8841,0.8692,0.8529,0.8368,0.8187,0.7989,0.7780,0.7552,0.7310,0.7044,0.6740,0.6163,0.4034,0.1406,0.0485,0.0234,0.0143,0.0105,0.0086,0.0066,0.0060
