alpha,T0.0250,T0.0750,T0.1250,T0.1750,T0.2250,T0.2750,T0.3250,T0.3750,T0.4250,T0.4750,T0.5250,T0.5750,T0.6250,T0.6750,T0.7250,T0.7750,T0.8250,T0.8750,T0.9250,T0.9750,T1.0250,T1.0750,T1.1250,T1.1750,T1.2250,T1.2750,T1.3250,T1.3750,T1.4250,T1.4750,T1.5250,T1.5750,T1.6250,T1.6750,T1.7250,T1.7750,T1.8250,T1.8750,T1.9250,T1.9750
0.01,0.9550,0.9617,0.9395,0.9165,0.8941,0.8719,0.8502,0.8302,0.8101,0.7902,0.7718,0.7537,0.7353,0.7180,0.7012,0.6854,0.6694,0.6537,0.6395,0.6257,0.6110,0.5983,0.5847,0.5721,0.5605,0.5486,0.5374,0.5261,0.5152,0.5051,0.4952,0.4854,0.4767,0.4662,0.4578,0.4498,0.4416,0.4341,0.4258,0.4182
0.02,0.9813,0.9632,0.9395,0.9164,0.8940,0.8722,0.8510,0.8299,0.8107,0.7900,0.7714,0.7527,0.7352,0.7185,0.7017,0.6851,0.6689,0.6545,0.6388,0.6253,0.6114,0.5978,0.5848,0.5727,0.5606,0.5488,0.5373,0.5258,0.5153,0.5058,0.4936,0.4851,0.4759,0.4675,0.4588,0.4505,0.4427,0.4334,0.4258,0.4174
0.03,0.9866,0.9635,0.9395,0.9165,0.8940,0.8726,0.8512,0.8306,0.8105,0.7909,0.7718,0.7542,0.7357,0.7180,0.7013,0.6857,0.6701,0.6539,0.6395,0.6252,0.6126,0.5979,0.5850,0.5725,0.5610,0.5492,0.5379,0.5261,0.5161,0.5039,0.4966,0.4871,0.4767,0.4670,0.4586,0.4479,0.4374,0.4292,0.4109,0.3879
0.04,0.9874,0.9634,0.9396,0.9166,0.8942,0.8722,0.8516,0.8301,0.8107,0.7905,0.7722,0.7539,0.7357,0.7182,0.7018,0.6852,0.6702,0.6549,0.6399,0.6256,0.6121,0.5977,0.5852,0.5730,0.5606,0.5489,0.5383,0.5275,0.5150,0.5069,0.4928,0.4768,0.4519,0.4256,0.3767,0.3063,0.2241,0.1397,0.0574,0.0250
0.05,0.9876,0.9635,0.9397,0.9168,0.8944,0.8727,0.8514,0.8305,0.8106,0.7907,0.7722,0.7536,0.7359,0.7196,0.7028,0.6854,0.6700,0.6543,0.6393,0.6266,0.6117,0.5982,0.5842,0.5720,0.5610,0.5497,0.5309,0.5196,0.4866,0.4403,0.3698,0.2685,0.1895,0.0803,0.0225,0.0020,-0.0002,-0.0001,0.0003,-0.0008
0.06,0.9877,0.9634,0.9398,0.9170,0.8942,0.8726,0.8511,0.8308,0.8102,0.7911,0.7720,0.7537,0.7362,0.7185,0.7023,0.6855,0.6702,0.6544,0.6407,0.6253,0.6122,0.5992,0.5859,0.5696,0.5498,0.5167,0.4581,0.3627,0.2402,0.1022,0.0421,0.0096,0.0029,-0.0005,-0.0022,-0.0002,-0.0011,0.0000,0.0006,-0.0008
0.07,0.9876,0.9634,0.9399,0.9167,0.8944,0.8726,0.8513,0.8313,0.8111,0.7916,0.7728,0.7545,0.7363,0.7193,0.7019,0.6855,0.6704,0.6554,0.6410,0.6254,0.6120,0.5894,0.5606,0.5115,0.4265,0.2795,0.1540,0.0421,0.0066,0.0011,-0.0033,0.0006,-0.0013,0.0002,0.0008,-0.0001,0.0006,0.0009,0.0008,0.0003
0.08,0.9877,0.9634,0.9401,0.9167,0.8946,0.8728,0.8518,0.8309,0.8107,0.7913,0.7722,0.7545,0.7361,0.7193,0.7022,0.6861,0.6703,0.6542,0.6406,0.6196,0.5822,0.5258,0.4182,0.2533,0.1222,0.0232,0.0012,-0.0023,-0.0028,0.0010,-0.0009,0.0012,0.0003,0.0004,0.0005,-0.0003,-0.0005,-0.0003,0.0008,0.0005
0.09,0.9876,0.9633,0.9400,0.9169,0.8945,0.8726,0.8517,0.8317,0.8109,0.7914,0.7723,0.7545,0.7361,0.7188,0.7024,0.6866,0.6694,0.6508,0.6112,0.5667,0.4503,0.2695,0.0966,0.0211,-0.0004,-0.0006,0.0020,0.0027,0.0006,0.0022,-0.0001,0.0010,-0.0006,0.0005,-0.0003,-0.0001,0.0007,-0.0002,0.0002,0.0003
0.10,0.9877,0.9637,0.9399,0.9169,0.8946,0.8726,0.8517,0.8310,0.8108,0.7916,0.7728,0.7540,0.7367,0.7194,0.7018,0.6868,0.6635,0.6185,0.5125,0.3645,0.1641,0.0318,0.0018,0.0016,0.0023,-0.0005,0.0003,-0.0008,0.0020,-0.0011,-0.0003,-0.0003,0.0008,-0.0006,0.0011,-0.0018,0.0004,0.0000,0.0008,-0.0011
