alpha,T0.0250,T0.0750,T0.1250,T0.1750,T0.2250,T0.2750,T0.3250,T0.3750,T0.4250,T0.4750,T0.5250,T0.5750,T0.6250,T0.6750,T0.7250,T0.7750,T0.8250,T0.8750,T0.9250,T0.9750,T1.0250,T1.0750,T1.1250,T1.1750,T1.2250,T1.2750,T1.3250,T1.3750,T1.4250,T1.4750,T1.5250,T1.5750,T1.6250,T1.6750,T1.7250,T1.7750,T1.8250,T1.8750,T1.9250,T1.9750
0.01,0.9141,0.9248,0.8825,0.8395,0.7990,0.7606,0.7236,0.6884,0.6559,0.6251,0.5941,0.5672,0.5408,0.5158,0.4923,0.4693,0.4485,0.4279,0.4081,0.3916,0.3736,0.3577,0.3416,0.3286,0.3142,0.3012,0.2879,0.2772,0.2662,0.2551,0.2461,0.2361,0.2254,0.2175,0.2104,0.2023,0.1947,0.1871,0.1818,0.1753
0.02,0.9634,0.9280,0.8826,0.8400,0.7991,0.7611,0.7240,0.6891,0.6559,0.6261,0.5950,0.5667,0.5417,0.5164,0.4929,0.4695,0.4490,0.4290,0.4081,0.3908,0.3743,0.3581,0.3429,0.3289,0.3132,0.3015,0.2885,0.2766,0.2646,0.2550,0.2455,0.2360,0.2261,0.2167,0.2095,0.2022,0.1955,0.1878,0.1820,0.1748
0.03,0.9735,0.9280,0.8827,0.8406,0.7995,0.7605,0.7230,0.6902,0.6561,0.6254,0.5947,0.5669,0.5405,0.5143,0.4928,0.4706,0.4480,0.4270,0.4083,0.3902,0.3738,0.3597,0.3420,0.3288,0.3146,0.3026,0.2899,0.2770,0.2666,0.2548,0.2451,0.2352,0.2260,0.2169,0.2106,0.2005,0.1956,0.1781,0.1710,0.1441
0.04,0.9750,0.9283,0.8825,0.8406,0.8000,0.7602,0.7238,0.6903,0.6558,0.6265,0.5957,0.5688,0.5410,0.5151,0.4921,0.4694,0.4477,0.4303,0.4105,0.3906,0.3741,0.3590,0.3428,0.3269,0.3150,0.3012,0.2886,0.2777,0.2673,0.2561,0.2437,0.2272,0.2095,0.1706,0.1440,0.0932,0.0473,0.0219,0.0031,0.0015
0.05,0.9754,0.9282,0.8836,0.8407,0.7995,0.7617,0.7249,0.6894,0.6567,0.6260,0.5959,0.5685,0.5416,0.5156,0.4931,0.4702,0.4495,0.4277,0.4090,0.3920,0.3748,0.3581,0.3424,0.3287,0.3137,0.3006,0.2862,0.2647,0.2383,0.2056,0.1251,0.0846,0.0250,0.0061,-0.0006,0.0020,0.0009,-0.0009,0.0004,0.0001
0.06,0.9752,0.9281,0.8830,0.8408,0.7999,0.7610,0.7246,0.6904,0.6575,0.6266,0.5948,0.5689,0.5418,0.5159,0.4923,0.4713,0.4501,0.4278,0.4105,0.3931,0.3746,0.3593,0.3414,0.3246,0.3003,0.2624,0.1976,0.1205,0.0625,0.0155,0.0048,0.0004,0.0001,0.0006,0.0011,-0.0002,-0.0003,-0.0007,0.0005,0.0004
0.07,0.9754,0.9281,0.8828,0.8410,0.8005,0.7616,0.7256,0.6896,0.6569,0.6256,0.5962,0.5691,0.5423,0.5176,0.4918,0.4700,0.4491,0.4281,0.4108,0.3915,0.3708,0.3488,0.3072,0.2510,0.1672,0.0842,0.0159,0.0017,0.0042,-0.0001,-0.0005,0.0008,-0.0003,0.0010,0.0001,0.0002,-0.0004,0.0002,0.0002,-0.0001
0.08,0.9755,0.9281,0.8839,0.8405,0.8000,0.7616,0.7253,0.6898,0.6572,0.6266,0.5971,0.5684,0.5442,0.5175,0.4929,0.4713,0.4483,0.4285,0.4082,0.3853,0.3457,0.2669,0.1852,0.0727,0.0077,0.0020,-0.0010,-0.0004,0.0001,-0.0003,-0.0013,0.0013,0.0009,0.0014,0.0008,-0.0010,-0.0002,-0.0001,-0.0002,0.0006
0.09,0.9754,0.9288,0.8832,0.8404,0.8007,0.7624,0.7262,0.6916,0.6570,0.6259,0.5970,0.5689,0.5425,0.5161,0.4940,0.4699,0.4509,0.4251,0.3850,0.3166,0.2109,0.0711,0.0095,0.0044,-0.0004,0.0020,-0.0047,-0.0010,-0.0003,-0.0029,0.0002,0.0002,0.0004,0.0006,-0.0000,0.0004,-0.0004,0.0004,-0.0002,0.0004
0.10,0.9754,0.9282,0.8829,0.8409,0.8005,0.7623,0.7247,0.6906,0.6579,0.6268,0.5971,0.5691,0.5409,0.5178,0.4937,0.4708,0.4371,0.3895,0.2611,0.1331,0.0242,-0.0029,0.0038,-0.0001,0.0022,-0.0002,-0.0001,-0.0038,-0.0018,0.0013,0.0011,0.0005,0.0007,-0.0010,-0.0007,-0.0003,-0.0010,0.0002,0.0003,0.0008
0.11,0.9756,0.9285,0.8840,0.8412,0.8008,0.7625,0.7255,0.6918,0.6586,0.6284,0.5982,0.5698,0.5443,0.5137,0.4921,0.4548,0.3956,0.2538,0.1158,0.0110,0.0027,-0.0010,0.0031,-0.0013,-0.0016,0.0007,0.0002,-0.0008,-0.0003,-0.0001,0.0001,-0.0003,-0.0009,0.0001,0.0005,-0.0002,0.0002,-0.0001,0.0000,0.0004
0.12,0.9755,0.9282,0.8830,0.8419,0.8005,0.7625,0.7260,0.6908,0.6590,0.6268,0.5987,0.5691,0.5438,0.5071,0.4699,0.3879,0.2298,0.0772,0.0088,-0.0006,0.0015,0.0023,0.0010,-0.0002,0.0004,-0.0016,0.0018,0.0009,-0.0004,0.0007,0.0001,0.0003,0.0004,-0.0002,0.0002,0.0004,0.0003,-0.0007,0.0003,0.0000
0.13,0.9756,0.9289,0.8837,0.8417,0.8012,0.7631,0.7265,0.6919,0.6581,0.6268,0.5982,0.5698,0.5399,0.4890,0.4150,0.2327,0.0527,0.0058,-0.0018,0.0015,-0.0006,0.0004,0.0021,-0.0002,0.0001,0.0011,-0.0007,0.0004,0.0013,-0.0011,0.0012,-0.0012,-0.0001,0.0003,-0.0007,0.0010,-0.0007,0.0004,-0.0003,0.0009
0.14,0.9756,0.9287,0.8838,0.8402,0.8007,0.7614,0.7252,0.6907,0.6594,0.6277,0.5984,0.5671,0.5269,0.4448,0.2620,0.0753,0.0059,0.0018,-0.0020,0.0004,0.0014,-0.0010,-0.0010,-0.0027,0.0008,0.0008,0.0001,-0.0009,0.0005,-0.0003,-0.0016,0.0000,0.0002,0.0000,-0.0005,-0.0008,-0.0002,-0.0002,-0.0001,-0.0004
0.15,0.9758,0.9288,0.8839,0.8409,0.8007,0.7624,0.7252,0.6916,0.6589,0.6268,0.5928,0.5618,0.4793,0.3171,0.0941,0.0012,0.0003,-0.0017,-0.0011,-0.0010,-0.0013,0.0003,-0.0016,0.0015,0.0004,-0.0003,-0.0002,-0.0001,-0.0005,0.0000,0.0001,-0.0002,0.0005,-0.0005,-0.0001,0.0002,-0.0006,-0.0012,0.0009,0.0012
0.16,0.9758,0.9286,0.8843,0.8423,0.8015,0.7627,0.7264,0.6901,0.6600,0.6292,0.5914,0.5198,0.3686,0.1335,0.0186,0.0048,-0.0047,0.0001,-0.0027,-0.0008,0.0023,-0.0009,-0.0001,-0.0016,-0.0010,-0.0004,-0.0008,-0.0004,-0.0006,-0.0012,-0.0009,-0.0004,-0.0007,0.0003,-0.0003,-0.0010,0.0002,-0.0002,0.0005,-0.0008
0.17,0.9756,0.9287,0.8845,0.8421,0.8006,0.7641,0.7270,0.6925,0.6590,0.6270,0.5700,0.4853,0.2781,0.0257,-0.0026,-0.0005,-0.0023,0.0022,0.0022,-0.0008,-0.0008,0.0015,0.0010,0.0007,-0.0008,-0.0003,-0.0005,-0.0008,-0.0005,0.0005,0.0001,0.0001,0.0005,-0.0008,-0.0006,0.0005,-0.0004,-0.0012,0.0002,-0.0007
0.18,0.9758,0.9288,0.8842,0.8419,0.8014,0.7627,0.7270,0.6926,0.6598,0.6259,0.5241,0.3223,0.0453,0.0017,-0.0037,0.0003,-0.0011,0.0023,0.0001,-0.0019,0.0005,0.0004,0.0005,0.0004,-0.0002,0.0010,-0.0005,0.0000,-0.0012,0.0010,-0.0005,-0.0002,-0.0007,-0.0005,-0.0009,-0.0001,-0.0014,-0.0003,0.0003,0.0002
0.19,0.9756,0.9287,0.8848,0.8420,0.8019,0.7626,0.7271,0.6924,0.6593,0.5904,0.4480,0.1308,0.0154,0.0029,-0.0022,0.0004,-0.0004,-0.0009,-0.0003,0.0031,-0.0003,-0.0007,-0.0001,-0.0001,-0.0000,0.0013,0.0004,0.0002,0.0008,0.0004,0.0009,-0.0004,0.0005,-0.0002,-0.0007,-0.0010,-0.0008,-0.0001,0.0001,-0.0001
