alpha,T0.0250,T0.0750,T0.1250,T0.1750,T0.2250,T0.2750,T0.3250,T0.3750,T0.4250,T0.4750,T0.5250,T0.5750,T0.6250,T0.6750,T0.7250,T0.7750,T0.8250,T0.8750,T0.9250,T0.9750,T1.0250,T1.0750,T1.1250,T1.1750,T1.2250,T1.2750,T1.3250,T1.3750,T1.4250,T1.4750,T1.5250,T1.5750,T1.6250,T1.6750,T1.7250,T1.7750,T1.8250,T1.8750,T1.9250,T1.9750
0.01,0.9057,0.9073,0.9040,0.9055,0.9051,0.9056,0.9046,0.9040,0.8992,0.8965,0.8904,0.8855,0.8765,0.8670,0.8548,0.8464,0.8394,0.8335,0.8289,0.8250,0.8213,0.8182,0.8149,0.8120,0.8096,0.8068,0.8047,0.8023,0.8000,0.7981,0.7961,0.7942,0.7924,0.7905,0.7888,0.7874,0.7856,0.7845,0.7827,0.7817
0.02,0.9388,0.9391,0.9371,0.9331,0.9275,0.9212,0.9069,0.8920,0.8820,0.8741,0.8672,0.8607,0.8554,0.8499,0.8450,0.8403,0.8361,0.8317,0.8282,0.8246,0.8213,0.8184,0.8152,0.8123,0.8095,0.8071,0.8049,0.8027,0.8003,0.7982,0.7963,0.7945,0.7928,0.7909,0.7892,0.7878,0.7859,0.7845,0.7832,0.7818
0.03,0.9428,0.9427,0.9393,0.9374,0.9301,0.9181,0.9026,0.8905,0.8823,0.8743,0.8676,0.8613,0.8554,0.8499,0.8451,0.8405,0.8357,0.8325,0.8284,0.8252,0.8215,0.8184,0.8156,0.8125,0.8101,0.8075,0.8053,0.8027,0.8007,0.7986,0.7968,0.7949,0.7929,0.7914,0.7896,0.7880,0.7864,0.7849,0.7837,0.7825
0.04,0.9458,0.9441,0.9420,0.9363,0.9277,0.9169,0.9010,0.8907,0.8821,0.8744,0.8676,0.8612,0.8556,0.8500,0.8455,0.8407,0.8365,0.8326,0.8285,0.8251,0.8218,0.8187,0.8157,0.8127,0.8104,0.8079,0.8053,0.8033,0.8013,0.7989,0.7972,0.7949,0.7935,0.7913,0.7898,0.7883,0.7869,0.7854,0.7840,0.7827
0.05,0.9467,0.9462,0.9447,0.9393,0.9297,0.9146,0.9008,0.8904,0.8826,0.8746,0.8680,0.8614,0.8559,0.8504,0.8453,0.8408,0.8367,0.8326,0.8286,0.8254,0.8221,0.8190,0.8159,0.8135,0.8107,0.8082,0.8057,0.8032,0.8013,0.7990,0.7971,0.7954,0.7938,0.7921,0.7902,0.7887,0.7871,0.7858,0.7843,0.7830
0.06,0.9497,0.9484,0.9455,0.9421,0.9291,0.9134,0.9006,0.8903,0.8820,0.8749,0.8681,0.8617,0.8562,0.8506,0.8456,0.8408,0.8371,0.8326,0.8290,0.8257,0.8225,0.8194,0.8163,0.8133,0.8108,0.8082,0.8061,0.8039,0.8017,0.7997,0.7978,0.7957,0.7941,0.7924,0.7905,0.7891,0.7875,0.7861,0.7845,0.7833
0.07,0.9511,0.9502,0.9468,0.9396,0.9302,0.9133,0.9001,0.8913,0.8824,0.8752,0.8680,0.8619,0.8561,0.8508,0.8462,0.8412,0.8370,0.8330,0.8291,0.8254,0.8225,0.8194,0.8162,0.8141,0.8111,0.8089,0.8065,0.8041,0.8022,0.7998,0.7980,0.7960,0.7946,0.7925,0.7908,0.7896,0.7880,0.7867,0.7851,0.7837
0.08,0.9518,0.9516,0.9474,0.9408,0.9282,0.9121,0.9000,0.8908,0.8829,0.8749,0.8685,0.8617,0.8566,0.8512,0.8461,0.8415,0.8371,0.8334,0.8294,0.8262,0.8229,0.8197,0.8172,0.8142,0.8115,0.8089,0.8065,0.8039,0.8022,0.8001,0.7983,0.7965,0.7947,0.7929,0.7912,0.7899,0.7883,0.7867,0.7853,0.7839
0.09,0.9529,0.9517,0.9499,0.9414,0.9279,0.9125,0.9002,0.8914,0.8828,0.8755,0.8685,0.8623,0.8568,0.8514,0.8462,0.8421,0.8372,0.8333,0.8298,0.8263,0.8232,0.8199,0.8172,0.8144,0.8115,0.8092,0.8069,0.8045,0.8024,0.8009,0.7987,0.7969,0.7949,0.7933,0.7917,0.7902,0.7886,0.7870,0.7858,0.7843
0.10,0.9552,0.9531,0.9502,0.9394,0.9282,0.9117,0.9003,0.8908,0.8831,0.8755,0.8686,0.8623,0.8564,0.8512,0.8466,0.8419,0.8379,0.8337,0.8301,0.8266,0.8233,0.8202,0.8174,0.8145,0.8117,0.8096,0.8072,0.8049,0.8026,0.8009,0.7988,0.7970,0.7954,0.7936,0.7920,0.7906,0.7889,0.7875,0.7861,0.7847
