alpha,T0.0250,T0.0750,T0.1250,T0.1750,T0.2250,T0.2750,T0.3250,T0.3750,T0.4250,T0.4750,T0.5250,T0.5750,T0.6250,T0.6750,T0.7250,T0.7750,T0.8250,T0.8750,T0.9250,T0.9750,T1.0250,T1.0750,T1.1250,T1.1750,T1.2250,T1.2750,T1.3250,T1.3750,T1.4250,T1.4750,T1.5250,T1.5750,T1.6250,T1.6750,T1.7250,T1.7750,T1.8250,T1.8750,T1.9250,T1.9750
0.01,0.9308,0.9346,0.9018,0.8728,0.8488,0.8273,0.8092,0.7920,0.7769,0.7637,0.7521,0.7404,0.7310,0.7220,0.7135,0.7054,0.6982,0.6914,0.6853,0.6794,0.6741,0.6694,0.6643,0.6593,0.6557,0.6514,0.6468,0.6428,0.6401,0.6362,0.6346,0.6326,0.6300,0.6294,0.6275,0.6295,0.6325,0.6360,0.6408,0.6481
0.02,0.9696,0.9357,0.9021,0.8735,0.8488,0.8274,0.8088,0.7920,0.7778,0.7642,0.7527,0.7411,0.7313,0.7222,0.7136,0.7062,0.6987,0.6922,0.6861,0.6791,0.6738,0.6693,0.6646,0.6601,0.6558,0.6529,0.6471,0.6438,0.6407,0.6373,0.6348,0.6308,0.6289,0.6271,0.6232,0.6200,0.6198,0.6191,0.6174,0.6190
0.03,0.9753,0.9360,0.9022,0.8735,0.8493,0.8277,0.8086,0.7926,0.7775,0.7650,0.7525,0.7421,0.7319,0.7229,0.7141,0.7066,0.6989,0.6922,0.6864,0.6809,0.6752,0.6701,0.6650,0.6614,0.6555,0.6528,0.6476,0.6450,0.6416,0.6369,0.6351,0.6333,0.6288,0.6261,0.6242,0.6206,0.6188,0.6174,0.6152,0.6144
0.04,0.9764,0.9357,0.9021,0.8735,0.8491,0.8277,0.8093,0.7922,0.7780,0.7650,0.7528,0.7419,0.7324,0.7235,0.7143,0.7069,0.7002,0.6930,0.6869,0.6802,0.6754,0.6698,0.6649,0.6615,0.6571,0.6526,0.6487,0.6451,0.6414,0.6395,0.6354,0.6331,0.6281,0.6278,0.6243,0.6214,0.6181,0.6163,0.6153,0.6123
0.05,0.9764,0.9357,0.9020,0.8741,0.8495,0.8277,0.8093,0.7926,0.7783,0.7659,0.7528,0.7427,0.7326,0.7231,0.7146,0.7070,0.6995,0.6934,0.6874,0.6808,0.6751,0.6706,0.6653,0.6620,0.6562,0.6533,0.6500,0.6469,0.6429,0.6386,0.6346,0.6321,0.6298,0.6267,0.6239,0.6223,0.6192,0.6168,0.6134,0.6122
0.06,0.9765,0.9362,0.9022,0.8745,0.8492,0.8281,0.8100,0.7934,0.7786,0.7661,0.7536,0.7427,0.7330,0.7230,0.7152,0.7071,0.7006,0.6930,0.6871,0.6821,0.6767,0.6715,0.6657,0.6625,0.6573,0.6535,0.6496,0.6458,0.6427,0.6387,0.6371,0.6320,0.6299,0.6268,0.6250,0.6226,0.6206,0.6171,0.6173,0.6141
0.07,0.9766,0.9363,0.9027,0.8744,0.8498,0.8291,0.8097,0.7941,0.7784,0.7654,0.7540,0.7429,0.7329,0.7238,0.7150,0.7077,0.7006,0.6945,0.6884,0.6820,0.6762,0.6722,0.6666,0.6625,0.6586,0.6545,0.6500,0.6465,0.6441,0.6402,0.6368,0.6330,0.6314,0.6295,0.6257,0.6223,0.6206,0.6176,0.6139,0.6136
0.08,0.9764,0.9362,0.9022,0.8742,0.8500,0.8282,0.8105,0.7939,0.7791,0.7661,0.7542,0.7430,0.7335,0.7249,0.7156,0.7082,0.7014,0.6948,0.6886,0.6829,0.6773,0.6718,0.6672,0.6630,0.6581,0.6541,0.6495,0.6469,0.6441,0.6391,0.6372,0.6341,0.6322,0.6294,0.6284,0.6260,0.6210,0.6171,0.6183,0.6117
0.09,0.9766,0.9360,0.9027,0.8745,0.8498,0.8281,0.8107,0.7936,0.7798,0.7659,0.7543,0.7437,0.7337,0.7241,0.7166,0.7082,0.7018,0.6949,0.6879,0.6832,0.6772,0.6722,0.6670,0.6625,0.6586,0.6554,0.6509,0.6472,0.6442,0.6396,0.6385,0.6344,0.6316,0.6296,0.6266,0.6256,0.6232,0.6191,0.6178,0.6164
0.10,0.9764,0.9362,0.9030,0.8744,0.8503,0.8295,0.8105,0.7947,0.7798,0.7665,0.7543,0.7437,0.7348,0.7251,0.7165,0.7092,0.7015,0.6949,0.6889,0.6834,0.6783,0.6735,0.6682,0.6650,0.6591,0.6556,0.6517,0.6476,0.6443,0.6411,0.6379,0.6358,0.6326,0.6310,0.6258,0.6248,0.6216,0.6205,0.6168,0.6143
0.11,0.9765,0.9359,0.9029,0.8750,0.8500,0.8301,0.8113,0.7948,0.7794,0.7671,0.7546,0.7435,0.7329,0.7251,0.7176,0.7093,0.7012,0.6949,0.6888,0.6833,0.6789,0.6737,0.6692,0.6639,0.6599,0.6564,0.6511,0.6488,0.6437,0.6419,0.6383,0.6359,0.6343,0.6315,0.6265,0.6265,0.6239,0.6199,0.6202,0.6144
0.12,0.9765,0.9364,0.9027,0.8745,0.8506,0.8306,0.8102,0.7946,0.7801,0.7675,0.7559,0.7439,0.7350,0.7255,0.7170,0.7095,0.7026,0.6956,0.6895,0.6842,0.6774,0.6748,0.6698,0.6643,0.6594,0.6563,0.6524,0.6478,0.6454,0.6418,0.6397,0.6363,0.6326,0.6311,0.6287,0.6263,0.6220,0.6197,0.6200,0.6165
0.13,0.9768,0.9361,0.9031,0.8746,0.8505,0.8296,0.8109,0.7948,0.7809,0.7679,0.7550,0.7451,0.7347,0.7257,0.7172,0.7100,0.7038,0.6965,0.6906,0.6849,0.6799,0.6741,0.6691,0.6652,0.6610,0.6559,0.6523,0.6486,0.6444,0.6424,0.6395,0.6385,0.6346,0.6318,0.6293,0.6255,0.6236,0.6222,0.6193,0.6178
0.14,0.9767,0.9362,0.9032,0.8749,0.8505,0.8293,0.8115,0.7954,0.7806,0.7676,0.7555,0.7447,0.7351,0.7266,0.7177,0.7100,0.7040,0.6964,0.6906,0.6853,0.6795,0.6747,0.6697,0.6661,0.6607,0.6573,0.6532,0.6500,0.6464,0.6449,0.6396,0.6378,0.6337,0.6324,0.6273,0.6249,0.6226,0.6222,0.6196,0.6190
0.15,0.9766,0.9365,0.9028,0.8747,0.8510,0.8298,0.8120,0.7949,0.7805,0.7674,0.7558,0.7450,0.7350,0.7268,0.7180,0.7106,0.7032,0.6982,0.6913,0.6844,0.6802,0.6747,0.6703,0.6652,0.6630,0.6576,0.6548,0.6498,0.6458,0.6434,0.6410,0.6369,0.6352,0.6326,0.6321,0.6276,0.6243,0.6248,0.6181,0.6172
0.16,0.9764,0.9367,0.9030,0.8751,0.8509,0.8301,0.8120,0.7961,0.7806,0.7676,0.7558,0.7447,0.7366,0.7266,0.7187,0.7112,0.7035,0.6967,0.6918,0.6856,0.6788,0.6757,0.6700,0.6657,0.6615,0.6575,0.6539,0.6496,0.6475,0.6433,0.6415,0.6383,0.6340,0.6318,0.6303,0.6275,0.6257,0.6218,0.6203,0.6170
0.17,0.9768,0.9371,0.9032,0.8748,0.8510,0.8300,0.8110,0.7953,0.7802,0.7679,0.7563,0.7449,0.7365,0.7270,0.7186,0.7109,0.7025,0.6974,0.6923,0.6855,0.6811,0.6758,0.6687,0.6649,0.6621,0.6581,0.6524,0.6519,0.6466,0.6457,0.6403,0.6371,0.6367,0.6325,0.6287,0.6288,0.6277,0.6230,0.6204,0.6209
0.18,0.9767,0.9366,0.9034,0.8758,0.8516,0.8304,0.8120,0.7958,0.7806,0.7682,0.7565,0.7462,0.7367,0.7235,0.7189,0.7121,0.7049,0.6980,0.6903,0.6834,0.6793,0.6763,0.6718,0.6655,0.6625,0.6578,0.6556,0.6507,0.6480,0.6447,0.6410,0.6376,0.6358,0.6327,0.6292,0.6278,0.6265,0.6262,0.6194,0.6209
