T,phi_observed,phi_theory,phi_analytical,difference
0.025,0.9422,0.9875776613620614,0.9875781219484807,-0.04537766136206134
0.075,0.9415,0.9631988394699496,0.9632028779812717,-0.02169883946994955
0.125,0.9397,0.9394403055872098,0.9394512213675874,0.0002596944127901679
0.175,0.9304,0.9163000322460825,0.9163208256456926,0.01409996775391753
0.225,0.9054,0.8937748609146927,0.8938082281289366,0.011625139085307268
0.275,0.8809,0.8718605301159394,0.871908861661121,0.00903946988406057
0.325,0.8521,0.8505517131884102,0.8506170958976066,0.0015482868115898052
0.375,0.8303,0.8298420649151566,0.8299262872562316,0.000457935084843486
0.425,0.8104,0.8097242760829936,0.8098288365296168,0.0006757239170064322
0.475,0.7906,0.7901901349050596,0.7903162530335857,0.0004098650949403426
0.525,0.7721,0.7712305941460136,0.7713792240876107,0.0008694058539864269
0.575,0.7531,0.7528358427336777,0.753007688582838,0.00026415726632234016
0.625,0.7356,0.7349953806226881,0.7351909133900132,0.0006046193773119324
0.675,0.7184,0.7176980956926103,0.7179175713905847,0.0007019043073897002
0.725,0.7014,0.7009323415113788,0.7011758199752403,0.000467658488621181
0.775,0.6854,0.6846860148702909,0.6849533789400823,0.0007139851297091049
0.825,0.6691,0.6689466320937306,0.6692376068159968,0.00015336790626940822
0.875,0.6548,0.6537014032397875,0.6540155747858112,0.0010985967602125113
0.925,0.6403,0.6389373034312671,0.6392741374710155,0.0013626965687328907
0.975,0.6253,0.6246411406850662,0.625,0.0006588593149338129
1.025,0.6119,0.6107996197366624,0.6111797808984551,0.0011003802633375859
1.075,0.5985,0.5973994014814712,0.597800070465954,0.0011005985185288392
1.125,0.5853,0.5844271577727841,0.5848474844178637,0.0008728422272159531
1.175,0.5727,0.5718696214242889,0.5723087126763621,0.0008303785757111104
1.225,0.5603,0.5597136313621549,0.5601705632870639,0.0005863686378451138
1.275,0.5496,0.5479461729562091,0.5484200015178089,0.001653827043790912
1.325,0.5375,0.5365544136314636,0.5370441842633392,0.0009455863685363664
1.375,0.5274,0.5255257339203,0.526030489934225,0.0018742660796999822
1.425,0.5163,0.5148477541624567,0.5153665440511034,0.0014522458375433311
1.475,0.5062,0.5045083570954877,0.5050402407970536,0.0016916429045122916
1.525,0.4966,0.49449570660356923,0.49503976080281453,0.0021042933964307564
1.575,0.4854,0.4847982629086372,0.48535358545278096,0.0006017370913627973
1.625,0.4754,0.47540479449605605,0.475970508005519,-4.794496056059749e-6
1.675,0.4672,0.46630438706856275,0.46687964182211916,0.0008956129314372507
1.725,0.4577,0.45748644981831865,0.4580704259902233,0.00021355018168134343
1.775,0.4503,0.44894071929858376,0.44953262862205423,0.0013592807014162211
1.825,0.4419,0.4406572611648479,0.4412563480922259,0.0012427388351521351
1.875,0.429,0.43262647004105653,0.4332320124663318,-0.00362647004105654
1.925,0.4184,0.4248390677506756,0.42545037735504077,-0.006439067750675598
1.975,0.4067,0.41728610013533324,0.417902522411284,-0.010586100135333232
