T,phi_observed,phi_theory,difference
0.025,0.9527,0.9880806061035794,-0.035380606103579404
0.075,0.9531,0.9672480192784124,-0.014148019278412471
0.125,0.9497,0.9495942598273448,0.00010574017265518876
0.175,0.9415,0.9344008550567026,0.007099144943297442
0.225,0.9269,0.9211583424791376,0.005741657520862309
0.275,0.9129,0.9094937123923418,0.003406287607658265
0.325,0.9001,0.8991265668942752,0.0009734331057248413
0.375,0.8915,0.8898414174083572,0.0016585825916427543
0.425,0.8831,0.8814695162608238,0.0016304837391761806
0.475,0.8754,0.873876560342063,0.001523439657936998
0.525,0.8686,0.8669541415978438,0.0016458584021562528
0.575,0.8627,0.8606136620838734,0.002086337916126668
0.625,0.8566,0.8547819135740643,0.0018180864259357277
0.675,0.8516,0.849397807800467,0.002202192199532993
0.725,0.8461,0.8444099185875774,0.0016900814124225505
0.775,0.8418,0.8397746074611853,0.00202539253881473
0.825,0.8375,0.8354545755307944,0.0020454244692056367
0.875,0.834,0.8314177314574169,0.0025822685425830327
0.925,0.8302,0.8276362969811001,0.0025637030188999654
0.975,0.8269,0.8240860931977919,0.002813906802208055
1.025,0.8233,0.8207459659164053,0.0025540340835947806
1.075,0.8202,0.8175973191451038,0.0026026808548962332
1.125,0.8173,0.8146237334489373,0.002676266551062678
1.175,0.8147,0.8118106515137813,0.0028893484862186902
1.225,0.8117,0.809145117365763,0.002554882634236977
1.275,0.8095,0.8066155587551299,0.002884441244870084
1.325,0.8071,0.80421160451254,0.002888395487460005
1.375,0.8051,0.8019239304293597,0.0031760695706403164
1.425,0.8029,0.7997441285480105,0.003155871451989478
1.475,0.8006,0.7976645957779643,0.0029354042220356424
1.525,0.7987,0.7956784385537271,0.003021561446272858
1.575,0.797,0.793779390878377,0.0032206091216230304
1.625,0.7954,0.7919617435909955,0.0034382564090045253
1.675,0.7935,0.7902202830892137,0.0032797169107863233
1.725,0.792,0.7885502380518589,0.0034497619481411723
1.775,0.7906,0.7869472329589188,0.003652767041081195
1.825,0.7891,0.7854072474097756,0.0036927525902243907
1.875,0.7872,0.7839265804061832,0.003273419593816773
1.925,0.7861,0.7825018189015596,0.003598181098440456
1.975,0.7848,0.7811298100290044,0.003670189970995663
