alpha,T0.0100,T0.0112,T0.0125,T0.0140,T0.0157,T0.0176,T0.0197,T0.0220,T0.0246,T0.0276,T0.0309,T0.0345,T0.0387,T0.0433,T0.0484,T0.0542,T0.0607,T0.0679,T0.0760,T0.0851,T0.0952,T0.1066,T0.1193,T0.1335,T0.1495,T0.1673,T0.1872,T0.2096,T0.2346,T0.2625,T0.2939,T0.3289,T0.3681,T0.4120,T0.4612,T0.5162,T0.5778,T0.6467,T0.7238,T0.8101,T0.9068,T1.0149,T1.1360
0.01,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9971,0.9921,0.9708,0.9032,0.8841,0.8758,0.8679,0.8608,0.8535,0.8435,0.8370,0.8292,0.8214,0.8140
0.02,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9984,0.9958,0.9851,0.9430,0.9015,0.8921,0.8836,0.8769,0.8683,0.8612,0.8535,0.8438,0.8370,0.8297,0.8210,0.8150
0.03,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9986,0.9981,0.9915,0.9699,0.9181,0.9004,0.8902,0.8840,0.8762,0.8700,0.8614,0.8519,0.8460,0.8390,0.8304,0.8222,0.8156
0.04,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9986,0.9966,0.9880,0.9532,0.9109,0.8973,0.8886,0.8848,0.8782,0.8688,0.8612,0.8547,0.8459,0.8371,0.8315,0.8233,0.8148
0.05,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9981,0.9961,0.9833,0.9464,0.9101,0.9001,0.8922,0.8832,0.8744,0.8692,0.8627,0.8561,0.8456,0.8396,0.8319,0.8225,0.8149
0.06,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9985,0.9972,0.9932,0.9757,0.9307,0.9075,0.8998,0.8929,0.8849,0.8772,0.8674,0.8629,0.8546,0.8460,0.8386,0.8306,0.8236,0.8164
0.07,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9971,0.9890,0.9684,0.9198,0.9065,0.8977,0.8911,0.8813,0.8768,0.8693,0.8617,0.8534,0.8450,0.8388,0.8332,0.8229,0.8173
0.08,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9985,0.9985,0.9982,0.9940,0.9698,0.9246,0.9070,0.9009,0.8915,0.8855,0.8790,0.8711,0.8616,0.8520,0.8472,0.8369,0.8309,0.8250,0.8181
0.09,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9987,0.9984,0.9965,0.9843,0.9571,0.9173,0.9079,0.8987,0.8926,0.8887,0.8762,0.8697,0.8642,0.8535,0.8456,0.8408,0.8329,0.8253,0.8170
0.10,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9988,0.9984,0.9952,0.9792,0.9427,0.9185,0.9075,0.9029,0.8904,0.8848,0.8765,0.8695,0.8617,0.8550,0.8453,0.8392,0.8306,0.8242,0.8159
