N,alpha,M,lambda_mill,K_mean
25.0,0.24,403.0,0.0878782578935446,0.0125
25.0,0.26,665.0,0.14488675302115847,0.021
25.0,0.28,1097.0,0.23887787154866014,0.0335
25.0,0.3,1808.0,0.3938430279218486,0.056
25.0,0.32,2981.0,0.6493373774516965,0.0895
25.0,0.34,4915.0,1.07057634606525,0.1295
25.0,0.36,8103.0,1.7650819936661977,0.198
25.0,0.38,13360.0,2.91012822748725,0.358
25.0,0.4,22026.0,4.797990309123092,0.582
25.0,0.42,36316.0,7.910548679264318,0.966
25.0,0.44,59874.0,13.042289870411897,1.6015
25.0,0.46,98716.0,21.503100727984915,2.681
25.0,0.48,162755.0,35.45261955623611,4.322
25.0,0.5,268337.0,58.451487964405885,7.1365
50.0,0.24,162755.0,0.0483941449038288,0.002
50.0,0.26,442413.0,0.13154892469589186,0.002
50.0,0.28,1.202604e6,0.35758705155417037,0.004
